AÑO;DISTRITO;BARRIO;A tiempo parcial;A tiempo completo;Fijo discontinuo;No consta
2017;12. Usera;125. Moscardó;2.998;5.043;115;337
2017;12. Usera;126. Zofío;1.488;2.731;79;197
2017;12. Usera;127. Pradolongo;2.054;3.056;72;136
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;24.989;49.345;1.364;2.971
2017;13. Puente de Vallecas;131. Entrevías;3.588;6.654;209;288
2017;13. Puente de Vallecas;132. San Diego;4.877;8.203;160;348
2017;13. Puente de Vallecas;133. Palomeras Bajas;4.100;9.038;277;872
2017;13. Puente de Vallecas;134. Palomeras Sureste;4.558;9.871;287;620
2017;13. Puente de Vallecas;135. Portazgo;2.865;5.683;189;251
2017;13. Puente de Vallecas;136. Numancia;5.001;9.894;242;591
2017;14. Moratalaz;14. Moratalaz;;;;
2017;14. Moratalaz;14. Moratalaz;7.447;20.718;470;2.173
2017;14. Moratalaz;141. Pavones;657;1.947;59;233
2017;14. Moratalaz;142. Horcajo;454;1.692;32;251
2017;14. Moratalaz;143. Marroquina;1.992;6.220;120;756
2017;14. Moratalaz;144. Media Legua;1.375;3.652;72;394
2017;14. Moratalaz;145. Fontarrón;1.541;3.548;111;262
2017;14. Moratalaz;146. Vinateros;1.428;3.659;76;277
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;18.033;49.075;758;4.062
2017;15. Ciudad Lineal;151. Ventas;4.655;10.776;195;799
2017;15. Ciudad Lineal;152. Pueblo Nuevo;6.313;14.034;232;974
2017;15. Ciudad Lineal;153. Quintana;2.376;5.573;88;417
2017;15. Ciudad Lineal;154. Concepción;1.638;4.673;70;423
2017;15. Ciudad Lineal;155. San Pascual;1.249;4.218;70;398
2017;15. Ciudad Lineal;156. San Juan Bautista;551;2.999;41;308
2017;15. Ciudad Lineal;157. Colina;295;1.402;16;144
2017;15. Ciudad Lineal;158. Atalaya;62;317;2;32
2017;15. Ciudad Lineal;159. Costillares;894;5.083;44;567
2017;16. Hortaleza;16. Hortaleza;;;;
2017;16. Hortaleza;16. Hortaleza;11.695;45.959;728;3.654
2017;16. Hortaleza;161. Palomas;208;1.557;7;133
2017;16. Hortaleza;162. Piovera;570;3.375;16;325
2017;16. Hortaleza;163. Canillas;2.730;9.536;202;870
2017;16. Hortaleza;164. Pinar del Rey;4.488;11.908;300;826
2017;16. Hortaleza;165. Apóstol Santiago;1.252;3.339;66;335
2017;16. Hortaleza;166. Valdefuentes;2.447;16.244;137;1.165
2017;17. Villaverde;17. Villaverde;;;;
2017;17. Villaverde;17. Villaverde;14.534;31.721;722;2.139
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.422;9.443;231;576
2017;17. Villaverde;172. San Cristóbal;1.751;2.647;58;58
2017;17. Villaverde;173. Butarque;1.641;5.065;64;311
2017;17. Villaverde;174. Los Rosales;3.880;8.376;229;740
2017;17. Villaverde;175. Ángeles;2.840;6.190;140;454
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;9.373;29.023;581;2.104
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.944;8.741;259;438
2017;18. Villa de Vallecas;182. Santa Eugenia;2.294;5.783;161;539
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;3.135;14.499;161;1.127
2017;19. Vicálvaro;19. Vicálvaro;;;;
2017;19. Vicálvaro;19. Vicálvaro;6.038;17.600;430;1.565
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.431;6.889;208;350
2017;19. Vicálvaro;192. Valdebernardo;1.403;4.551;124;673
2017;19. Vicálvaro;193. Valderribas;1.188;6.068;94;535
2017;19. Vicálvaro;194. El Cañaveral;16;92;4;7
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;13.416;38.291;722;2.844
2017;20. San Blas-Canillejas;201. Simancas;2.571;6.667;102;378
2017;20. San Blas-Canillejas;202. Hellín;952;1.895;55;107
2017;20. San Blas-Canillejas;203. Amposta;894;1.703;42;72
2017;20. San Blas-Canillejas;204. Arcos;2.339;5.670;136;325
2017;20. San Blas-Canillejas;205. Rosas;2.109;8.727;164;998
2017;20. San Blas-Canillejas;206. Rejas;1.116;4.634;56;230
2017;20. San Blas-Canillejas;207. Canillejas;2.753;6.384;138;399
2017;20. San Blas-Canillejas;208. El Salvador;682;2.611;29;335
2017;21. Barajas;21. Barajas;;;;
2017;21. Barajas;21. Barajas;3.239;12.483;150;765
2017;21. Barajas;211. Alameda de Osuna;1.033;4.575;63;379
2017;21. Barajas;212. Aeropuerto;211;389;6;12
2017;21. Barajas;213. Casco Histórico de Barajas;826;1.847;33;46
2017;21. Barajas;214. Timón;891;3.530;38;193
2017;21. Barajas;215. Corralejos;278;2.142;10;135
2018;01. Centro;01. Centro;;;;
2018;01. Centro;01. Centro;10.140;32.974;576;2.706
2018;01. Centro;011. Palacio;1.618;5.331;78;539
2018;01. Centro;012. Embajadores;4.010;11.110;246;880
2018;01. Centro;013. Cortes;712;2.463;46;235
2018;01. Centro;014. Justicia;993;4.176;43;291
2018;01. Centro;015. Universidad;2.302;8.253;143;623
2018;01. Centro;016. Sol;505;1.641;20;138
2018;02. Arganzuela;02. Arganzuela;;;;
2018;02. Arganzuela;02. Arganzuela;10.516;40.554;643;5.158
2018;02. Arganzuela;021. Imperial;1.381;5.793;106;815
2018;02. Arganzuela;022. Acacias;2.253;9.158;144;1.422
2018;02. Arganzuela;023. Chopera;1.770;4.963;84;488
2018;02. Arganzuela;024. Legazpi;1.019;6.224;80;779
2018;02. Arganzuela;025. Delicias;1.940;7.505;112;840
2018;02. Arganzuela;026. Palos de Moguer;2.073;6.634;115;734
2018;02. Arganzuela;027. Atocha;80;276;2;80
2018;03. Retiro;03. Retiro;;;;
2018;03. Retiro;03. Retiro;6.477;28.028;352;3.518
2018;03. Retiro;031. Pacífico;2.108;8.127;85;1.067
2018;03. Retiro;032. Adelfas;1.090;4.981;64;587
2018;03. Retiro;033. Estrella;1.087;5.202;65;703
2018;03. Retiro;034. Ibiza;1.200;5.011;75;542
2018;03. Retiro;035. Los Jerónimos;309;1.379;12;194
2018;03. Retiro;036. Niño Jesús;683;3.328;51;425
2018;04. Salamanca;04. Salamanca;;;;
2018;04. Salamanca;04. Salamanca;7.412;35.161;360;3.377
2018;04. Salamanca;041. Recoletos;533;3.275;22;255
2018;04. Salamanca;042. Goya;1.528;7.184;65;696
2018;04. Salamanca;043. Fuente del Berro;1.321;5.324;67;517
2018;04. Salamanca;044. Guindalera;2.374;10.588;128;1.121
2018;04. Salamanca;045. Lista;1.038;5.016;53;485
2018;04. Salamanca;046. Castellana;618;3.774;25;303
2018;05. Chamartín;05. Chamartín;;;;
2018;05. Chamartín;05. Chamartín;7.198;35.958;350;3.283
2018;05. Chamartín;051. El Viso;599;4.038;22;315
2018;05. Chamartín;052. Prosperidad;2.263;9.481;93;946
2018;05. Chamartín;053. Ciudad Jardín;1.248;4.656;68;422
2018;05. Chamartín;054. Hispanoamérica;1.265;7.480;67;693
2018;05. Chamartín;055. Nueva España;950;6.007;48;450
2018;05. Chamartín;056. Castilla;873;4.296;52;457
2018;06. Tetuán;06. Tetuán;;;;
2018;06. Tetuán;06. Tetuán;13.799;40.411;566;2.900
2018;06. Tetuán;061. Bellas Vistas;2.905;7.132;98;566
2018;06. Tetuán;062. Cuatro Caminos;2.203;8.848;89;733
2018;06. Tetuán;063. Castillejos;1.177;5.346;52;408
2018;06. Tetuán;064. Almenara;2.102;5.567;118;326
2018;06. Tetuán;065. Valdeacederas;2.743;7.033;115;418
2018;06. Tetuán;066. Berruguete;2.669;6.485;94;449
2018;07. Chamberí;07. Chamberí;;;;
2018;07. Chamberí;07. Chamberí;7.478;34.069;350;3.459
2018;07. Chamberí;071. Gaztambide;1.291;5.209;58;645
2018;07. Chamberí;072. Arapiles;1.465;6.108;69;641
2018;07. Chamberí;073. Trafalgar;1.475;6.484;77;625
2018;07. Chamberí;074. Almagro;908;4.648;24;345
2018;07. Chamberí;075. Ríos Rosas;1.428;7.098;78;628
2018;07. Chamberí;076. Vallehermoso;911;4.521;44;575
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;15.252;61.729;942;5.945
2018;08. Fuencarral-El Pardo;081. El Pardo;230;701;20;114
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;89;625;7;65
2018;08. Fuencarral-El Pardo;083. Peñagrande;2.992;10.283;206;1.168
2018;08. Fuencarral-El Pardo;084. Pilar;3.826;11.131;215;884
2018;08. Fuencarral-El Pardo;085. La Paz;1.636;7.628;96;1.124
2018;08. Fuencarral-El Pardo;086. Valverde;4.304;18.033;243;1.175
2018;08. Fuencarral-El Pardo;087. Mirasierra;1.463;7.975;113;1.003
2018;08. Fuencarral-El Pardo;088. El Goloso;712;5.353;42;412
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.565;26.387;362;2.983
2018;09. Moncloa-Aravaca;091. Casa de Campo;761;2.935;49;442
2018;09. Moncloa-Aravaca;092. Argüelles;1.307;5.307;61;577
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;691;3.388;37;446
2018;09. Moncloa-Aravaca;094. Valdezarza;2.213;6.794;132;681
2018;09. Moncloa-Aravaca;095. Valdemarín;205;1.428;3;106
2018;09. Moncloa-Aravaca;096. El Plantío;105;589;2;55
2018;09. Moncloa-Aravaca;097. Aravaca;1.283;5.946;78;675
2018;10. Latina;10. Latina;;;;
2018;10. Latina;10. Latina;22.295;52.346;1.185;4.849
2018;10. Latina;101. Los Cármenes;1.634;3.828;73;403
2018;10. Latina;102. Puerta del Ángel;4.255;9.380;209;821
2018;10. Latina;103. Lucero;3.516;7.907;175;727
2018;10. Latina;104. Aluche;6.155;13.895;274;1.204
2018;10. Latina;105. Campamento;1.787;4.094;125;324
2018;10. Latina;106. Cuatro Vientos;414;1.755;18;206
2018;10. Latina;107. Águilas;4.533;11.485;311;1.164
2018;11. Carabanchel;11. Carabanchel;;;;
2018;11. Carabanchel;11. Carabanchel;25.614;56.677;1.201;4.468
2018;11. Carabanchel;111. Comillas;2.008;4.860;114;434
2018;11. Carabanchel;112. Opañel;3.516;7.267;142;641
2018;11. Carabanchel;113. San Isidro;4.117;8.517;188;605
2018;11. Carabanchel;114. Vista Alegre;5.019;9.629;214;665
2018;11. Carabanchel;115. Puerta Bonita;3.728;7.345;156;459
2018;11. Carabanchel;116. Buenavista;4.052;12.464;254;1.184
2018;11. Carabanchel;117. Abrantes;3.173;6.595;133;479
2018;12. Usera;12. Usera;;;;
2018;12. Usera;12. Usera;15.028;29.022;749;1.783
2018;12. Usera;121. Orcasitas;1.934;5.158;163;339
2018;12. Usera;122. Orcasur;1.377;2.911;74;167
2018;12. Usera;123. San Fermín;2.438;5.075;140;325
2018;12. Usera;124. Almendrales;2.402;4.424;91;275
2018;12. Usera;125. Moscardó;3.165;5.253;115;331
2018;12. Usera;126. Zofío;1.583;2.944;81;199
2018;12. Usera;127. Pradolongo;2.129;3.255;85;147
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;26.002;51.870;1.467;2.983
2018;13. Puente de Vallecas;131. Entrevías;3.827;6.999;210;290
2018;13. Puente de Vallecas;132. San Diego;5.097;8.890;178;340
2018;13. Puente de Vallecas;133. Palomeras Bajas;4.380;9.423;300;881
2018;13. Puente de Vallecas;134. Palomeras Sureste;4.478;10.264;318;605
2018;13. Puente de Vallecas;135. Portazgo;3.017;5.925;202;256
2018;13. Puente de Vallecas;136. Numancia;5.203;10.367;259;610
2018;14. Moratalaz;14. Moratalaz;;;;
2018;14. Moratalaz;14. Moratalaz;7.697;21.241;491;2.218
2018;14. Moratalaz;141. Pavones;704;1.992;59;226
2018;14. Moratalaz;142. Horcajo;465;1.710;32;249
2018;14. Moratalaz;143. Marroquina;2.037;6.335;120;788
2018;14. Moratalaz;144. Media Legua;1.419;3.706;85;401
2018;14. Moratalaz;145. Fontarrón;1.630;3.722;112;262
2018;14. Moratalaz;146. Vinateros;1.442;3.776;83;292
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;18.735;51.343;834;4.057
2018;15. Ciudad Lineal;151. Ventas;4.862;11.359;189;791
2018;15. Ciudad Lineal;152. Pueblo Nuevo;6.633;14.714;269;994
2018;15. Ciudad Lineal;153. Quintana;2.512;5.853;99;419
2018;15. Ciudad Lineal;154. Concepción;1.661;4.944;81;429
2018;15. Ciudad Lineal;155. San Pascual;1.216;4.350;81;379
2018;15. Ciudad Lineal;156. San Juan Bautista;589;3.093;42;300
2018;15. Ciudad Lineal;157. Colina;314;1.483;21;154
2018;15. Ciudad Lineal;158. Atalaya;55;326;2;38
2018;15. Ciudad Lineal;159. Costillares;893;5.221;50;553
2018;16. Hortaleza;16. Hortaleza;;;;
2018;16. Hortaleza;16. Hortaleza;12.053;47.878;808;3.705
2018;16. Hortaleza;161. Palomas;232;1.604;6;124
2018;16. Hortaleza;162. Piovera;573;3.516;25;361
2018;16. Hortaleza;163. Canillas;2.773;9.720;208;881
2018;16. Hortaleza;164. Pinar del Rey;4.542;12.345;335;801
2018;16. Hortaleza;165. Apóstol Santiago;1.310;3.496;67;330
2018;16. Hortaleza;166. Valdefuentes;2.623;17.197;167;1.208
2018;17. Villaverde;17. Villaverde;;;;
2018;17. Villaverde;17. Villaverde;15.107;33.385;802;2.230
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.609;9.948;250;588
2018;17. Villaverde;172. San Cristóbal;1.816;2.830;69;65
2018;17. Villaverde;173. Butarque;1.772;5.345;83;338
2018;17. Villaverde;174. Los Rosales;4.013;8.865;247;784
2018;17. Villaverde;175. Ángeles;2.897;6.397;153;455
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;9.776;30.643;624;2.156
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4.109;8.958;275;437
2018;18. Villa de Vallecas;182. Santa Eugenia;2.277;6.002;164;531
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;3.390;15.683;185;1.188
2018;19. Vicálvaro;19. Vicálvaro;;;;
2018;19. Vicálvaro;19. Vicálvaro;6.288;18.342;446;1.592
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.677;7.466;221;336
2018;19. Vicálvaro;192. Valdebernardo;1.464;4.605;124;689
2018;19. Vicálvaro;193. Valderribas;1.098;5.991;97;553
2018;19. Vicálvaro;194. El Cañaveral;49;280;4;14
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;13.795;39.737;758;2.954
2018;20. San Blas-Canillejas;201. Simancas;2.764;7.023;114;383
2018;20. San Blas-Canillejas;202. Hellín;943;2.011;59;106
2018;20. San Blas-Canillejas;203. Amposta;958;1.771;53;80
2018;20. San Blas-Canillejas;204. Arcos;2.360;5.969;132;336
2018;20. San Blas-Canillejas;205. Rosas;2.198;8.870;169;1.030
2018;20. San Blas-Canillejas;206. Rejas;1.133;4.845;53;265
2018;20. San Blas-Canillejas;207. Canillejas;2.804;6.560;147;409
2018;20. San Blas-Canillejas;208. El Salvador;635;2.688;31;345
2018;21. Barajas;21. Barajas;;;;
2018;21. Barajas;21. Barajas;3.280;12.969;183;815
2018;21. Barajas;211. Alameda de Osuna;957;4.714;64;380
2018;21. Barajas;212. Aeropuerto;217;398;7;13
2018;21. Barajas;213. Casco Histórico de Barajas;814;1.937;44;48
2018;21. Barajas;214. Timón;998;3.691;52;214
2018;21. Barajas;215. Corralejos;294;2.229;16;160
2019;01. Centro;01. Centro;;;;
2019;01. Centro;01. Centro;9.844;34.348;598;2.840
2019;01. Centro;011. Palacio;1.565;5.544;78;596
2019;01. Centro;012. Embajadores;3.945;11.498;253;895
2019;01. Centro;013. Cortes;660;2.522;46;232
2019;01. Centro;014. Justicia;996;4.383;48;303
2019;01. Centro;015. Universidad;2.205;8.711;150;678
2019;01. Centro;016. Sol;473;1.690;23;136
2019;02. Arganzuela;02. Arganzuela;;;;
2019;02. Arganzuela;02. Arganzuela;10.096;41.316;655;5.331
2019;02. Arganzuela;021. Imperial;1.330;5.895;106;847
2019;02. Arganzuela;022. Acacias;2.147;9.288;166;1.446
2019;02. Arganzuela;023. Chopera;1.656;5.124;88;519
2019;02. Arganzuela;024. Legazpi;1.022;6.352;88;807
2019;02. Arganzuela;025. Delicias;1.922;7.650;104;879
2019;02. Arganzuela;026. Palos de Moguer;1.939;6.718;102;754
2019;02. Arganzuela;027. Atocha;80;288;1;79
2019;03. Retiro;03. Retiro;;;;
2019;03. Retiro;03. Retiro;6.428;28.397;342;3.502
2019;03. Retiro;031. Pacífico;2.074;8.263;94;1.049
2019;03. Retiro;032. Adelfas;1.071;5.017;59;586
2019;03. Retiro;033. Estrella;1.047;5.243;59;714
2019;03. Retiro;034. Ibiza;1.202;5.126;69;540
2019;03. Retiro;035. Los Jerónimos;331;1.347;16;193
2019;03. Retiro;036. Niño Jesús;703;3.401;45;420
2019;04. Salamanca;04. Salamanca;;;;
2019;04. Salamanca;04. Salamanca;7.170;35.746;377;3.323
2019;04. Salamanca;041. Recoletos;507;3.224;25;273
2019;04. Salamanca;042. Goya;1.447;7.217;56;686
2019;04. Salamanca;043. Fuente del Berro;1.303;5.503;71;530
2019;04. Salamanca;044. Guindalera;2.286;10.887;141;1.108
2019;04. Salamanca;045. Lista;990;5.127;63;448
2019;04. Salamanca;046. Castellana;637;3.788;21;278
2019;05. Chamartín;05. Chamartín;;;;
2019;05. Chamartín;05. Chamartín;7.058;36.873;391;3.206
2019;05. Chamartín;051. El Viso;611;4.055;23;313
2019;05. Chamartín;052. Prosperidad;2.200;9.729;116;928
2019;05. Chamartín;053. Ciudad Jardín;1.161;4.817;66;422
2019;05. Chamartín;054. Hispanoamérica;1.246;7.748;78;662
2019;05. Chamartín;055. Nueva España;982;6.135;50;460
2019;05. Chamartín;056. Castilla;858;4.389;58;421
2019;06. Tetuán;06. Tetuán;;;;
2019;06. Tetuán;06. Tetuán;13.552;41.551;603;3.004
2019;06. Tetuán;061. Bellas Vistas;2.923;7.315;97;584
2019;06. Tetuán;062. Cuatro Caminos;2.214;9.268;89;744
2019;06. Tetuán;063. Castillejos;1.117;5.487;58;451
2019;06. Tetuán;064. Almenara;2.064;5.681;133;330
2019;06. Tetuán;065. Valdeacederas;2.624;7.189;120;426
2019;06. Tetuán;066. Berruguete;2.610;6.611;106;469
2019;07. Chamberí;07. Chamberí;;;;
2019;07. Chamberí;07. Chamberí;7.412;35.236;373;3.482
2019;07. Chamberí;071. Gaztambide;1.254;5.478;54;678
2019;07. Chamberí;072. Arapiles;1.461;6.257;67;647
2019;07. Chamberí;073. Trafalgar;1.480;6.687;93;624
2019;07. Chamberí;074. Almagro;881;4.772;29;346
2019;07. Chamberí;075. Ríos Rosas;1.417;7.351;69;624
2019;07. Chamberí;076. Vallehermoso;919;4.688;61;563
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;15.071;63.018;1.031;6.150
2019;08. Fuencarral-El Pardo;081. El Pardo;226;735;16;143
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;101;624;7;70
2019;08. Fuencarral-El Pardo;083. Peñagrande;2.989;10.355;210;1.200
2019;08. Fuencarral-El Pardo;084. Pilar;3.738;11.406;245;922
2019;08. Fuencarral-El Pardo;085. La Paz;1.546;7.642;106;1.098
2019;08. Fuencarral-El Pardo;086. Valverde;4.260;18.395;271;1.251
2019;08. Fuencarral-El Pardo;087. Mirasierra;1.478;8.352;124;1.012
2019;08. Fuencarral-El Pardo;088. El Goloso;733;5.509;52;454
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.664;26.972;406;3.076
2019;09. Moncloa-Aravaca;091. Casa de Campo;778;2.969;65;447
2019;09. Moncloa-Aravaca;092. Argüelles;1.304;5.459;53;599
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;711;3.493;37;462
2019;09. Moncloa-Aravaca;094. Valdezarza;2.259;6.949;163;710
2019;09. Moncloa-Aravaca;095. Valdemarín;222;1.441;5;111
2019;09. Moncloa-Aravaca;096. El Plantío;110;616;2;50
2019;09. Moncloa-Aravaca;097. Aravaca;1.280;6.045;81;696
2019;10. Latina;10. Latina;;;;
2019;10. Latina;10. Latina;22.260;53.392;1.256;4.993
2019;10. Latina;101. Los Cármenes;1.695;3.921;76;425
2019;10. Latina;102. Puerta del Ángel;4.255;9.496;221;833
2019;10. Latina;103. Lucero;3.451;8.235;174;744
2019;10. Latina;104. Aluche;6.042;14.185;307;1.250
2019;10. Latina;105. Campamento;1.802;4.143;130;340
2019;10. Latina;106. Cuatro Vientos;416;1.791;26;213
2019;10. Latina;107. Águilas;4.598;11.619;322;1.188
2019;11. Carabanchel;11. Carabanchel;;;;
