AÑO;DISTRITO;BARRIO;General;Autónomos;Empleados de Hogar;Resto
2017;11. Carabanchel;112. Opañel;11.020;1.295;0;1
2017;11. Carabanchel;113. San Isidro;12.775;1.451;0;2
2017;11. Carabanchel;114. Vista Alegre;14.788;1.570;0;2
2017;11. Carabanchel;115. Puerta Bonita;11.009;1.165;0;2
2017;11. Carabanchel;116. Buenavista;17.179;2.001;0;5
2017;11. Carabanchel;117. Abrantes;9.953;1.132;0;2
2017;12. Usera;12. Usera;;;;
2017;12. Usera;12. Usera;44.493;5.602;0;5
2017;12. Usera;121. Orcasitas;7.362;950;0;3
2017;12. Usera;122. Orcasur;4.369;474;0;0
2017;12. Usera;123. San Fermín;7.649;962;0;0
2017;12. Usera;124. Almendrales;6.804;925;0;0
2017;12. Usera;125. Moscardó;8.493;1.087;0;0
2017;12. Usera;126. Zofío;4.495;506;0;1
2017;12. Usera;127. Pradolongo;5.318;698;0;1
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;78.669;8.391;0;6
2017;13. Puente de Vallecas;131. Entrevías;10.739;1.061;0;0
2017;13. Puente de Vallecas;132. San Diego;13.588;1.430;0;1
2017;13. Puente de Vallecas;133. Palomeras Bajas;14.287;1.625;0;1
2017;13. Puente de Vallecas;134. Palomeras Sureste;15.336;1.677;0;2
2017;13. Puente de Vallecas;135. Portazgo;8.988;914;0;1
2017;13. Puente de Vallecas;136. Numancia;15.728;1.684;0;1
2017;14. Moratalaz;14. Moratalaz;;;;
2017;14. Moratalaz;14. Moratalaz;30.808;3.621;0;5
2017;14. Moratalaz;141. Pavones;2.896;276;0;0
2017;14. Moratalaz;142. Horcajo;2.429;354;0;0
2017;14. Moratalaz;143. Marroquina;9.088;1.179;0;2
2017;14. Moratalaz;144. Media Legua;5.493;678;0;2
2017;14. Moratalaz;145. Fontarrón;5.462;587;0;1
2017;14. Moratalaz;146. Vinateros;5.440;547;0;0
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;71.928;9.835;0;18
2017;15. Ciudad Lineal;151. Ventas;16.425;1.657;0;1
2017;15. Ciudad Lineal;152. Pueblo Nuevo;21.553;2.421;0;4
2017;15. Ciudad Lineal;153. Quintana;8.454;1.045;0;4
2017;15. Ciudad Lineal;154. Concepción;6.804;994;0;2
2017;15. Ciudad Lineal;155. San Pascual;5.935;938;0;2
2017;15. Ciudad Lineal;156. San Juan Bautista;3.899;832;0;0
2017;15. Ciudad Lineal;157. Colina;1.857;421;0;1
2017;15. Ciudad Lineal;158. Atalaya;413;131;0;0
2017;15. Ciudad Lineal;159. Costillares;6.588;1.396;0;4
2017;16. Hortaleza;16. Hortaleza;;;;
2017;16. Hortaleza;16. Hortaleza;62.036;10.138;0;19
2017;16. Hortaleza;161. Palomas;1.905;626;0;2
2017;16. Hortaleza;162. Piovera;4.286;1.465;0;3
2017;16. Hortaleza;163. Canillas;13.338;1.901;0;3
2017;16. Hortaleza;164. Pinar del Rey;17.522;2.278;0;2
2017;16. Hortaleza;165. Apóstol Santiago;4.992;653;0;1
2017;16. Hortaleza;166. Valdefuentes;19.993;3.215;0;8
2017;17. Villaverde;17. Villaverde;;;;
2017;17. Villaverde;17. Villaverde;49.116;4.660;0;5
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;14.672;1.421;0;1
2017;17. Villaverde;172. San Cristóbal;4.514;319;0;0
2017;17. Villaverde;173. Butarque;7.081;676;0;0
2017;17. Villaverde;174. Los Rosales;13.225;1.195;0;4
2017;17. Villaverde;175. Ángeles;9.624;1.049;0;0
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;41.081;4.278;0;5
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;13.382;1.425;0;1
2017;18. Villa de Vallecas;182. Santa Eugenia;8.777;1.048;0;3
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;18.922;1.805;0;1
2017;19. Vicálvaro;19. Vicálvaro;;;;
2017;19. Vicálvaro;19. Vicálvaro;25.633;2.843;0;5
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;10.878;1.112;0;1
2017;19. Vicálvaro;192. Valdebernardo;6.751;764;0;2
2017;19. Vicálvaro;193. Valderribas;7.885;955;0;2
2017;19. Vicálvaro;194. El Cañaveral;119;12;0;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;55.273;7.218;0;12
2017;20. San Blas-Canillejas;201. Simancas;9.718;1.172;0;1
2017;20. San Blas-Canillejas;202. Hellín;3.009;241;0;1
2017;20. San Blas-Canillejas;203. Amposta;2.711;197;0;1
2017;20. San Blas-Canillejas;204. Arcos;8.470;965;0;3
2017;20. San Blas-Canillejas;205. Rosas;11.998;1.674;0;2
2017;20. San Blas-Canillejas;206. Rejas;6.036;940;0;3
2017;20. San Blas-Canillejas;207. Canillejas;9.674;1.183;0;1
2017;20. San Blas-Canillejas;208. El Salvador;3.657;846;0;0
2017;21. Barajas;21. Barajas;;;;
2017;21. Barajas;21. Barajas;16.637;2.517;0;0
2017;21. Barajas;211. Alameda de Osuna;6.050;1.056;0;0
2017;21. Barajas;212. Aeropuerto;618;37;0;0
2017;21. Barajas;213. Casco Histórico de Barajas;2.752;293;0;0
2017;21. Barajas;214. Timón;4.652;553;0;0
2017;21. Barajas;215. Corralejos;2.565;578;0;0
2018;01. Centro;01. Centro;;;;
2018;01. Centro;01. Centro;46.396;11.179;0;8
2018;01. Centro;011. Palacio;7.566;1.973;0;3
2018;01. Centro;012. Embajadores;16.246;3.285;0;0
2018;01. Centro;013. Cortes;3.456;1.066;0;1
2018;01. Centro;014. Justicia;5.503;1.661;0;2
2018;01. Centro;015. Universidad;11.321;2.501;0;2
2018;01. Centro;016. Sol;2.304;692;0;0
2018;02. Arganzuela;02. Arganzuela;;;;
2018;02. Arganzuela;02. Arganzuela;56.871;8.782;0;14
2018;02. Arganzuela;021. Imperial;8.095;1.326;0;4
2018;02. Arganzuela;022. Acacias;12.977;2.161;0;4
2018;02. Arganzuela;023. Chopera;7.305;936;0;0
2018;02. Arganzuela;024. Legazpi;8.102;1.308;0;1
2018;02. Arganzuela;025. Delicias;10.397;1.542;0;3
2018;02. Arganzuela;026. Palos de Moguer;9.556;1.448;0;2
2018;02. Arganzuela;027. Atocha;438;61;0;0
2018;03. Retiro;03. Retiro;;;;
2018;03. Retiro;03. Retiro;38.375;7.569;0;21
2018;03. Retiro;031. Pacífico;11.387;1.935;0;6
2018;03. Retiro;032. Adelfas;6.722;998;0;2
2018;03. Retiro;033. Estrella;7.057;1.364;0;4
2018;03. Retiro;034. Ibiza;6.828;1.483;0;6
2018;03. Retiro;035. Los Jerónimos;1.894;571;0;0
2018;03. Retiro;036. Niño Jesús;4.487;1.218;0;3
2018;04. Salamanca;04. Salamanca;;;;
2018;04. Salamanca;04. Salamanca;46.310;10.280;0;21
2018;04. Salamanca;041. Recoletos;4.085;1.502;0;5
2018;04. Salamanca;042. Goya;9.473;2.106;0;4
2018;04. Salamanca;043. Fuente del Berro;7.229;1.271;0;3
2018;04. Salamanca;044. Guindalera;14.211;2.515;0;5
2018;04. Salamanca;045. Lista;6.592;1.451;0;1
2018;04. Salamanca;046. Castellana;4.720;1.435;0;3
2018;05. Chamartín;05. Chamartín;;;;
2018;05. Chamartín;05. Chamartín;46.789;10.667;0;23
2018;05. Chamartín;051. El Viso;4.974;1.768;0;11
2018;05. Chamartín;052. Prosperidad;12.783;2.102;0;5
2018;05. Chamartín;053. Ciudad Jardín;6.394;1.228;0;1
2018;05. Chamartín;054. Hispanoamérica;9.505;2.383;0;3
2018;05. Chamartín;055. Nueva España;7.455;2.127;0;2
2018;05. Chamartín;056. Castilla;5.678;1.058;0;1
2018;06. Tetuán;06. Tetuán;;;;
2018;06. Tetuán;06. Tetuán;57.676;7.480;0;7
2018;06. Tetuán;061. Bellas Vistas;10.701;1.287;0;1
2018;06. Tetuán;062. Cuatro Caminos;11.873;1.923;0;3
2018;06. Tetuán;063. Castillejos;6.983;1.203;0;1
2018;06. Tetuán;064. Almenara;8.113;880;0;0
2018;06. Tetuán;065. Valdeacederas;10.309;1.164;0;1
2018;06. Tetuán;066. Berruguete;9.697;1.023;0;1
2018;07. Chamberí;07. Chamberí;;;;
2018;07. Chamberí;07. Chamberí;45.356;9.461;0;21
2018;07. Chamberí;071. Gaztambide;7.203;1.472;0;5
2018;07. Chamberí;072. Arapiles;8.283;1.462;0;6
2018;07. Chamberí;073. Trafalgar;8.661;1.788;0;5
2018;07. Chamberí;074. Almagro;5.925;1.738;0;2
2018;07. Chamberí;075. Ríos Rosas;9.232;1.777;0;2
2018;07. Chamberí;076. Vallehermoso;6.051;1.224;0;1
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;83.868;12.692;0;37
2018;08. Fuencarral-El Pardo;081. El Pardo;1.065;129;0;0
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;786;290;0;0
2018;08. Fuencarral-El Pardo;083. Peñagrande;14.649;2.390;0;7
2018;08. Fuencarral-El Pardo;084. Pilar;16.056;1.860;0;4
2018;08. Fuencarral-El Pardo;085. La Paz;10.484;1.741;0;5
2018;08. Fuencarral-El Pardo;086. Valverde;23.755;2.935;0;8
2018;08. Fuencarral-El Pardo;087. Mirasierra;10.554;2.271;0;6
2018;08. Fuencarral-El Pardo;088. El Goloso;6.519;1.076;0;7
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;36.297;8.553;0;12
2018;09. Moncloa-Aravaca;091. Casa de Campo;4.187;757;0;2
2018;09. Moncloa-Aravaca;092. Argüelles;7.252;1.812;0;0
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;4.562;1.138;0;4
2018;09. Moncloa-Aravaca;094. Valdezarza;9.820;1.437;0;3
2018;09. Moncloa-Aravaca;095. Valdemarín;1.742;806;0;0
2018;09. Moncloa-Aravaca;096. El Plantío;751;305;0;0
2018;09. Moncloa-Aravaca;097. Aravaca;7.982;2.298;0;3
2018;10. Latina;10. Latina;;;;
2018;10. Latina;10. Latina;80.675;8.682;0;23
2018;10. Latina;101. Los Cármenes;5.938;682;0;3
2018;10. Latina;102. Puerta del Ángel;14.665;1.790;0;9
2018;10. Latina;103. Lucero;12.325;1.423;0;2
2018;10. Latina;104. Aluche;21.528;2.256;0;4
2018;10. Latina;105. Campamento;6.330;614;0;0
2018;10. Latina;106. Cuatro Vientos;2.393;277;0;0
2018;10. Latina;107. Águilas;17.493;1.640;0;5
2018;11. Carabanchel;11. Carabanchel;;;;
2018;11. Carabanchel;11. Carabanchel;87.960;9.906;0;16
2018;11. Carabanchel;111. Comillas;7.416;991;0;3
2018;11. Carabanchel;112. Opañel;11.566;1.372;0;1
2018;11. Carabanchel;113. San Isidro;13.427;1.478;0;2
2018;11. Carabanchel;114. Vista Alegre;15.527;1.622;0;1
2018;11. Carabanchel;115. Puerta Bonita;11.688;1.228;0;1
2018;11. Carabanchel;116. Buenavista;17.954;2.027;0;6
2018;11. Carabanchel;117. Abrantes;10.380;1.188;0;2
2018;12. Usera;12. Usera;;;;
2018;12. Usera;12. Usera;46.582;5.846;0;5
2018;12. Usera;121. Orcasitas;7.594;990;0;3
2018;12. Usera;122. Orcasur;4.529;490;0;0
2018;12. Usera;123. San Fermín;7.978;1.020;0;0
2018;12. Usera;124. Almendrales;7.192;896;0;0
2018;12. Usera;125. Moscardó;8.864;1.151;0;0
2018;12. Usera;126. Zofío;4.807;527;0;1
2018;12. Usera;127. Pradolongo;5.616;772;0;1
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;82.322;8.643;0;6
2018;13. Puente de Vallecas;131. Entrevías;11.326;1.072;0;0
2018;13. Puente de Vallecas;132. San Diego;14.505;1.481;0;1
2018;13. Puente de Vallecas;133. Palomeras Bajas;14.984;1.673;0;1
2018;13. Puente de Vallecas;134. Palomeras Sureste;15.665;1.682;0;3
2018;13. Puente de Vallecas;135. Portazgo;9.400;960;0;0
2018;13. Puente de Vallecas;136. Numancia;16.439;1.775;0;1
2018;14. Moratalaz;14. Moratalaz;;;;
2018;14. Moratalaz;14. Moratalaz;31.647;3.718;0;6
2018;14. Moratalaz;141. Pavones;2.981;284;0;0
2018;14. Moratalaz;142. Horcajo;2.456;358;0;1
2018;14. Moratalaz;143. Marroquina;9.280;1.216;0;2
2018;14. Moratalaz;144. Media Legua;5.611;698;0;2
2018;14. Moratalaz;145. Fontarrón;5.726;580;0;1
2018;14. Moratalaz;146. Vinateros;5.593;582;0;0
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;74.969;10.158;0;18
2018;15. Ciudad Lineal;151. Ventas;17.201;1.737;0;1
2018;15. Ciudad Lineal;152. Pueblo Nuevo;22.610;2.492;0;6
2018;15. Ciudad Lineal;153. Quintana;8.883;1.098;0;3
2018;15. Ciudad Lineal;154. Concepción;7.115;1.030;0;3
2018;15. Ciudad Lineal;155. San Pascual;6.026;942;0;1
2018;15. Ciudad Lineal;156. San Juan Bautista;4.024;866;0;0
2018;15. Ciudad Lineal;157. Colina;1.972;448;0;2
2018;15. Ciudad Lineal;158. Atalaya;421;130;0;0
2018;15. Ciudad Lineal;159. Costillares;6.717;1.415;0;2
2018;16. Hortaleza;16. Hortaleza;;;;
2018;16. Hortaleza;16. Hortaleza;64.444;10.463;0;15
2018;16. Hortaleza;161. Palomas;1.966;632;0;1
2018;16. Hortaleza;162. Piovera;4.475;1.493;0;2
2018;16. Hortaleza;163. Canillas;13.582;1.932;0;2
2018;16. Hortaleza;164. Pinar del Rey;18.023;2.303;0;1
2018;16. Hortaleza;165. Apóstol Santiago;5.203;680;0;2
2018;16. Hortaleza;166. Valdefuentes;21.195;3.423;0;7
2018;17. Villaverde;17. Villaverde;;;;
2018;17. Villaverde;17. Villaverde;51.524;4.898;0;4
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;15.395;1.477;0;1
2018;17. Villaverde;172. San Cristóbal;4.780;365;0;0
2018;17. Villaverde;173. Butarque;7.538;722;0;0
2018;17. Villaverde;174. Los Rosales;13.909;1.290;0;3
2018;17. Villaverde;175. Ángeles;9.902;1.044;0;0
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;43.199;4.484;0;6
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;13.779;1.396;0;0
2018;18. Villa de Vallecas;182. Santa Eugenia;8.974;1.065;0;3
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;20.446;2.023;0;3
2018;19. Vicálvaro;19. Vicálvaro;;;;
2018;19. Vicálvaro;19. Vicálvaro;26.668;2.969;0;5
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;11.700;1.208;0;1
2018;19. Vicálvaro;192. Valdebernardo;6.882;765;0;2
2018;19. Vicálvaro;193. Valderribas;7.739;958;0;2
2018;19. Vicálvaro;194. El Cañaveral;347;38;0;0
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;57.244;7.434;0;14
2018;20. San Blas-Canillejas;201. Simancas;10.284;1.185;0;2
2018;20. San Blas-Canillejas;202. Hellín;3.119;269;0;1
2018;20. San Blas-Canillejas;203. Amposta;2.862;208;0;1
2018;20. San Blas-Canillejas;204. Arcos;8.797;1.004;0;2
2018;20. San Blas-Canillejas;205. Rosas;12.267;1.696;0;2
2018;20. San Blas-Canillejas;206. Rejas;6.296;1.009;0;4
2018;20. San Blas-Canillejas;207. Canillejas;9.920;1.210;0;2
2018;20. San Blas-Canillejas;208. El Salvador;3.699;853;0;0
2018;21. Barajas;21. Barajas;;;;
2018;21. Barajas;21. Barajas;17.247;2.602;0;1
2018;21. Barajas;211. Alameda de Osuna;6.115;1.066;0;0
2018;21. Barajas;212. Aeropuerto;635;37;0;0
2018;21. Barajas;213. Casco Histórico de Barajas;2.843;308;0;0
2018;21. Barajas;214. Timón;4.955;591;0;1
2018;21. Barajas;215. Corralejos;2.699;600;0;0
2019;01. Centro;01. Centro;;;;
2019;01. Centro;01. Centro;47.630;11.665;0;12
2019;01. Centro;011. Palacio;7.783;2.055;0;3
2019;01. Centro;012. Embajadores;16.591;3.395;0;1
2019;01. Centro;013. Cortes;3.460;1.086;0;3
2019;01. Centro;014. Justicia;5.730;1.756;0;2
2019;01. Centro;015. Universidad;11.744;2.625;0;3
2019;01. Centro;016. Sol;2.322;747;0;0
2019;02. Arganzuela;02. Arganzuela;;;;
2019;02. Arganzuela;02. Arganzuela;57.398;8.768;0;13
2019;02. Arganzuela;021. Imperial;8.178;1.310;0;4
2019;02. Arganzuela;022. Acacias;13.047;2.125;0;3
2019;02. Arganzuela;023. Chopera;7.387;970;0;1
2019;02. Arganzuela;024. Legazpi;8.269;1.312;0;0
2019;02. Arganzuela;025. Delicias;10.555;1.516;0;3
2019;02. Arganzuela;026. Palos de Moguer;9.513;1.474;0;2
2019;02. Arganzuela;027. Atocha;448;61;0;0
2019;03. Retiro;03. Retiro;;;;
2019;03. Retiro;03. Retiro;38.669;7.583;0;15
2019;03. Retiro;031. Pacífico;11.480;1.915;0;6
2019;03. Retiro;032. Adelfas;6.733;1.019;0;1
2019;03. Retiro;033. Estrella;7.063;1.378;0;3
2019;03. Retiro;034. Ibiza;6.937;1.472;0;3
2019;03. Retiro;035. Los Jerónimos;1.887;554;0;0
2019;03. Retiro;036. Niño Jesús;4.569;1.245;0;2
2019;04. Salamanca;04. Salamanca;;;;
2019;04. Salamanca;04. Salamanca;46.616;10.345;0;18
2019;04. Salamanca;041. Recoletos;4.029;1.540;0;4
2019;04. Salamanca;042. Goya;9.406;2.166;0;3
2019;04. Salamanca;043. Fuente del Berro;7.407;1.301;0;2
2019;04. Salamanca;044. Guindalera;14.422;2.453;0;6
2019;04. Salamanca;045. Lista;6.628;1.432;0;1
2019;04. Salamanca;046. Castellana;4.724;1.453;0;2
2019;05. Chamartín;05. Chamartín;;;;
2019;05. Chamartín;05. Chamartín;47.528;10.742;0;21
2019;05. Chamartín;051. El Viso;5.002;1.793;0;9
2019;05. Chamartín;052. Prosperidad;12.973;2.095;0;4
2019;05. Chamartín;053. Ciudad Jardín;6.466;1.220;0;2
2019;05. Chamartín;054. Hispanoamérica;9.734;2.404;0;2
2019;05. Chamartín;055. Nueva España;7.627;2.170;0;3
2019;05. Chamartín;056. Castilla;5.726;1.060;0;1
2019;06. Tetuán;06. Tetuán;;;;
2019;06. Tetuán;06. Tetuán;58.710;7.581;0;5
2019;06. Tetuán;061. Bellas Vistas;10.919;1.297;0;0
2019;06. Tetuán;062. Cuatro Caminos;12.315;1.911;0;3
2019;06. Tetuán;063. Castillejos;7.113;1.212;0;1
2019;06. Tetuán;064. Almenara;8.208;883;0;0
2019;06. Tetuán;065. Valdeacederas;10.359;1.209;0;1
2019;06. Tetuán;066. Berruguete;9.796;1.069;0;0
2019;07. Chamberí;07. Chamberí;;;;
2019;07. Chamberí;07. Chamberí;46.503;9.529;0;19
2019;07. Chamberí;071. Gaztambide;7.464;1.485;0;5
2019;07. Chamberí;072. Arapiles;8.432;1.496;0;7
2019;07. Chamberí;073. Trafalgar;8.884;1.764;0;4
2019;07. Chamberí;074. Almagro;6.028;1.743;0;1
2019;07. Chamberí;075. Ríos Rosas;9.461;1.810;0;2
2019;07. Chamberí;076. Vallehermoso;6.231;1.231;0;0
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;85.270;12.699;0;34
2019;08. Fuencarral-El Pardo;081. El Pardo;1.120;133;0;0
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;802;305;0;0
2019;08. Fuencarral-El Pardo;083. Peñagrande;14.754;2.354;0;4
2019;08. Fuencarral-El Pardo;084. Pilar;16.311;1.839;0;6
2019;08. Fuencarral-El Pardo;085. La Paz;10.392;1.705;0;5
2019;08. Fuencarral-El Pardo;086. Valverde;24.177;3.006;0;6
2019;08. Fuencarral-El Pardo;087. Mirasierra;10.966;2.264;0;6
2019;08. Fuencarral-El Pardo;088. El Goloso;6.748;1.093;0;7
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;37.118;8.684;0;15
2019;09. Moncloa-Aravaca;091. Casa de Campo;4.259;765;0;3
2019;09. Moncloa-Aravaca;092. Argüelles;7.415;1.828;0;1
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;4.703;1.127;0;4
2019;09. Moncloa-Aravaca;094. Valdezarza;10.081;1.450;0;3
2019;09. Moncloa-Aravaca;095. Valdemarín;1.779;829;0;0
2019;09. Moncloa-Aravaca;096. El Plantío;778;319;0;0
2019;09. Moncloa-Aravaca;097. Aravaca;8.102;2.366;0;4
2019;10. Latina;10. Latina;;;;
2019;10. Latina;10. Latina;81.901;8.720;0;23
2019;10. Latina;101. Los Cármenes;6.117;658;0;4
2019;10. Latina;102. Puerta del Ángel;14.805;1.813;0;10
2019;10. Latina;103. Lucero;12.604;1.439;0;3
2019;10. Latina;104. Aluche;21.784;2.238;0;3
2019;10. Latina;105. Campamento;6.415;607;0;0
2019;10. Latina;106. Cuatro Vientos;2.446;291;0;0
2019;10. Latina;107. Águilas;17.727;1.674;0;3
2019;11. Carabanchel;11. Carabanchel;;;;
2019;11. Carabanchel;11. Carabanchel;89.904;10.127;0;17
2019;11. Carabanchel;111. Comillas;7.546;980;0;3
2019;11. Carabanchel;112. Opañel;11.741;1.382;0;1
2019;11. Carabanchel;113. San Isidro;13.593;1.582;0;4
2019;11. Carabanchel;114. Vista Alegre;15.795;1.642;0;1
2019;11. Carabanchel;115. Puerta Bonita;12.015;1.241;0;1
2019;11. Carabanchel;116. Buenavista;18.447;2.094;0;6
