AÑO;DISTRITO;BARRIO;Pais origen España;Origen Resto países de Europa;Pais origen América del Norte;Pais origen América Central;Pais origen América del Sur;Pais origen África;Pais origen Asia;Pais origen Oceanía
2017;04. Salamanca;043. Fuente del Berro;600;22;15;13;70;0;5;0
2017;04. Salamanca;044. Guindalera;1.052;52;52;25;146;4;13;3
2017;04. Salamanca;045. Lista;637;27;37;4;84;2;9;0
2017;04. Salamanca;046. Castellana;546;43;39;11;94;3;5;0
2017;05. Chamartín;05. Chamartín;;;;;;;;
2017;05. Chamartín;05. Chamartín;3.584;299;181;48;408;13;98;8
2017;05. Chamartín;051. El Viso;404;67;31;7;38;1;23;2
2017;05. Chamartín;052. Prosperidad;909;44;28;20;121;3;18;4
2017;05. Chamartín;053. Ciudad Jardín;437;25;11;7;63;1;13;0
2017;05. Chamartín;054. Hispanoamérica;743;43;47;7;70;2;18;1
2017;05. Chamartín;055. Nueva España;577;79;36;5;67;3;19;0
2017;05. Chamartín;056. Castilla;514;41;28;2;49;3;7;1
2017;06. Tetuán;06. Tetuán;;;;;;;;
2017;06. Tetuán;06. Tetuán;4.358;162;66;145;486;24;69;11
2017;06. Tetuán;061. Bellas Vistas;700;24;10;40;97;2;12;1
2017;06. Tetuán;062. Cuatro Caminos;1.025;48;26;23;100;7;13;5
2017;06. Tetuán;063. Castillejos;727;37;10;13;63;1;16;2
2017;06. Tetuán;064. Almenara;659;14;10;14;55;1;5;3
2017;06. Tetuán;065. Valdeacederas;607;18;5;18;81;9;10;0
2017;06. Tetuán;066. Berruguete;640;21;5;37;90;4;13;0
2017;07. Chamberí;07. Chamberí;;;;;;;;
2017;07. Chamberí;07. Chamberí;4.962;217;146;62;341;25;39;15
2017;07. Chamberí;071. Gaztambide;901;24;21;8;48;4;7;1
2017;07. Chamberí;072. Arapiles;902;32;20;12;59;3;6;1
2017;07. Chamberí;073. Trafalgar;852;47;25;11;82;3;5;7
2017;07. Chamberí;074. Almagro;626;31;28;10;35;7;10;6
2017;07. Chamberí;075. Ríos Rosas;1.000;52;16;15;78;0;5;0
2017;07. Chamberí;076. Vallehermoso;681;31;36;6;39;8;6;0
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;4.820;308;124;73;548;23;67;4
2017;08. Fuencarral-El Pardo;081. El Pardo;140;3;1;1;0;0;5;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;38;8;8;1;3;0;1;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;712;32;15;14;83;6;15;0
2017;08. Fuencarral-El Pardo;084. Pilar;916;35;9;22;120;4;1;0
2017;08. Fuencarral-El Pardo;085. La Paz;491;38;12;7;59;1;17;2
2017;08. Fuencarral-El Pardo;086. Valverde;1.488;84;31;17;204;10;18;0
2017;08. Fuencarral-El Pardo;087. Mirasierra;543;68;30;9;47;1;6;2
2017;08. Fuencarral-El Pardo;088. El Goloso;492;40;18;2;32;1;4;0
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;3.043;195;129;34;283;16;49;5
2017;09. Moncloa-Aravaca;091. Casa de Campo;345;16;3;0;32;1;6;0
2017;09. Moncloa-Aravaca;092. Argüelles;906;63;22;4;58;2;9;0
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;404;14;31;5;29;3;5;0
2017;09. Moncloa-Aravaca;094. Valdezarza;483;22;15;15;83;6;2;2
2017;09. Moncloa-Aravaca;095. Valdemarín;170;27;9;4;18;0;8;0
2017;09. Moncloa-Aravaca;096. El Plantío;70;1;1;0;14;1;2;0
2017;09. Moncloa-Aravaca;097. Aravaca;665;52;48;6;49;3;17;3
2017;10. Latina;10. Latina;;;;;;;;
2017;10. Latina;10. Latina;4.072;108;44;105;616;17;15;6
2017;10. Latina;101. Los Cármenes;306;12;1;10;54;3;0;1
2017;10. Latina;102. Puerta del Ángel;875;24;5;14;134;2;3;3
2017;10. Latina;103. Lucero;519;12;4;17;108;2;3;0
2017;10. Latina;104. Aluche;1.038;25;15;31;163;5;3;1
2017;10. Latina;105. Campamento;389;13;0;18;50;0;0;0
2017;10. Latina;106. Cuatro Vientos;161;1;3;0;5;0;0;0
2017;10. Latina;107. Águilas;784;21;16;15;102;5;6;1
2017;11. Carabanchel;11. Carabanchel;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;4.205;151;57;128;763;14;22;2
2017;11. Carabanchel;111. Comillas;436;14;9;21;60;0;0;1
2017;11. Carabanchel;112. Opañel;514;26;8;16;97;0;4;0
2017;11. Carabanchel;113. San Isidro;682;31;8;16;125;0;2;0
2017;11. Carabanchel;114. Vista Alegre;668;23;10;25;173;9;7;0
2017;11. Carabanchel;115. Puerta Bonita;657;21;4;19;113;4;4;0
2017;11. Carabanchel;116. Buenavista;792;22;3;13;91;0;4;1
2017;11. Carabanchel;117. Abrantes;456;14;15;18;104;1;1;0
2017;12. Usera;12. Usera;;;;;;;;
2017;12. Usera;12. Usera;1.977;88;36;89;414;14;11;2
2017;12. Usera;121. Orcasitas;305;14;4;2;26;0;0;0
2017;12. Usera;122. Orcasur;221;12;1;2;28;1;0;0
2017;12. Usera;123. San Fermín;274;10;6;13;50;3;2;0
2017;12. Usera;124. Almendrales;338;19;8;18;75;1;3;1
2017;12. Usera;125. Moscardó;392;16;8;21;115;4;2;1
2017;12. Usera;126. Zofío;189;5;3;12;53;4;0;0
2017;12. Usera;127. Pradolongo;258;12;6;21;67;1;4;0
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;3.712;114;36;148;705;28;26;1
2017;13. Puente de Vallecas;131. Entrevías;509;11;2;14;85;5;0;0
2017;13. Puente de Vallecas;132. San Diego;786;27;8;49;200;7;8;0
2017;13. Puente de Vallecas;133. Palomeras Bajas;497;21;8;13;85;7;5;0
2017;13. Puente de Vallecas;134. Palomeras Sureste;617;16;11;8;84;1;1;0
2017;13. Puente de Vallecas;135. Portazgo;458;10;2;20;74;0;4;0
2017;13. Puente de Vallecas;136. Numancia;845;29;5;44;177;8;8;1
2017;14. Moratalaz;14. Moratalaz;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;1.263;44;19;27;168;5;9;4
2017;14. Moratalaz;141. Pavones;122;4;2;0;6;4;2;1
2017;14. Moratalaz;142. Horcajo;68;2;0;0;5;0;0;0
2017;14. Moratalaz;143. Marroquina;336;15;2;9;29;0;1;0
2017;14. Moratalaz;144. Media Legua;256;10;5;6;38;0;3;1
2017;14. Moratalaz;145. Fontarrón;248;7;7;6;56;1;1;0
2017;14. Moratalaz;146. Vinateros;233;6;3;6;34;0;2;2
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;4.017;206;113;136;845;21;52;10
2017;15. Ciudad Lineal;151. Ventas;785;36;14;44;226;3;2;1
2017;15. Ciudad Lineal;152. Pueblo Nuevo;1.011;32;23;50;296;6;3;0
2017;15. Ciudad Lineal;153. Quintana;482;14;6;12;132;2;7;1
2017;15. Ciudad Lineal;154. Concepción;471;20;14;9;71;0;4;1
2017;15. Ciudad Lineal;155. San Pascual;292;14;11;7;29;4;1;1
2017;15. Ciudad Lineal;156. San Juan Bautista;246;19;15;1;28;2;6;0
2017;15. Ciudad Lineal;157. Colina;163;18;6;3;20;1;0;5
2017;15. Ciudad Lineal;158. Atalaya;55;2;0;2;7;2;0;0
2017;15. Ciudad Lineal;159. Costillares;512;51;24;8;36;1;29;1
2017;16. Hortaleza;16. Hortaleza;;;;;;;;
2017;16. Hortaleza;16. Hortaleza;3.757;209;112;67;435;18;78;13
2017;16. Hortaleza;161. Palomas;96;12;14;1;7;2;10;0
2017;16. Hortaleza;162. Piovera;283;28;23;1;21;2;19;0
2017;16. Hortaleza;163. Canillas;626;28;13;14;77;2;15;3
2017;16. Hortaleza;164. Pinar del Rey;856;33;17;33;124;7;7;2
2017;16. Hortaleza;165. Apóstol Santiago;364;18;6;5;32;1;0;4
2017;16. Hortaleza;166. Valdefuentes;1.532;90;39;13;174;4;27;4
2017;17. Villaverde;17. Villaverde;;;;;;;;
2017;17. Villaverde;17. Villaverde;2.156;61;22;129;392;16;9;0
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;720;17;3;43;104;6;1;0
2017;17. Villaverde;172. San Cristóbal;262;11;7;34;63;4;2;0
2017;17. Villaverde;173. Butarque;302;8;2;8;41;2;2;0
2017;17. Villaverde;174. Los Rosales;452;13;5;22;120;4;4;0
2017;17. Villaverde;175. Ángeles;420;12;5;22;64;0;0;0
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;2.235;49;20;24;227;3;8;0
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;688;20;12;13;103;2;1;0
2017;18. Villa de Vallecas;182. Santa Eugenia;343;8;2;2;28;0;3;0
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;1.204;21;6;9;96;1;4;0
2017;19. Vicálvaro;19. Vicálvaro;;;;;;;;
2017;19. Vicálvaro;19. Vicálvaro;1.149;34;8;18;143;5;0;2
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;540;14;4;11;103;4;0;0
2017;19. Vicálvaro;192. Valdebernardo;201;10;3;7;23;1;0;2
2017;19. Vicálvaro;193. Valderribas;221;10;1;0;15;0;0;0
2017;19. Vicálvaro;194. El Cañaveral;187;0;0;0;2;0;0;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;2.644;107;44;75;493;8;22;1
2017;20. San Blas-Canillejas;201. Simancas;588;22;6;28;101;1;2;1
2017;20. San Blas-Canillejas;202. Hellín;147;5;1;4;35;0;1;0
2017;20. San Blas-Canillejas;203. Amposta;146;8;0;13;33;1;2;0
2017;20. San Blas-Canillejas;204. Arcos;384;10;9;12;74;2;4;0
2017;20. San Blas-Canillejas;205. Rosas;374;16;8;1;46;1;3;0
2017;20. San Blas-Canillejas;206. Rejas;446;11;7;4;124;2;6;0
2017;20. San Blas-Canillejas;207. Canillejas;418;27;4;10;70;1;1;0
2017;20. San Blas-Canillejas;208. El Salvador;141;8;9;3;10;0;3;0
2017;21. Barajas;21. Barajas;;;;;;;;
2017;21. Barajas;21. Barajas;938;38;33;21;97;3;21;1
2017;21. Barajas;211. Alameda de Osuna;259;22;25;2;38;3;7;0
2017;21. Barajas;212. Aeropuerto;36;0;0;0;4;0;0;0
2017;21. Barajas;213. Casco Histórico de Barajas;212;4;2;6;17;0;1;1
2017;21. Barajas;214. Timón;271;8;3;3;21;0;5;0
2017;21. Barajas;215. Corralejos;160;4;3;10;17;0;8;0
2019;01. Centro;01. Centro;;;;;;;;
2019;01. Centro;01. Centro;1.295;1.354;755;224;1.636;169;834;39
2019;01. Centro;011. Palacio;178;187;138;33;239;13;51;8
2019;01. Centro;012. Embajadores;513;420;195;68;503;87;520;14
2019;01. Centro;013. Cortes;97;114;80;24;132;13;30;1
2019;01. Centro;014. Justicia;144;216;115;31;222;25;60;2
2019;01. Centro;015. Universidad;282;308;163;50;422;24;146;11
2019;01. Centro;016. Sol;81;109;64;18;118;7;27;3
2019;02. Arganzuela;02. Arganzuela;;;;;;;;
2019;02. Arganzuela;02. Arganzuela;753;396;171;243;933;69;253;7
2019;02. Arganzuela;021. Imperial;77;50;19;18;109;4;22;0
2019;02. Arganzuela;022. Acacias;114;81;37;37;120;8;40;2
2019;02. Arganzuela;023. Chopera;149;50;14;49;177;13;26;1
2019;02. Arganzuela;024. Legazpi;62;36;11;16;85;2;16;2
2019;02. Arganzuela;025. Delicias;137;72;22;67;209;17;59;0
2019;02. Arganzuela;026. Palos de Moguer;209;104;68;54;232;22;89;2
2019;02. Arganzuela;027. Atocha;5;3;0;2;1;3;1;0
2019;03. Retiro;03. Retiro;;;;;;;;
2019;03. Retiro;03. Retiro;324;301;171;168;704;20;119;8
2019;03. Retiro;031. Pacífico;117;116;47;75;226;10;35;3
2019;03. Retiro;032. Adelfas;49;32;11;19;86;1;21;0
2019;03. Retiro;033. Estrella;27;30;16;20;84;0;18;0
2019;03. Retiro;034. Ibiza;84;72;58;41;220;6;24;5
2019;03. Retiro;035. Los Jerónimos;17;26;27;2;49;3;8;0
2019;03. Retiro;036. Niño Jesús;30;25;12;11;39;0;13;0
2019;04. Salamanca;04. Salamanca;;;;;;;;
2019;04. Salamanca;04. Salamanca;689;866;512;348;1.825;133;352;14
2019;04. Salamanca;041. Recoletos;85;110;123;40;236;15;47;3
2019;04. Salamanca;042. Goya;163;174;108;72;421;18;73;2
2019;04. Salamanca;043. Fuente del Berro;88;85;33;44;192;6;35;1
2019;04. Salamanca;044. Guindalera;183;178;57;93;378;57;71;2
2019;04. Salamanca;045. Lista;92;155;81;53;323;14;45;4
2019;04. Salamanca;046. Castellana;78;164;110;46;275;23;81;2
2019;05. Chamartín;05. Chamartín;;;;;;;;
2019;05. Chamartín;05. Chamartín;517;488;207;237;1.040;116;247;17
2019;05. Chamartín;051. El Viso;55;93;42;25;109;9;54;1
2019;05. Chamartín;052. Prosperidad;146;95;56;82;340;31;67;4
2019;05. Chamartín;053. Ciudad Jardín;98;89;32;48;174;22;35;1
2019;05. Chamartín;054. Hispanoamérica;64;76;26;31;153;5;22;8
2019;05. Chamartín;055. Nueva España;79;77;36;35;135;29;50;2
2019;05. Chamartín;056. Castilla;75;58;15;16;129;20;19;1
2019;06. Tetuán;06. Tetuán;;;;;;;;
2019;06. Tetuán;06. Tetuán;1.235;526;174;742;1.874;148;698;3
2019;06. Tetuán;061. Bellas Vistas;246;101;40;216;372;28;166;1
2019;06. Tetuán;062. Cuatro Caminos;213;111;42;146;337;11;127;1
2019;06. Tetuán;063. Castillejos;109;88;45;54;194;19;92;1
2019;06. Tetuán;064. Almenara;162;53;18;66;219;23;61;0
2019;06. Tetuán;065. Valdeacederas;241;85;9;127;409;28;114;0
2019;06. Tetuán;066. Berruguete;264;88;20;133;343;39;138;0
2019;07. Chamberí;07. Chamberí;;;;;;;;
2019;07. Chamberí;07. Chamberí;577;557;308;276;1.103;69;308;9
2019;07. Chamberí;071. Gaztambide;111;88;47;43;178;12;55;0
2019;07. Chamberí;072. Arapiles;96;101;57;52;195;6;56;1
2019;07. Chamberí;073. Trafalgar;110;102;69;36;248;10;51;4
2019;07. Chamberí;074. Almagro;80;94;53;49;156;17;53;2
2019;07. Chamberí;075. Ríos Rosas;114;113;53;69;208;12;47;1
2019;07. Chamberí;076. Vallehermoso;66;59;29;27;118;12;46;1
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;913;480;123;482;1.438;104;460;8
2019;08. Fuencarral-El Pardo;081. El Pardo;6;1;5;10;10;0;0;0
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;11;1;0;10;11;3;5;0
2019;08. Fuencarral-El Pardo;083. Peñagrande;145;73;21;80;272;24;53;5
2019;08. Fuencarral-El Pardo;084. Pilar;219;65;10;111;368;34;71;1
2019;08. Fuencarral-El Pardo;085. La Paz;85;30;19;26;109;4;48;0
2019;08. Fuencarral-El Pardo;086. Valverde;335;206;32;216;546;22;229;2
2019;08. Fuencarral-El Pardo;087. Mirasierra;62;60;23;26;56;5;21;0
2019;08. Fuencarral-El Pardo;088. El Goloso;50;44;13;3;66;12;33;0
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;511;317;177;303;729;68;230;11
2019;09. Moncloa-Aravaca;091. Casa de Campo;43;44;2;11;64;3;18;1
2019;09. Moncloa-Aravaca;092. Argüelles;113;103;82;31;182;24;77;4
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;49;27;21;118;83;25;26;0
2019;09. Moncloa-Aravaca;094. Valdezarza;129;42;15;83;223;10;59;2
2019;09. Moncloa-Aravaca;095. Valdemarín;29;21;2;9;56;2;11;0
2019;09. Moncloa-Aravaca;096. El Plantío;17;5;3;8;8;0;7;0
2019;09. Moncloa-Aravaca;097. Aravaca;131;75;52;43;113;4;32;4
2019;10. Latina;10. Latina;;;;;;;;
2019;10. Latina;10. Latina;1.728;625;87;1.128;2.326;153;456;4
2019;10. Latina;101. Los Cármenes;139;39;7;58;152;13;39;0
2019;10. Latina;102. Puerta del Ángel;396;126;26;169;576;29;150;2
2019;10. Latina;103. Lucero;277;94;15;172;401;28;102;1
2019;10. Latina;104. Aluche;445;163;20;353;659;43;95;1
2019;10. Latina;105. Campamento;186;67;5;222;188;14;37;0
2019;10. Latina;106. Cuatro Vientos;18;4;1;3;17;2;4;0
2019;10. Latina;107. Águilas;267;132;13;151;333;24;29;0
2019;11. Carabanchel;11. Carabanchel;;;;;;;;
2019;11. Carabanchel;11. Carabanchel;2.404;698;70;1.467;3.199;238;434;4
2019;11. Carabanchel;111. Comillas;190;68;12;112;265;17;34;0
2019;11. Carabanchel;112. Opañel;318;110;9;174;485;29;92;0
2019;11. Carabanchel;113. San Isidro;366;95;18;281;473;48;89;1
2019;11. Carabanchel;114. Vista Alegre;463;140;13;332;671;35;75;1
2019;11. Carabanchel;115. Puerta Bonita;409;103;5;272;508;47;55;0
2019;11. Carabanchel;116. Buenavista;363;107;8;132;337;50;17;2
2019;11. Carabanchel;117. Abrantes;295;75;5;164;460;12;72;0
2019;12. Usera;12. Usera;;;;;;;;
2019;12. Usera;12. Usera;1.797;316;45;687;1.601;65;707;0
2019;12. Usera;121. Orcasitas;70;29;4;28;112;3;15;0
2019;12. Usera;122. Orcasur;114;28;4;22;112;7;50;0
2019;12. Usera;123. San Fermín;202;44;5;104;225;11;85;0
2019;12. Usera;124. Almendrales;386;54;4;118;318;14;143;0
2019;12. Usera;125. Moscardó;453;77;18;170;390;10;193;0
2019;12. Usera;126. Zofío;168;39;4;119;175;11;56;0
2019;12. Usera;127. Pradolongo;404;45;6;126;269;9;165;0
2019;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;2.062;583;70;1.501;2.365;338;373;5
2019;13. Puente de Vallecas;131. Entrevías;256;95;5;153;270;60;26;0
2019;13. Puente de Vallecas;132. San Diego;597;148;19;469;659;113;113;0
2019;13. Puente de Vallecas;133. Palomeras Bajas;289;69;9;161;330;33;45;0
2019;13. Puente de Vallecas;134. Palomeras Sureste;242;86;10;120;318;48;60;0
2019;13. Puente de Vallecas;135. Portazgo;201;65;10;153;191;16;45;3
2019;13. Puente de Vallecas;136. Numancia;477;120;17;445;597;68;84;2
2019;14. Moratalaz;14. Moratalaz;;;;;;;;
2019;14. Moratalaz;14. Moratalaz;370;130;60;213;601;30;74;1
2019;14. Moratalaz;141. Pavones;45;15;34;16;57;1;10;1
2019;14. Moratalaz;142. Horcajo;4;3;0;1;8;1;0;0
2019;14. Moratalaz;143. Marroquina;59;37;6;27;118;10;29;0
2019;14. Moratalaz;144. Media Legua;88;24;9;34;104;9;16;0
2019;14. Moratalaz;145. Fontarrón;100;33;9;98;159;3;8;0
2019;14. Moratalaz;146. Vinateros;74;18;2;37;155;6;11;0
2019;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;1.312;571;125;853;2.405;157;327;6
2019;15. Ciudad Lineal;151. Ventas;342;132;28;233;623;17;80;1
2019;15. Ciudad Lineal;152. Pueblo Nuevo;430;165;31;309;821;32;81;1
2019;15. Ciudad Lineal;153. Quintana;237;81;11;186;420;11;26;0
2019;15. Ciudad Lineal;154. Concepción;120;57;14;69;246;23;52;2
2019;15. Ciudad Lineal;155. San Pascual;62;48;12;16;96;5;17;2
2019;15. Ciudad Lineal;156. San Juan Bautista;56;29;6;8;74;55;32;0
2019;15. Ciudad Lineal;157. Colina;19;30;9;12;54;6;14;0
2019;15. Ciudad Lineal;158. Atalaya;9;2;2;0;6;2;1;0
2019;15. Ciudad Lineal;159. Costillares;37;27;12;20;65;6;24;0
2019;16. Hortaleza;16. Hortaleza;;;;;;;;
2019;16. Hortaleza;16. Hortaleza;708;627;100;239;1.293;112;283;3
2019;16. Hortaleza;161. Palomas;24;46;2;1;22;3;2;0
2019;16. Hortaleza;162. Piovera;44;143;9;10;56;9;46;1
2019;16. Hortaleza;163. Canillas;144;83;32;50;244;41;54;0
2019;16. Hortaleza;164. Pinar del Rey;207;105;20;108;454;22;49;1
2019;16. Hortaleza;165. Apóstol Santiago;53;30;2;28;71;14;12;0
2019;16. Hortaleza;166. Valdefuentes;236;220;35;42;446;23;120;1
2019;17. Villaverde;17. Villaverde;;;;;;;;
2019;17. Villaverde;17. Villaverde;1.565;433;39;742;1.454;309;228;0
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;514;134;10;206;424;90;42;0
2019;17. Villaverde;172. San Cristóbal;273;54;4;192;208;104;70;0
2019;17. Villaverde;173. Butarque;131;40;5;41;140;15;11;0
2019;17. Villaverde;174. Los Rosales;398;120;14;145;389;65;62;0
2019;17. Villaverde;175. Ángeles;249;85;6;158;293;35;43;0
2019;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;565;235;16;177;695;72;73;3
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;275;108;5;111;329;44;31;0
2019;18. Villa de Vallecas;182. Santa Eugenia;84;51;6;33;88;7;6;0
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;206;76;5;33;278;21;36;3
2019;19. Vicálvaro;19. Vicálvaro;;;;;;;;
2019;19. Vicálvaro;19. Vicálvaro;376;167;19;94;375;57;74;0
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;279;132;8;79;267;48;61;0
2019;19. Vicálvaro;192. Valdebernardo;57;24;6;10;64;6;9;0
2019;19. Vicálvaro;193. Valderribas;23;10;5;5;40;2;4;0
2019;19. Vicálvaro;194. El Cañaveral;17;1;0;0;4;1;0;0
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;928;413;74;495;1.449;108;205;0
2019;20. San Blas-Canillejas;201. Simancas;245;85;17;148;311;23;41;0
2019;20. San Blas-Canillejas;202. Hellín;59;15;3;32;79;4;9;0
2019;20. San Blas-Canillejas;203. Amposta;70;27;0;57;94;11;2;0
2019;20. San Blas-Canillejas;204. Arcos;106;27;6;68;143;13;17;0
2019;20. San Blas-Canillejas;205. Rosas;56;30;1;25;115;7;19;0
2019;20. San Blas-Canillejas;206. Rejas;187;90;28;48;360;22;83;0
2019;20. San Blas-Canillejas;207. Canillejas;182;104;9;102;296;18;14;0
2019;20. San Blas-Canillejas;208. El Salvador;23;35;10;15;51;10;20;0
2019;21. Barajas;21. Barajas;;;;;;;;
2019;21. Barajas;21. Barajas;208;113;23;82;231;32;33;1
2019;21. Barajas;211. Alameda de Osuna;39;33;10;15;51;2;10;0
2019;21. Barajas;212. Aeropuerto;30;6;0;14;9;3;1;0
2019;21. Barajas;213. Casco Histórico de Barajas;67;45;3;34;71;8;9;1
2019;21. Barajas;214. Timón;56;21;8;15;71;17;7;0
2019;21. Barajas;215. Corralejos;16;8;2;4;29;2;6;0
2018;01. Centro;01. Centro;;;;;;;;
2018;01. Centro;01. Centro;7.260;1.955;1.003;501;2.879;1.072;290;55
2018;01. Centro;011. Palacio;1.092;253;139;46;376;81;23;12
2018;01. Centro;012. Embajadores;2.318;620;253;152;981;631;160;14
2018;01. Centro;013. Cortes;546;173;118;55;235;67;15;1
2018;01. Centro;014. Justicia;1.003;303;155;56;383;72;26;7
2018;01. Centro;015. Universidad;1.907;475;255;156;701;163;41;17
2018;01. Centro;016. Sol;394;131;83;36;203;58;25;4
2018;02. Arganzuela;02. Arganzuela;;;;;;;;
2018;02. Arganzuela;02. Arganzuela;4.760;639;313;376;1.620;312;92;16
2018;02. Arganzuela;021. Imperial;546;87;48;21;165;24;19;1
2018;02. Arganzuela;022. Acacias;911;120;62;50;269;34;16;6
2018;02. Arganzuela;023. Chopera;700;77;40;109;334;44;17;1
2018;02. Arganzuela;024. Legazpi;502;56;28;22;91;16;2;0
2018;02. Arganzuela;025. Delicias;982;142;53;73;374;85;21;2
2018;02. Arganzuela;026. Palos de Moguer;1.101;156;82;99;377;109;17;6
2018;02. Arganzuela;027. Atocha;18;1;0;2;10;0;0;0
2018;03. Retiro;03. Retiro;;;;;;;;
2018;03. Retiro;03. Retiro;3.134;468;371;245;1.186;169;54;22
2018;03. Retiro;031. Pacífico;1.007;122;72;86;403;56;14;6
2018;03. Retiro;032. Adelfas;514;67;33;36;143;23;9;0
2018;03. Retiro;033. Estrella;424;38;40;28;116;18;13;10
2018;03. Retiro;034. Ibiza;650;137;126;50;373;43;14;4
2018;03. Retiro;035. Los Jerónimos;236;54;41;18;61;15;1;0
2018;03. Retiro;036. Niño Jesús;303;50;59;27;90;14;3;2
2018;04. Salamanca;04. Salamanca;;;;;;;;
2018;04. Salamanca;04. Salamanca;4.801;1.194;884;575;2.720;486;182;22
2018;04. Salamanca;041. Recoletos;519;189;216;76;315;51;23;6
2018;04. Salamanca;042. Goya;1.042;269;171;96;632;71;20;5
2018;04. Salamanca;043. Fuente del Berro;656;108;58;67;325;64;11;1
2018;04. Salamanca;044. Guindalera;1.289;218;108;148;580;70;71;1
2018;04. Salamanca;045. Lista;746;204;140;84;472;95;27;9
