AÑO;DISTRITO;BARRIO;Hombre Españoles 0 a 15 años;Hombre Españoles 16 a 64 años;Hombre Españoles 65 y más años;Hombre Españoles No consta;Mujeres Españolas 0 a 15 años;Mujeres Españolas 16 a 64 años;Mujeres Españolas 65 y más años;Mujeres Españolas No consta;Hombre Extranjero 0 a 15 años;Hombre Extranjero 16 a 64 años;Hombre Extranjero 65 y más años;Hombre Extranjero No consta;Mujeres Extranjera 0 a 15 años;Mujeres Extranjera 16 a 64 años;Mujeres Extranjera 65 y más años;Mujeres Extranjera No consta
2017;06. Tetuán;066. Berruguete;1.279;5.854;1.416;0;1.277;6.606;2.566;0;323;2.028;58;0;312;2.796;93;0
2017;07. Chamberí;07. Chamberí;;;;;;;;;;;;;;;;
2017;07. Chamberí;07. Chamberí;7.092;35.726;11.639;0;6.911;41.021;21.216;0;643;5.451;274;0;610;7.412;423;0
2017;07. Chamberí;071. Gaztambide;1.046;5.804;2.072;0;1.002;6.697;3.657;0;88;877;42;0;86;1.235;60;0
2017;07. Chamberí;072. Arapiles;1.225;6.377;2.023;0;1.165;7.236;3.713;0;131;995;41;0;111;1.246;72;0
2017;07. Chamberí;073. Trafalgar;1.202;6.518;1.823;0;1.144;7.526;3.259;0;142;1.187;50;0;120;1.491;61;0
2017;07. Chamberí;074. Almagro;1.070;4.998;1.610;0;1.070;5.556;2.959;0;98;894;67;0;103;1.266;108;0
2017;07. Chamberí;075. Ríos Rosas;1.434;6.973;2.188;0;1.450;8.128;4.001;0;127;1.046;52;0;129;1.439;82;0
2017;07. Chamberí;076. Vallehermoso;1.115;5.056;1.923;0;1.080;5.878;3.627;0;57;452;22;0;61;735;40;0
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;20.968;64.565;20.564;0;19.827;69.018;28.738;0;1.399;6.589;348;0;1.259;9.072;580;0
2017;08. Fuencarral-El Pardo;081. El Pardo;198;1.098;340;0;194;947;560;0;8;44;1;0;7;53;6;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;257;770;345;0;266;884;464;0;11;43;11;0;10;153;20;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;2.824;11.856;4.644;0;2.628;12.889;6.303;0;204;1.127;64;0;183;1.580;110;0
2017;08. Fuencarral-El Pardo;084. Pilar;2.279;11.355;5.304;0;2.085;12.130;8.080;0;336;1.756;77;0;304;2.255;133;0
2017;08. Fuencarral-El Pardo;085. La Paz;1.791;8.706;4.628;0;1.685;9.694;5.657;0;108;554;39;0;95;765;61;0
2017;08. Fuencarral-El Pardo;086. Valverde;7.221;16.529;2.738;0;6.838;17.628;4.306;0;550;2.355;83;0;490;3.041;162;0
2017;08. Fuencarral-El Pardo;087. Mirasierra;3.410;9.281;2.051;0;3.290;10.023;2.456;0;108;425;54;0;101;796;63;0
2017;08. Fuencarral-El Pardo;088. El Goloso;2.988;4.970;514;0;2.841;4.823;912;0;74;285;19;0;69;429;25;0
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;8.306;31.093;9.956;0;7.850;33.686;15.234;0;639;4.049;200;0;558;5.935;329;0
2017;09. Moncloa-Aravaca;091. Casa de Campo;636;3.685;1.129;0;620;3.764;2.030;0;35;428;22;0;36;482;33;0
2017;09. Moncloa-Aravaca;092. Argüelles;1.116;6.369;2.192;0;1.081;6.683;3.716;0;124;1.042;47;0;91;1.440;91;0
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;982;4.128;1.611;0;980;4.482;2.413;0;48;516;29;0;43;816;49;0
2017;09. Moncloa-Aravaca;094. Valdezarza;1.736;7.499;2.864;0;1.598;8.266;4.393;0;194;1.127;38;0;183;1.462;58;0
2017;09. Moncloa-Aravaca;095. Valdemarín;923;1.630;278;0;863;1.855;390;0;37;140;10;0;44;371;19;0
2017;09. Moncloa-Aravaca;096. El Plantío;275;686;236;0;251;781;271;0;9;69;12;0;7;107;16;0
2017;09. Moncloa-Aravaca;097. Aravaca;2.638;7.096;1.646;0;2.457;7.855;2.021;0;192;727;42;0;154;1.257;63;0
2017;10. Latina;10. Latina;;;;;;;;;;;;;;;;
2017;10. Latina;10. Latina;12.845;57.643;23.259;0;12.350;60.774;34.782;0;2.270;13.012;362;0;2.106;15.738;643;0
2017;10. Latina;101. Los Cármenes;1.124;4.754;1.135;0;1.109;4.976;1.786;0;143;918;28;0;140;1.043;36;0
2017;10. Latina;102. Puerta del Ángel;2.118;10.285;3.165;0;2.021;10.983;5.328;0;439;2.985;69;0;374;3.519;111;0
2017;10. Latina;103. Lucero;2.008;8.802;3.129;0;1.854;9.306;4.872;0;358;2.136;58;0;336;2.530;99;0
2017;10. Latina;104. Aluche;3.071;14.667;8.016;0;3.087;15.637;11.586;0;704;3.711;85;0;700;4.494;203;0
2017;10. Latina;105. Campamento;1.032;4.532;1.836;0;1.025;4.687;2.635;0;213;1.185;29;0;189;1.562;57;0
2017;10. Latina;106. Cuatro Vientos;680;1.871;158;0;612;1.837;166;0;20;130;11;0;15;144;18;0
2017;10. Latina;107. Águilas;2.812;12.732;5.820;0;2.642;13.348;8.409;0;393;1.947;82;0;352;2.446;119;0
2017;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;16.092;60.107;18.387;0;15.300;65.080;29.056;0;2.955;17.557;425;0;2.901;19.583;773;0
2017;11. Carabanchel;111. Comillas;1.065;5.348;1.981;0;1.021;5.804;3.302;0;227;1.497;46;0;196;1.684;77;0
2017;11. Carabanchel;112. Opañel;1.640;7.654;2.561;0;1.603;8.538;4.149;0;375;2.509;57;0;393;2.926;86;0
2017;11. Carabanchel;113. San Isidro;2.217;9.459;2.841;0;2.107;10.246;4.469;0;483;2.903;64;0;432;3.194;138;0
2017;11. Carabanchel;114. Vista Alegre;2.333;9.815;3.951;0;2.148;11.283;6.312;0;628;3.670;82;0;579;4.043;163;0
2017;11. Carabanchel;115. Puerta Bonita;2.177;8.046;2.412;0;2.021;8.467;3.902;0;453;2.794;60;0;465;3.020;116;0
2017;11. Carabanchel;116. Buenavista;4.523;12.585;2.611;0;4.301;13.015;3.609;0;438;2.111;64;0;461;2.401;97;0
2017;11. Carabanchel;117. Abrantes;2.137;7.200;2.030;0;2.099;7.727;3.313;0;351;2.073;52;0;375;2.315;96;0
2017;12. Usera;12. Usera;;;;;;;;;;;;;;;;
2017;12. Usera;12. Usera;8.958;32.823;8.921;0;8.620;35.240;14.231;0;2.162;11.463;254;0;1.983;11.886;436;0
2017;12. Usera;121. Orcasitas;1.940;6.250;1.688;0;1.858;6.495;2.688;0;129;609;18;0;117;723;40;0
2017;12. Usera;122. Orcasur;1.078;3.854;747;0;979;3.923;1.174;0;135;741;21;0;134;742;44;0
2017;12. Usera;123. San Fermín;1.904;5.968;1.312;0;1.843;6.208;1.913;0;313;1.564;49;0;344;1.692;98;0
2017;12. Usera;124. Almendrales;1.228;4.605;1.256;0;1.172;5.073;2.156;0;392;2.301;42;0;366;2.317;78;0
2017;12. Usera;125. Moscardó;1.241;5.557;1.844;0;1.184;6.250;3.027;0;493;2.784;52;0;436;2.779;79;0
2017;12. Usera;126. Zofío;734;3.202;965;0;744;3.529;1.473;0;222;1.227;21;0;216;1.325;39;0
2017;12. Usera;127. Pradolongo;833;3.387;1.109;0;840;3.762;1.800;0;478;2.237;51;0;370;2.308;58;0
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;13.973;61.077;16.081;0;13.114;63.907;24.922;0;2.778;14.770;364;0;2.599;16.302;600;0
2017;13. Puente de Vallecas;131. Entrevías;2.252;9.188;2.566;0;2.014;9.150;4.095;0;371;1.893;44;0;325;2.004;84;0
2017;13. Puente de Vallecas;132. San Diego;2.366;9.364;2.196;0;2.184;9.956;3.600;0;793;4.224;93;0;714;4.646;130;0
2017;13. Puente de Vallecas;133. Palomeras Bajas;2.342;11.345;2.528;0;2.325;12.276;3.842;0;380;1.977;42;0;385;2.138;89;0
2017;13. Puente de Vallecas;134. Palomeras Sureste;2.670;12.225;3.115;0;2.587;12.561;4.528;0;348;1.709;48;0;339;1.905;85;0
2017;13. Puente de Vallecas;135. Portazgo;1.733;7.306;2.309;0;1.553;7.631;3.741;0;277;1.371;37;0;268;1.620;62;0
2017;13. Puente de Vallecas;136. Numancia;2.610;11.649;3.367;0;2.451;12.333;5.116;0;609;3.596;100;0;568;3.989;150;0
2017;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;5.314;24.839;9.488;0;5.134;26.866;14.681;0;503;2.929;130;0;487;3.679;210;0
2017;14. Moratalaz;141. Pavones;532;2.413;838;0;545;2.605;1.299;0;38;335;18;0;49;383;26;0
2017;14. Moratalaz;142. Horcajo;628;2.089;211;0;569;2.339;276;0;15;81;7;0;9;87;15;0
2017;14. Moratalaz;143. Marroquina;1.432;7.622;2.978;0;1.324;8.208;4.243;0;95;585;30;0;94;727;39;0
2017;14. Moratalaz;144. Media Legua;913;4.626;1.916;0;934;4.994;2.906;0;91;529;15;0;92;708;33;0
2017;14. Moratalaz;145. Fontarrón;957;4.150;1.654;0;911;4.340;2.785;0;147;796;26;0;140;949;47;0
2017;14. Moratalaz;146. Vinateros;852;3.939;1.891;0;851;4.380;3.172;0;117;603;34;0;103;825;50;0
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;12.535;53.454;18.521;0;11.893;59.947;29.826;0;1.707;10.661;420;0;1.682;13.135;678;0
2017;15. Ciudad Lineal;151. Ventas;2.400;11.440;4.217;0;2.346;12.870;7.110;0;434;2.821;91;0;424;3.445;143;0
2017;15. Ciudad Lineal;152. Pueblo Nuevo;3.428;15.171;5.248;0;3.175;16.612;7.963;0;588;3.756;109;0;556;4.365;189;0
2017;15. Ciudad Lineal;153. Quintana;1.213;5.756;1.893;0;1.149;6.640;3.477;0;226;1.607;48;0;250;2.025;89;0
2017;15. Ciudad Lineal;154. Concepción;1.161;5.115;1.718;0;1.076;5.770;3.193;0;171;974;42;0;179;1.318;86;0
2017;15. Ciudad Lineal;155. San Pascual;1.072;4.595;1.808;0;1.005;5.369;2.816;0;88;513;24;0;98;636;44;0
2017;15. Ciudad Lineal;156. San Juan Bautista;887;3.329;1.040;0;886;3.658;1.548;0;102;400;23;0;76;453;30;0
2017;15. Ciudad Lineal;157. Colina;446;1.566;546;0;459;1.834;835;0;29;225;23;0;34;264;27;0
2017;15. Ciudad Lineal;158. Atalaya;125;347;125;0;137;464;218;0;14;39;6;0;8;86;6;0
2017;15. Ciudad Lineal;159. Costillares;1.803;6.135;1.926;0;1.660;6.730;2.666;0;55;326;54;0;57;543;64;0
2017;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;;;;;
2017;16. Hortaleza;16. Hortaleza;15.210;50.554;13.979;0;14.462;53.015;19.585;0;1.533;5.743;319;0;1.367;7.630;533;0
2017;16. Hortaleza;161. Palomas;701;1.892;443;0;599;1.999;503;0;64;179;13;0;69;254;22;0
2017;16. Hortaleza;162. Piovera;1.146;4.076;869;0;1.151;4.477;967;0;224;672;55;0;208;808;70;0
2017;16. Hortaleza;163. Canillas;2.305;10.757;4.342;0;2.178;11.475;6.120;0;303;1.173;53;0;233;1.581;107;0
2017;16. Hortaleza;164. Pinar del Rey;3.010;13.438;5.444;0;2.831;14.361;8.117;0;373;1.775;79;0;340;2.355;151;0
2017;16. Hortaleza;165. Apóstol Santiago;905;4.580;1.231;0;893;4.559;1.907;0;89;419;26;0;79;547;36;0
2017;16. Hortaleza;166. Valdefuentes;7.143;15.811;1.650;0;6.810;16.144;1.971;0;480;1.525;93;0;438;2.085;147;0
2017;17. Villaverde;17. Villaverde;;;;;;;;;;;;;;;;
2017;17. Villaverde;17. Villaverde;10.519;35.978;10.186;0;9.818;37.802;14.973;0;2.122;10.493;253;0;1.994;10.904;478;0
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;3.038;11.096;2.998;0;2.893;11.656;4.523;0;660;3.278;69;0;638;3.328;121;0
2017;17. Villaverde;172. San Cristóbal;1.162;3.235;711;0;1.054;3.377;1.276;0;432;1.947;39;0;336;1.824;104;0
2017;17. Villaverde;173. Butarque;2.168;4.977;616;0;2.006;5.223;843;0;207;855;36;0;215;1.049;73;0
2017;17. Villaverde;174. Los Rosales;2.549;9.455;2.576;0;2.344;9.969;3.463;0;521;2.713;60;0;460;2.771;93;0
2017;17. Villaverde;175. Ángeles;1.602;7.215;3.285;0;1.521;7.577;4.868;0;302;1.700;49;0;345;1.932;87;0
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;9.885;31.237;5.460;0;9.016;32.482;7.444;0;1.043;4.580;147;0;989;5.108;258;0
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.040;10.475;2.666;0;2.917;10.910;3.751;0;577;2.307;63;0;536;2.394;104;0
2017;18. Villa de Vallecas;182. Santa Eugenia;1.320;7.108;2.118;0;1.148;7.459;2.750;0;190;908;28;0;213;989;64;0
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;5.525;13.654;676;0;4.951;14.113;943;0;276;1.365;56;0;240;1.725;90;0
2017;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;;;;;
2017;19. Vicálvaro;19. Vicálvaro;6.270;19.943;4.272;0;6.008;20.544;5.800;0;666;3.211;99;0;646;3.346;157;0
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.097;8.210;3.075;0;1.952;8.126;4.292;0;549;2.588;66;0;539;2.603;103;0
2017;19. Vicálvaro;192. Valdebernardo;1.331;5.878;750;0;1.283;6.399;989;0;74;379;22;0;65;435;32;0
2017;19. Vicálvaro;193. Valderribas;2.734;5.527;427;0;2.691;5.704;505;0;38;216;10;0;41;266;21;0
2017;19. Vicálvaro;194. El Cañaveral;108;328;20;0;82;315;14;0;5;28;1;0;1;42;1;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;11.546;43.717;10.624;0;10.922;45.641;16.384;0;1.216;6.594;225;0;1.249;7.622;409;0
2017;20. San Blas-Canillejas;201. Simancas;1.932;7.253;1.604;0;1.875;7.696;2.725;0;259;1.750;53;0;257;1.749;89;0
2017;20. San Blas-Canillejas;202. Hellín;471;2.430;767;0;471;2.429;1.445;0;56;353;16;0;53;426;24;0
2017;20. San Blas-Canillejas;203. Amposta;569;2.184;573;0;479;2.258;1.101;0;86;432;7;0;113;526;18;0
2017;20. San Blas-Canillejas;204. Arcos;1.800;6.924;1.523;0;1.787;7.073;2.749;0;165;766;25;0;135;929;63;0
2017;20. San Blas-Canillejas;205. Rosas;2.949;9.768;1.815;0;2.796;10.456;2.255;0;119;519;27;0;134;682;40;0
2017;20. San Blas-Canillejas;206. Rejas;1.597;4.505;704;0;1.451;4.470;1.034;0;178;989;35;0;166;1.127;59;0
2017;20. San Blas-Canillejas;207. Canillejas;1.582;7.257;2.693;0;1.448;7.680;3.780;0;293;1.501;45;0;336;1.818;86;0
2017;20. San Blas-Canillejas;208. El Salvador;646;3.396;945;0;615;3.579;1.295;0;60;284;17;0;55;365;30;0
2017;21. Barajas;21. Barajas;;;;;;;;;;;;;;;;
2017;21. Barajas;21. Barajas;4.312;13.395;3.573;0;3.925;13.773;4.621;0;305;1.466;85;0;290;1.939;152;0
2017;21. Barajas;211. Alameda de Osuna;1.711;5.065;2.131;0;1.477;5.388;2.630;0;60;358;31;0;56;477;62;0
2017;21. Barajas;212. Aeropuerto;111;526;106;0;102;437;165;0;38;139;2;0;20;144;4;0
2017;21. Barajas;213. Casco Histórico de Barajas;363;2.055;566;0;326;1.999;759;0;80;472;14;0;82;599;21;0
2017;21. Barajas;214. Timón;1.163;3.561;468;0;1.110;3.710;647;0;92;343;24;0;97;486;49;0
2017;21. Barajas;215. Corralejos;964;2.188;302;0;910;2.239;420;0;35;154;14;0;35;233;16;0
2020;01. Centro;01. Centro;;;;;;;;;;;;;;;;
2020;01. Centro;01. Centro;4.494;38.860;7.910;0;4.440;35.669;12.668;0;1.168;14.931;465;0;1.067;12.604;602;0
2020;01. Centro;011. Palacio;800;6.783;1.616;0;836;6.343;2.516;0;138;1.784;91;0;132;1.785;98;0
2020;01. Centro;012. Embajadores;1.527;12.523;2.291;0;1.504;11.779;3.764;0;518;6.399;132;0;438;4.200;182;0
2020;01. Centro;013. Cortes;330;3.017;698;0;292;2.746;981;0;59;1.089;42;0;81;1.092;57;0
2020;01. Centro;014. Justicia;589;5.174;993;0;600;4.496;1.634;0;137;1.723;59;0;127;1.549;72;0
2020;01. Centro;015. Universidad;1.036;9.282;1.836;0;1.017;8.626;3.083;0;267;3.044;102;0;229;3.056;147;0
2020;01. Centro;016. Sol;212;2.081;476;0;191;1.679;690;0;49;892;39;0;60;922;46;0
2020;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;
2020;02. Arganzuela;02. Arganzuela;9.142;43.995;11.288;0;8.896;47.435;17.777;0;686;6.295;224;0;675;7.058;357;0
2020;02. Arganzuela;021. Imperial;1.297;6.625;1.908;0;1.275;7.129;2.926;0;54;625;34;0;72;781;40;0
2020;02. Arganzuela;022. Acacias;1.876;10.465;3.353;0;1.867;11.769;4.877;0;105;1.096;48;0;109;1.153;66;0
2020;02. Arganzuela;023. Chopera;953;5.265;1.597;0;942;5.698;2.873;0;138;1.084;27;0;120;1.229;67;0
2020;02. Arganzuela;024. Legazpi;1.939;6.311;723;0;1.777;6.587;924;0;65;568;23;0;81;622;32;0
2020;02. Arganzuela;025. Delicias;1.828;7.826;1.781;0;1.812;8.464;2.797;0;167;1.238;40;0;150;1.487;68;0
2020;02. Arganzuela;026. Palos de Moguer;1.119;7.133;1.881;0;1.114;7.399;3.313;0;157;1.657;51;0;140;1.752;84;0
2020;02. Arganzuela;027. Atocha;130;370;45;0;109;389;67;0;0;27;1;0;3;34;0;0
2020;03. Retiro;03. Retiro;;;;;;;;;;;;;;;;
2020;03. Retiro;03. Retiro;7.106;31.408;11.697;0;6.995;34.430;18.478;0;457;3.186;244;0;421;4.628;329;0
2020;03. Retiro;031. Pacífico;1.591;9.064;3.085;0;1.721;10.008;5.144;0;147;1.041;64;0;111;1.507;88;0
2020;03. Retiro;032. Adelfas;1.208;5.209;1.532;0;1.169;5.723;2.330;0;62;495;26;0;77;599;44;0
2020;03. Retiro;033. Estrella;1.540;5.920;2.941;0;1.447;6.365;4.132;0;46;319;32;0;32;487;45;0
2020;03. Retiro;034. Ibiza;1.252;5.371;1.855;0;1.197;6.122;3.399;0;116;865;58;0;123;1.219;69;0
2020;03. Retiro;035. Los Jerónimos;396;1.883;714;0;378;1.875;1.069;0;35;224;33;0;36;357;39;0
2020;03. Retiro;036. Niño Jesús;1.119;3.961;1.570;0;1.083;4.337;2.404;0;51;242;31;0;42;459;44;0
2020;04. Salamanca;04. Salamanca;;;;;;;;;;;;;;;;
2020;04. Salamanca;04. Salamanca;7.615;36.258;12.352;0;7.489;41.601;21.458;0;766;6.925;479;0;716;9.865;624;0
2020;04. Salamanca;041. Recoletos;838;3.793;1.354;0;792;4.244;2.069;0;114;890;85;0;130;1.318;107;0
2020;04. Salamanca;042. Goya;1.478;7.247;2.436;0;1.416;8.573;4.375;0;172;1.407;96;0;153;2.149;147;0
2020;04. Salamanca;043. Fuente del Berro;1.036;5.289;1.825;0;1.095;6.167;3.169;0;111;878;58;0;98;1.265;80;0
2020;04. Salamanca;044. Guindalera;2.318;10.874;3.594;0;2.144;11.922;6.334;0;172;1.770;81;0;155;2.119;126;0
2020;04. Salamanca;045. Lista;1.059;5.073;1.734;0;1.110;5.971;3.136;0;111;995;68;0;89;1.541;74;0
2020;04. Salamanca;046. Castellana;886;3.982;1.409;0;932;4.724;2.375;0;86;985;91;0;91;1.473;90;0
2020;05. Chamartín;05. Chamartín;;;;;;;;;;;;;;;;
2020;05. Chamartín;05. Chamartín;9.590;38.033;12.434;0;9.374;42.120;20.516;0;606;4.512;390;0;582;7.092;616;0
2020;05. Chamartín;051. El Viso;1.164;4.511;1.396;0;1.152;4.967;2.205;0;70;581;61;0;69;1.043;83;0
2020;05. Chamartín;052. Prosperidad;1.904;9.504;3.358;0;1.897;10.629;5.571;0;170;1.362;76;0;150;1.894;136;0
2020;05. Chamartín;053. Ciudad Jardín;1.081;4.750;1.507;0;1.009;5.455;2.695;0;88;773;34;0;114;1.063;73;0
2020;05. Chamartín;054. Hispanoamérica;2.275;8.254;2.814;0;2.282;9.069;4.766;0;108;677;90;0;90;1.181;127;0
2020;05. Chamartín;055. Nueva España;2.061;6.358;1.924;0;1.970;7.080;3.012;0;108;625;90;0;108;1.197;124;0
2020;05. Chamartín;056. Castilla;1.105;4.656;1.435;0;1.064;4.920;2.267;0;62;494;39;0;51;714;73;0
2020;06. Tetuán;06. Tetuán;;;;;;;;;;;;;;;;
2020;06. Tetuán;06. Tetuán;7.845;39.757;10.938;0;7.525;43.298;18.496;0;1.638;11.054;400;0;1.502;14.792;692;0
