AÑO;DISTRITO;BARRIO;Superficie (Ha);Densidad (Hab./Ha)
2017;14. Moratalaz;14. Moratalaz;610,32;154,45
2017;14. Moratalaz;141. Pavones;100,97;89,94
2017;14. Moratalaz;142. Horcajo;74,59;84,81
2017;14. Moratalaz;143. Marroquina;179,01;152,95
2017;14. Moratalaz;144. Media Legua;99,90;177,75
2017;14. Moratalaz;145. Fontarrón;96,46;175,23
2017;14. Moratalaz;146. Vinateros;59,40;283,13
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;1.142,57;187,70
2017;15. Ciudad Lineal;151. Ventas;319,80;149,29
2017;15. Ciudad Lineal;152. Pueblo Nuevo;231,92;263,71
2017;15. Ciudad Lineal;153. Quintana;72,31;337,05
2017;15. Ciudad Lineal;154. Concepción;88,59;234,82
2017;15. Ciudad Lineal;155. San Pascual;105,27;171,63
2017;15. Ciudad Lineal;156. San Juan Bautista;101,08;123
2017;15. Ciudad Lineal;157. Colina;55,97;112,35
2017;15. Ciudad Lineal;158. Atalaya;24,89;63,28
2017;15. Ciudad Lineal;159. Costillares;142,72;154,28
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;16. Hortaleza;2.741,98;67,08
2017;16. Hortaleza;161. Palomas;112,98;59,64
2017;16. Hortaleza;162. Piovera;313,96;46,89
2017;16. Hortaleza;163. Canillas;252,25;161,06
2017;16. Hortaleza;164. Pinar del Rey;266,48;196,17
2017;16. Hortaleza;165. Apóstol Santiago;120,51;126,72
2017;16. Hortaleza;166. Valdefuentes;1.675,80;32,40
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;17. Villaverde;2.018,76;72,09
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;925,36;47,87
2017;17. Villaverde;172. San Cristóbal;108,25;143,17
2017;17. Villaverde;173. Butarque;637,55;28,65
2017;17. Villaverde;174. Los Rosales;154,07;239,98
2017;17. Villaverde;175. Ángeles;193,53;157,51
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;5.146,72;20,92
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4.304,59;9,23
2017;18. Villa de Vallecas;182. Santa Eugenia;208,02;116,79
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;634,11;68,78
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;19. Vicálvaro;3.526,67;20,12
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.149,42;15,91
2017;19. Vicálvaro;192. Valdebernardo;255,51;69,03
2017;19. Vicálvaro;193. Valderribas;64,32;282,66
2017;19. Vicálvaro;194. El Cañaveral;1.057,43;0,89
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;2.229,24;70,05
2017;20. San Blas-Canillejas;201. Simancas;227,63;119,67
2017;20. San Blas-Canillejas;202. Hellín;55,06;162,40
2017;20. San Blas-Canillejas;203. Amposta;37,03;225,42
2017;20. San Blas-Canillejas;204. Arcos;130,52;183,41
2017;20. San Blas-Canillejas;205. Rosas;929,65;33,95
2017;20. San Blas-Canillejas;206. Rejas;501,57;32,53
2017;20. San Blas-Canillejas;207. Canillejas;159,77;178,50
2017;20. San Blas-Canillejas;208. El Salvador;188,01;60,03
2017;21. Barajas;21. Barajas;;
2017;21. Barajas;21. Barajas;4.192,28;11,41
2017;21. Barajas;211. Alameda de Osuna;197,03;98,69
2017;21. Barajas;212. Aeropuerto;2.962,61;0,61
2017;21. Barajas;213. Casco Histórico de Barajas;54,94;133,53
2017;21. Barajas;214. Timón;509,45;23,06
2017;21. Barajas;215. Corralejos;468,25;16,04
2018;01. Centro;01. Centro;;
2018;01. Centro;01. Centro;522,82;257,99
2018;01. Centro;011. Palacio;146,99;155,95
2018;01. Centro;012. Embajadores;103,37;437,82
2018;01. Centro;013. Cortes;59,19;177,13
2018;01. Centro;014. Justicia;73,94;231,98
2018;01. Centro;015. Universidad;94,80;334,64
2018;01. Centro;016. Sol;44,53;164,77
2018;02. Arganzuela;02. Arganzuela;;
2018;02. Arganzuela;02. Arganzuela;646,22;238,05
2018;02. Arganzuela;021. Imperial;96,77;235,26
2018;02. Arganzuela;022. Acacias;107,34;342,68
2018;02. Arganzuela;023. Chopera;56,78;352,12
2018;02. Arganzuela;024. Legazpi;141,45;138,94
2018;02. Arganzuela;025. Delicias;105,47;262,24
2018;02. Arganzuela;026. Palos de Moguer;64,84;397,89
2018;02. Arganzuela;027. Atocha;73,57;15,97
2018;03. Retiro;03. Retiro;;
2018;03. Retiro;03. Retiro;546,62;218,39
2018;03. Retiro;031. Pacífico;75,83;442,74
2018;03. Retiro;032. Adelfas;64,08;288,30
2018;03. Retiro;033. Estrella;102,55;227,26
2018;03. Retiro;034. Ibiza;49,20;439,99
2018;03. Retiro;035. Los Jerónimos;190,64;36,92
2018;03. Retiro;036. Niño Jesús;64,33;238,51
2018;04. Salamanca;04. Salamanca;;
2018;04. Salamanca;04. Salamanca;539,24;271,03
2018;04. Salamanca;041. Recoletos;87,31;180,20
2018;04. Salamanca;042. Goya;77,03;384,91
2018;04. Salamanca;043. Fuente del Berro;85,26;247,15
2018;04. Salamanca;044. Guindalera;160,28;259,60
2018;04. Salamanca;045. Lista;52,02;402,93
2018;04. Salamanca;046. Castellana;77,34;221,42
2018;05. Chamartín;05. Chamartín;;
2018;05. Chamartín;05. Chamartín;917,55;158,97
2018;05. Chamartín;051. El Viso;170,92;101,23
2018;05. Chamartín;052. Prosperidad;104,01;352,39
2018;05. Chamartín;053. Ciudad Jardín;76,23;244,55
2018;05. Chamartín;054. Hispanoamérica;171,25;185,30
2018;05. Chamartín;055. Nueva España;179,01;137,74
2018;05. Chamartín;056. Castilla;216,13;78,10
2018;06. Tetuán;06. Tetuán;;
2018;06. Tetuán;06. Tetuán;537,47;293,85
2018;06. Tetuán;061. Bellas Vistas;71,52;407,54
2018;06. Tetuán;062. Cuatro Caminos;118,50;292,04
2018;06. Tetuán;063. Castillejos;70,47;291,10
2018;06. Tetuán;064. Almenara;99,94;226,56
2018;06. Tetuán;065. Valdeacederas;116,34;223,66
2018;06. Tetuán;066. Berruguete;60,71;411,93
2018;07. Chamberí;07. Chamberí;;
2018;07. Chamberí;07. Chamberí;467,92;298,02
2018;07. Chamberí;071. Gaztambide;50,65;451,96
2018;07. Chamberí;072. Arapiles;57,82;422,93
2018;07. Chamberí;073. Trafalgar;61,19;403,61
2018;07. Chamberí;074. Almagro;93,79;211,18
2018;07. Chamberí;075. Ríos Rosas;97,54;280,72
2018;07. Chamberí;076. Vallehermoso;106,92;189,08
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;23.783,84;10,34
2018;08. Fuencarral-El Pardo;081. El Pardo;18.758,34;0,18
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;138,26;23,61
2018;08. Fuencarral-El Pardo;083. Peñagrande;288,73;154,15
2018;08. Fuencarral-El Pardo;084. Pilar;136,32;340,51
2018;08. Fuencarral-El Pardo;085. La Paz;215,48;156,70
2018;08. Fuencarral-El Pardo;086. Valverde;898,12;70,37
2018;08. Fuencarral-El Pardo;087. Mirasierra;699,28;47,05
2018;08. Fuencarral-El Pardo;088. El Goloso;2.649,31;6,99
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.653,11;25,67
2018;09. Moncloa-Aravaca;091. Casa de Campo;1.746,06;7,44
2018;09. Moncloa-Aravaca;092. Argüelles;75,75;318,05
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.425,09;11,41
2018;09. Moncloa-Aravaca;094. Valdezarza;139,75;212,69
2018;09. Moncloa-Aravaca;095. Valdemarín;330,25;20,37
2018;09. Moncloa-Aravaca;096. El Plantío;352,82;7,96
2018;09. Moncloa-Aravaca;097. Aravaca;583,40;45,98
2018;10. Latina;10. Latina;;
2018;10. Latina;10. Latina;2.542,72;93,66
2018;10. Latina;101. Los Cármenes;129,20;134,65
2018;10. Latina;102. Puerta del Ángel;137,53;303,43
2018;10. Latina;103. Lucero;167,90;214,95
2018;10. Latina;104. Aluche;284,98;232,83
2018;10. Latina;105. Campamento;919,14;20,98
2018;10. Latina;106. Cuatro Vientos;543,01;10,59
2018;10. Latina;107. Águilas;360,96;142,83
2018;11. Carabanchel;11. Carabanchel;;
2018;11. Carabanchel;11. Carabanchel;1.404,83;180,12
2018;11. Carabanchel;111. Comillas;66,61;336,33
2018;11. Carabanchel;112. Opañel;110,73;298,49
2018;11. Carabanchel;113. San Isidro;189,93;205,11
2018;11. Carabanchel;114. Vista Alegre;158,92;289,29
2018;11. Carabanchel;115. Puerta Bonita;160,86;216,71
2018;11. Carabanchel;116. Buenavista;561,32;83,83
2018;11. Carabanchel;117. Abrantes;156,46;196,47
2018;12. Usera;12. Usera;;
2018;12. Usera;12. Usera;777,77;179,36
2018;12. Usera;121. Orcasitas;135,64;168,37
2018;12. Usera;122. Orcasur;138,73;99,53
2018;12. Usera;123. San Fermín;147,54;160,40
2018;12. Usera;124. Almendrales;78,01;274,81
2018;12. Usera;125. Moscardó;90,88;289,98
2018;12. Usera;126. Zofío;77,40;180,46
2018;12. Usera;127. Pradolongo;109,57;159,08
2018;13. Puente de Vallecas;13. Puente de Vallecas;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;1.496,86;156,84
2018;13. Puente de Vallecas;131. Entrevías;597,19;58,10
2018;13. Puente de Vallecas;132. San Diego;106,99;389,43
2018;13. Puente de Vallecas;133. Palomeras Bajas;172,39;233
2018;13. Puente de Vallecas;134. Palomeras Sureste;310,86;137,02
2018;13. Puente de Vallecas;135. Portazgo;124,53;227,66
2018;13. Puente de Vallecas;136. Numancia;184,91;255,79
2018;14. Moratalaz;14. Moratalaz;;
2018;14. Moratalaz;14. Moratalaz;610,32;155,02
2018;14. Moratalaz;141. Pavones;100,97;90,50
2018;14. Moratalaz;142. Horcajo;74,59;84,91
2018;14. Moratalaz;143. Marroquina;179,01;152,29
2018;14. Moratalaz;144. Media Legua;99,90;178,89
2018;14. Moratalaz;145. Fontarrón;96,46;177,68
2018;14. Moratalaz;146. Vinateros;59,40;283,98
2018;15. Ciudad Lineal;15. Ciudad Lineal;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;1.142,57;189,28
2018;15. Ciudad Lineal;151. Ventas;319,80;150,40
2018;15. Ciudad Lineal;152. Pueblo Nuevo;231,92;267,81
2018;15. Ciudad Lineal;153. Quintana;72,31;340,50
2018;15. Ciudad Lineal;154. Concepción;88,59;235,42
2018;15. Ciudad Lineal;155. San Pascual;105,27;172,22
2018;15. Ciudad Lineal;156. San Juan Bautista;101,08;123,53
2018;15. Ciudad Lineal;157. Colina;55,97;114,11
2018;15. Ciudad Lineal;158. Atalaya;24,89;63
2018;15. Ciudad Lineal;159. Costillares;142,72;154,21
2018;16. Hortaleza;16. Hortaleza;;
2018;16. Hortaleza;16. Hortaleza;2.741,98;68,66
2018;16. Hortaleza;161. Palomas;112,98;60,10
2018;16. Hortaleza;162. Piovera;313,96;47,49
2018;16. Hortaleza;163. Canillas;252,25;160,86
2018;16. Hortaleza;164. Pinar del Rey;266,48;197,73
2018;16. Hortaleza;165. Apóstol Santiago;120,51;127,94
2018;16. Hortaleza;166. Valdefuentes;1.675,80;34,54
2018;17. Villaverde;17. Villaverde;;
2018;17. Villaverde;17. Villaverde;2.018,76;73,75
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;925,36;48,85
2018;17. Villaverde;172. San Cristóbal;108,25;148,29
2018;17. Villaverde;173. Butarque;637,55;29,60
2018;17. Villaverde;174. Los Rosales;154,07;243,95
2018;17. Villaverde;175. Ángeles;193,53;161,06
2018;18. Villa de Vallecas;18. Villa de Vallecas;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;5.146,72;21,46
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4.304,59;9,36
2018;18. Villa de Vallecas;182. Santa Eugenia;208,02;116,95
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;634,11;72,27
2018;19. Vicálvaro;19. Vicálvaro;;
2018;19. Vicálvaro;19. Vicálvaro;3.526,67;20,45
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.149,42;16,20
2018;19. Vicálvaro;192. Valdebernardo;255,51;69,03
2018;19. Vicálvaro;193. Valderribas;64,32;282,07
2018;19. Vicálvaro;194. El Cañaveral;1.057,43;1,45
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;2.229,24;70,95
2018;20. San Blas-Canillejas;201. Simancas;227,63;122,64
2018;20. San Blas-Canillejas;202. Hellín;55,06;166,32
2018;20. San Blas-Canillejas;203. Amposta;37,03;231,60
2018;20. San Blas-Canillejas;204. Arcos;130,52;185,50
2018;20. San Blas-Canillejas;205. Rosas;929,65;34,07
2018;20. San Blas-Canillejas;206. Rejas;501,57;33,28
2018;20. San Blas-Canillejas;207. Canillejas;159,77;178,91
2018;20. San Blas-Canillejas;208. El Salvador;188,01;60,37
2018;21. Barajas;21. Barajas;;
2018;21. Barajas;21. Barajas;4.192,28;11,68
2018;21. Barajas;211. Alameda de Osuna;197,03;99,10
2018;21. Barajas;212. Aeropuerto;2.962,61;0,62
2018;21. Barajas;213. Casco Histórico de Barajas;54,94;137,70
2018;21. Barajas;214. Timón;509,45;24,32
2018;21. Barajas;215. Corralejos;468,25;16,32
2019;01. Centro;01. Centro;;
2019;01. Centro;01. Centro;522,82;268,68
2019;01. Centro;011. Palacio;146,99;160,51
2019;01. Centro;012. Embajadores;103,37;455,13
2019;01. Centro;013. Cortes;59,19;181,98
2019;01. Centro;014. Justicia;73,94;243,72
2019;01. Centro;015. Universidad;94,80;352,50
2019;01. Centro;016. Sol;44,53;171,17
2019;02. Arganzuela;02. Arganzuela;;
2019;02. Arganzuela;02. Arganzuela;646,22;240,88
2019;02. Arganzuela;021. Imperial;96,77;236,73
2019;02. Arganzuela;022. Acacias;107,34;343,96
2019;02. Arganzuela;023. Chopera;56,78;357,30
2019;02. Arganzuela;024. Legazpi;141,45;140,05
2019;02. Arganzuela;025. Delicias;105,47;267,69
2019;02. Arganzuela;026. Palos de Moguer;64,84;405,42
2019;02. Arganzuela;027. Atocha;73,57;16,46
2019;03. Retiro;03. Retiro;;
2019;03. Retiro;03. Retiro;546,62;220,27
2019;03. Retiro;031. Pacífico;75,83;445,33
2019;03. Retiro;032. Adelfas;64,08;293,15
2019;03. Retiro;033. Estrella;102,55;227,73
2019;03. Retiro;034. Ibiza;49,20;447,04
2019;03. Retiro;035. Los Jerónimos;190,64;36,96
2019;03. Retiro;036. Niño Jesús;64,33;240,35
2019;04. Salamanca;04. Salamanca;;
2019;04. Salamanca;04. Salamanca;539,24;274,19
2019;04. Salamanca;041. Recoletos;87,31;181,48
2019;04. Salamanca;042. Goya;77,03;388,75
2019;04. Salamanca;043. Fuente del Berro;85,26;249,23
2019;04. Salamanca;044. Guindalera;160,28;263,95
2019;04. Salamanca;045. Lista;52,02;407,74
2019;04. Salamanca;046. Castellana;77,34;223,65
2019;05. Chamartín;05. Chamartín;;
2019;05. Chamartín;05. Chamartín;917,55;160,81
2019;05. Chamartín;051. El Viso;170,92;101,99
2019;05. Chamartín;052. Prosperidad;104,01;355,17
2019;05. Chamartín;053. Ciudad Jardín;76,23;247,84
2019;05. Chamartín;054. Hispanoamérica;171,25;187,10
2019;05. Chamartín;055. Nueva España;179,01;139,74
2019;05. Chamartín;056. Castilla;216,13;79,71
2019;06. Tetuán;06. Tetuán;;
2019;06. Tetuán;06. Tetuán;537,47;300,13
2019;06. Tetuán;061. Bellas Vistas;71,52;418,01
2019;06. Tetuán;062. Cuatro Caminos;118,50;296,97
2019;06. Tetuán;063. Castillejos;70,47;295,67
2019;06. Tetuán;064. Almenara;99,94;230,18
2019;06. Tetuán;065. Valdeacederas;116,34;228,17
2019;06. Tetuán;066. Berruguete;60,71;425,71
2019;07. Chamberí;07. Chamberí;;
2019;07. Chamberí;07. Chamberí;467,92;301,05
2019;07. Chamberí;071. Gaztambide;50,65;460,61
2019;07. Chamberí;072. Arapiles;57,82;427,24
2019;07. Chamberí;073. Trafalgar;61,19;408,95
2019;07. Chamberí;074. Almagro;93,79;211,51
2019;07. Chamberí;075. Ríos Rosas;97,54;282,64
2019;07. Chamberí;076. Vallehermoso;106,92;190,82
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;23.783,84;10,51
2019;08. Fuencarral-El Pardo;081. El Pardo;18.758,34;0,19
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;138,26;23,93
2019;08. Fuencarral-El Pardo;083. Peñagrande;288,73;155,64
2019;08. Fuencarral-El Pardo;084. Pilar;136,32;343,71
2019;08. Fuencarral-El Pardo;085. La Paz;215,48;156,14
2019;08. Fuencarral-El Pardo;086. Valverde;898,12;72
2019;08. Fuencarral-El Pardo;087. Mirasierra;699,28;48,69
2019;08. Fuencarral-El Pardo;088. El Goloso;2.649,31;7,19
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.653,11;26,15
2019;09. Moncloa-Aravaca;091. Casa de Campo;1.746,06;7,56
2019;09. Moncloa-Aravaca;092. Argüelles;75,75;322,40
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.425,09;11,50
2019;09. Moncloa-Aravaca;094. Valdezarza;139,75;217,57
2019;09. Moncloa-Aravaca;095. Valdemarín;330,25;21,07
2019;09. Moncloa-Aravaca;096. El Plantío;352,82;7,93
2019;09. Moncloa-Aravaca;097. Aravaca;583,40;47,14
2019;10. Latina;10. Latina;;
2019;10. Latina;10. Latina;2.542,72;95,23
2019;10. Latina;101. Los Cármenes;129,20;137,28
2019;10. Latina;102. Puerta del Ángel;137,53;308,02
2019;10. Latina;103. Lucero;167,90;219,08
2019;10. Latina;104. Aluche;284,98;236,57
2019;10. Latina;105. Campamento;919,14;21,59
2019;10. Latina;106. Cuatro Vientos;543,01;10,83
2019;10. Latina;107. Águilas;360,96;144,37
2019;11. Carabanchel;11. Carabanchel;;
2019;11. Carabanchel;11. Carabanchel;1.404,83;185,22
2019;11. Carabanchel;111. Comillas;66,61;345,31
2019;11. Carabanchel;112. Opañel;110,73;304,18
2019;11. Carabanchel;113. San Isidro;189,93;210,72
2019;11. Carabanchel;114. Vista Alegre;158,92;299,53
2019;11. Carabanchel;115. Puerta Bonita;160,86;223,37
2019;11. Carabanchel;116. Buenavista;561,32;85,53
2019;11. Carabanchel;117. Abrantes;156,46;204,19
2019;12. Usera;12. Usera;;
2019;12. Usera;12. Usera;777,77;183,72
2019;12. Usera;121. Orcasitas;135,64;170,85
2019;12. Usera;122. Orcasur;138,73;102,02
2019;12. Usera;123. San Fermín;147,54;162,67
2019;12. Usera;124. Almendrales;78,01;284,29
2019;12. Usera;125. Moscardó;90,88;298,51
2019;12. Usera;126. Zofío;77,40;186,20
2019;12. Usera;127. Pradolongo;109,57;162,89
2019;13. Puente de Vallecas;13. Puente de Vallecas;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;1.496,86;160,91
2019;13. Puente de Vallecas;131. Entrevías;597,19;59,47
2019;13. Puente de Vallecas;132. San Diego;106,99;410,32
2019;13. Puente de Vallecas;133. Palomeras Bajas;172,39;237,32
2019;13. Puente de Vallecas;134. Palomeras Sureste;310,86;138,85
2019;13. Puente de Vallecas;135. Portazgo;124,53;232,63
2019;13. Puente de Vallecas;136. Numancia;184,91;261,81
2019;14. Moratalaz;14. Moratalaz;;
2019;14. Moratalaz;14. Moratalaz;610,32;156,66
2019;14. Moratalaz;141. Pavones;100,97;92,66
2019;14. Moratalaz;142. Horcajo;74,59;86,27
2019;14. Moratalaz;143. Marroquina;179,01;152,13
2019;14. Moratalaz;144. Media Legua;99,90;179,70
2019;14. Moratalaz;145. Fontarrón;96,46;181,62
2019;14. Moratalaz;146. Vinateros;59,40;288,26
2019;15. Ciudad Lineal;15. Ciudad Lineal;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;1.142,57;192,43
2019;15. Ciudad Lineal;151. Ventas;319,80;152,88
2019;15. Ciudad Lineal;152. Pueblo Nuevo;231,92;273,89
2019;15. Ciudad Lineal;153. Quintana;72,31;347,81
2019;15. Ciudad Lineal;154. Concepción;88,59;238,77
2019;15. Ciudad Lineal;155. San Pascual;105,27;172
2019;15. Ciudad Lineal;156. San Juan Bautista;101,08;125,88
2019;15. Ciudad Lineal;157. Colina;55,97;116,47
2019;15. Ciudad Lineal;158. Atalaya;24,89;62,48
2019;15. Ciudad Lineal;159. Costillares;142,72;155,86
2019;16. Hortaleza;16. Hortaleza;;
2019;16. Hortaleza;16. Hortaleza;2.741,98;70,48
2019;16. Hortaleza;161. Palomas;112,98;60,53
2019;16. Hortaleza;162. Piovera;313,96;47,58
2019;16. Hortaleza;163. Canillas;252,25;161,89
2019;16. Hortaleza;164. Pinar del Rey;266,48;199,50
2019;16. Hortaleza;165. Apóstol Santiago;120,51;129,08
2019;16. Hortaleza;166. Valdefuentes;1.675,80;36,96
2019;17. Villaverde;17. Villaverde;;
