AÑO;DISTRITO;BARRIO;Numero de pensiones
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;528
2017;08. Fuencarral-El Pardo;083. Peñagrande;9.240
2017;08. Fuencarral-El Pardo;084. Pilar;10.842
2017;08. Fuencarral-El Pardo;085. La Paz;8.020
2017;08. Fuencarral-El Pardo;086. Valverde;6.454
2017;08. Fuencarral-El Pardo;087. Mirasierra;3.646
2017;08. Fuencarral-El Pardo;088. El Goloso;1.002
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;18.619
2017;09. Moncloa-Aravaca;091. Casa de Campo;2.468
2017;09. Moncloa-Aravaca;092. Argüelles;3.887
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;2.711
2017;09. Moncloa-Aravaca;094. Valdezarza;6.005
2017;09. Moncloa-Aravaca;095. Valdemarín;464
2017;09. Moncloa-Aravaca;096. El Plantío;344
2017;09. Moncloa-Aravaca;097. Aravaca;2.740
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;46.336
2017;10. Latina;101. Los Cármenes;2.556
2017;10. Latina;102. Puerta del Ángel;7.167
2017;10. Latina;103. Lucero;6.797
2017;10. Latina;104. Aluche;15.299
2017;10. Latina;105. Campamento;2.775
2017;10. Latina;106. Cuatro Vientos;343
2017;10. Latina;107. Águilas;11.399
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;40.979
2017;11. Carabanchel;111. Comillas;4.371
2017;11. Carabanchel;112. Opañel;5.785
2017;11. Carabanchel;113. San Isidro;6.426
2017;11. Carabanchel;114. Vista Alegre;8.696
2017;11. Carabanchel;115. Puerta Bonita;5.513
2017;11. Carabanchel;116. Buenavista;5.538
2017;11. Carabanchel;117. Abrantes;4.650
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;21.172
2017;12. Usera;121. Orcasitas;4.083
2017;12. Usera;122. Orcasur;1.908
2017;12. Usera;123. San Fermín;3.047
2017;12. Usera;124. Almendrales;3.061
2017;12. Usera;125. Moscardó;4.238
2017;12. Usera;126. Zofío;2.193
2017;12. Usera;127. Pradolongo;2.642
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;38.878
2017;13. Puente de Vallecas;131. Entrevías;6.471
2017;13. Puente de Vallecas;132. San Diego;5.409
2017;13. Puente de Vallecas;133. Palomeras Bajas;6.176
2017;13. Puente de Vallecas;134. Palomeras Sureste;7.359
2017;13. Puente de Vallecas;135. Portazgo;5.710
2017;13. Puente de Vallecas;136. Numancia;7.753
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;20.555
2017;14. Moratalaz;141. Pavones;1.852
2017;14. Moratalaz;142. Horcajo;562
2017;14. Moratalaz;143. Marroquina;6.199
2017;14. Moratalaz;144. Media Legua;4.022
2017;14. Moratalaz;145. Fontarrón;3.785
2017;14. Moratalaz;146. Vinateros;4.135
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;40.454
2017;15. Ciudad Lineal;151. Ventas;9.599
2017;15. Ciudad Lineal;152. Pueblo Nuevo;11.286
2017;15. Ciudad Lineal;153. Quintana;4.619
2017;15. Ciudad Lineal;154. Concepción;4.113
2017;15. Ciudad Lineal;155. San Pascual;3.957
2017;15. Ciudad Lineal;156. San Juan Bautista;2.093
2017;15. Ciudad Lineal;157. Colina;1.096
2017;15. Ciudad Lineal;158. Atalaya;262
2017;15. Ciudad Lineal;159. Costillares;3.429
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;28.503
2017;16. Hortaleza;161. Palomas;784
2017;16. Hortaleza;162. Piovera;1.489
2017;16. Hortaleza;163. Canillas;8.901
2017;16. Hortaleza;164. Pinar del Rey;11.555
2017;16. Hortaleza;165. Apóstol Santiago;2.637
2017;16. Hortaleza;166. Valdefuentes;3.137
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;22.642
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6.948
2017;17. Villaverde;172. San Cristóbal;1.910
2017;17. Villaverde;173. Butarque;1.468
2017;17. Villaverde;174. Los Rosales;5.367
2017;17. Villaverde;175. Ángeles;6.949
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;12.363
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;7.680
2017;18. Villa de Vallecas;182. Santa Eugenia;4.557
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;126
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;9.044
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;9.034
2017;19. Vicálvaro;192. Valdebernardo;0
2017;19. Vicálvaro;193. Valderribas;0
2017;19. Vicálvaro;194. El Cañaveral;10
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;24.975
2017;20. San Blas-Canillejas;201. Simancas;4.105
2017;20. San Blas-Canillejas;202. Hellín;2.047
2017;20. San Blas-Canillejas;203. Amposta;1.640
2017;20. San Blas-Canillejas;204. Arcos;4.191
2017;20. San Blas-Canillejas;205. Rosas;3.836
2017;20. San Blas-Canillejas;206. Rejas;1.560
2017;20. San Blas-Canillejas;207. Canillejas;5.576
2017;20. San Blas-Canillejas;208. El Salvador;2.020
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;7.226
2017;21. Barajas;211. Alameda de Osuna;3.884
2017;21. Barajas;212. Aeropuerto;262
2017;21. Barajas;213. Casco Histórico de Barajas;1.273
2017;21. Barajas;214. Timón;1.162
2017;21. Barajas;215. Corralejos;645
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;33.623
2020;01. Centro;011. Palacio;3.441
2020;01. Centro;012. Embajadores;5.287
2020;01. Centro;013. Cortes;1.251
2020;01. Centro;014. Justicia;1.684
2020;01. Centro;015. Universidad;3.409
2020;01. Centro;016. Sol;757
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;20.738
2020;02. Arganzuela;021. Imperial;2.771
2020;02. Arganzuela;022. Acacias;5.408
2020;02. Arganzuela;023. Chopera;2.927
2020;02. Arganzuela;024. Legazpi;1.175
2020;02. Arganzuela;025. Delicias;2.806
2020;02. Arganzuela;026. Palos de Moguer;2.993
2020;02. Arganzuela;027. Atocha;87
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;13.747
2020;03. Retiro;031. Pacífico;3.936
2020;03. Retiro;032. Adelfas;1.799
2020;03. Retiro;033. Estrella;3.040
2020;03. Retiro;034. Ibiza;2.008
2020;03. Retiro;035. Los Jerónimos;483
2020;03. Retiro;036. Niño Jesús;1.595
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;8.039
2020;04. Salamanca;041. Recoletos;785
2020;04. Salamanca;042. Goya;1.716
2020;04. Salamanca;043. Fuente del Berro;1.328
2020;04. Salamanca;044. Guindalera;1.841
2020;04. Salamanca;045. Lista;685
2020;04. Salamanca;046. Castellana;404
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;21.392
2020;05. Chamartín;051. El Viso;440
2020;05. Chamartín;052. Prosperidad;4.281
2020;05. Chamartín;053. Ciudad Jardín;3.758
2020;05. Chamartín;054. Hispanoamérica;5.823
2020;05. Chamartín;055. Nueva España;3.730
2020;05. Chamartín;056. Castilla;3.068
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;26.412
2020;06. Tetuán;061. Bellas Vistas;4.736
2020;06. Tetuán;062. Cuatro Caminos;6.078
2020;06. Tetuán;063. Castillejos;3.714
2020;06. Tetuán;064. Almenara;4.223
2020;06. Tetuán;065. Valdeacederas;3.708
2020;06. Tetuán;066. Berruguete;3.782
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;25.214
2020;07. Chamberí;071. Gaztambide;4.394
2020;07. Chamberí;072. Arapiles;4.549
2020;07. Chamberí;073. Trafalgar;4.189
2020;07. Chamberí;074. Almagro;3.212
2020;07. Chamberí;075. Ríos Rosas;4.875
2020;07. Chamberí;076. Vallehermoso;3.874
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;44.801
2020;08. Fuencarral-El Pardo;081. El Pardo;621
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;580
2020;08. Fuencarral-El Pardo;083. Peñagrande;10.261
2020;08. Fuencarral-El Pardo;084. Pilar;11.694
2020;08. Fuencarral-El Pardo;085. La Paz;9.054
2020;08. Fuencarral-El Pardo;086. Valverde;7.200
2020;08. Fuencarral-El Pardo;087. Mirasierra;4.173
2020;08. Fuencarral-El Pardo;088. El Goloso;1.137
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;20.586
2020;09. Moncloa-Aravaca;091. Casa de Campo;2.722
2020;09. Moncloa-Aravaca;092. Argüelles;4.180
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;3.002
2020;09. Moncloa-Aravaca;094. Valdezarza;6.561
2020;09. Moncloa-Aravaca;095. Valdemarín;541
2020;09. Moncloa-Aravaca;096. El Plantío;379
2020;09. Moncloa-Aravaca;097. Aravaca;3.108
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;50.269
2020;10. Latina;101. Los Cármenes;2.784
2020;10. Latina;102. Puerta del Ángel;7.693
2020;10. Latina;103. Lucero;7.350
2020;10. Latina;104. Aluche;16.560
2020;10. Latina;105. Campamento;3.046
2020;10. Latina;106. Cuatro Vientos;404
2020;10. Latina;107. Águilas;12.432
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;44.642
2020;11. Carabanchel;111. Comillas;4.713
2020;11. Carabanchel;112. Opañel;6.292
2020;11. Carabanchel;113. San Isidro;6.960
2020;11. Carabanchel;114. Vista Alegre;9.517
2020;11. Carabanchel;115. Puerta Bonita;5.972
2020;11. Carabanchel;116. Buenavista;6.110
2020;11. Carabanchel;117. Abrantes;5.078
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;22.825
2020;12. Usera;121. Orcasitas;4.412
2020;12. Usera;122. Orcasur;2.072
2020;12. Usera;123. San Fermín;3.330
2020;12. Usera;124. Almendrales;3.284
2020;12. Usera;125. Moscardó;4.545
2020;12. Usera;126. Zofío;2.388
2020;12. Usera;127. Pradolongo;2.792
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;42.401
2020;13. Puente de Vallecas;131. Entrevías;7.068
2020;13. Puente de Vallecas;132. San Diego;5.720
2020;13. Puente de Vallecas;133. Palomeras Bajas;6.803
2020;13. Puente de Vallecas;134. Palomeras Sureste;8.166
2020;13. Puente de Vallecas;135. Portazgo;6.218
2020;13. Puente de Vallecas;136. Numancia;8.423
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;22.440
2020;14. Moratalaz;141. Pavones;2.063
2020;14. Moratalaz;142. Horcajo;652
2020;14. Moratalaz;143. Marroquina;6.830
2020;14. Moratalaz;144. Media Legua;4.402
2020;14. Moratalaz;145. Fontarrón;4.044
2020;14. Moratalaz;146. Vinateros;4.449
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;43.962
2020;15. Ciudad Lineal;151. Ventas;10.264
2020;15. Ciudad Lineal;152. Pueblo Nuevo;12.304
2020;15. Ciudad Lineal;153. Quintana;4.992
2020;15. Ciudad Lineal;154. Concepción;4.428
2020;15. Ciudad Lineal;155. San Pascual;4.348
2020;15. Ciudad Lineal;156. San Juan Bautista;2.324
2020;15. Ciudad Lineal;157. Colina;1.201
2020;15. Ciudad Lineal;158. Atalaya;285
2020;15. Ciudad Lineal;159. Costillares;3.816
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;31.530
2020;16. Hortaleza;161. Palomas;880
2020;16. Hortaleza;162. Piovera;1.713
2020;16. Hortaleza;163. Canillas;9.771
2020;16. Hortaleza;164. Pinar del Rey;12.646
2020;16. Hortaleza;165. Apóstol Santiago;2.845
2020;16. Hortaleza;166. Valdefuentes;3.675
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;24.608
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;7.507
2020;17. Villaverde;172. San Cristóbal;1.977
2020;17. Villaverde;173. Butarque;1.722
2020;17. Villaverde;174. Los Rosales;5.888
2020;17. Villaverde;175. Ángeles;7.514
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;13.973
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;6.579
2020;18. Villa de Vallecas;182. Santa Eugenia;5.181
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;2.213
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;10.056
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;6.834
2020;19. Vicálvaro;192. Valdebernardo;2.125
2020;19. Vicálvaro;193. Valderribas;1.072
2020;19. Vicálvaro;194. El Cañaveral;25
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;25.195
2020;20. San Blas-Canillejas;201. Simancas;4.105
2020;20. San Blas-Canillejas;202. Hellín;1.983
2020;20. San Blas-Canillejas;203. Amposta;1.602
2020;20. San Blas-Canillejas;204. Arcos;4.206
2020;20. San Blas-Canillejas;205. Rosas;3.998
2020;20. San Blas-Canillejas;206. Rejas;1.597
2020;20. San Blas-Canillejas;207. Canillejas;5.629
2020;20. San Blas-Canillejas;208. El Salvador;2.075
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;7.421
2020;21. Barajas;211. Alameda de Osuna;3.982
2020;21. Barajas;212. Aeropuerto;268
2020;21. Barajas;213. Casco Histórico de Barajas;1.273
2020;21. Barajas;214. Timón;1.234
2020;21. Barajas;215. Corralejos;664
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;16.508
2018;01. Centro;011. Palacio;3.250
2018;01. Centro;012. Embajadores;5.209
2018;01. Centro;013. Cortes;1.306
2018;01. Centro;014. Justicia;1.918
2018;01. Centro;015. Universidad;3.960
2018;01. Centro;016. Sol;865
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;24.584
2018;02. Arganzuela;021. Imperial;3.705
2018;02. Arganzuela;022. Acacias;7.017
2018;02. Arganzuela;023. Chopera;3.742
2018;02. Arganzuela;024. Legazpi;1.642
2018;02. Arganzuela;025. Delicias;3.950
2018;02. Arganzuela;026. Palos de Moguer;4.402
2018;02. Arganzuela;027. Atocha;126
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;23.652
2018;03. Retiro;031. Pacífico;6.607
2018;03. Retiro;032. Adelfas;3.381
2018;03. Retiro;033. Estrella;5.682
2018;03. Retiro;034. Ibiza;4.047
2018;03. Retiro;035. Los Jerónimos;884
2018;03. Retiro;036. Niño Jesús;3.051
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;24.421
2018;04. Salamanca;041. Recoletos;1.968
2018;04. Salamanca;042. Goya;4.982
2018;04. Salamanca;043. Fuente del Berro;3.985
2018;04. Salamanca;044. Guindalera;7.667
2018;04. Salamanca;045. Lista;3.468
2018;04. Salamanca;046. Castellana;2.351
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;24.775
2018;05. Chamartín;051. El Viso;2.326
2018;05. Chamartín;052. Prosperidad;7.258
2018;05. Chamartín;053. Ciudad Jardín;3.422
2018;05. Chamartín;054. Hispanoamérica;5.383
2018;05. Chamartín;055. Nueva España;3.508
2018;05. Chamartín;056. Castilla;2.878
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;24.219
2018;06. Tetuán;061. Bellas Vistas;4.351
2018;06. Tetuán;062. Cuatro Caminos;5.582
2018;06. Tetuán;063. Castillejos;3.491
2018;06. Tetuán;064. Almenara;3.884
2018;06. Tetuán;065. Valdeacederas;3.425
2018;06. Tetuán;066. Berruguete;3.486
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;23.394
2018;07. Chamberí;071. Gaztambide;4.113
2018;07. Chamberí;072. Arapiles;4.197
2018;07. Chamberí;073. Trafalgar;3.907
2018;07. Chamberí;074. Almagro;3.010
2018;07. Chamberí;075. Ríos Rosas;4.575
2018;07. Chamberí;076. Vallehermoso;3.592
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;41.749
2018;08. Fuencarral-El Pardo;081. El Pardo;576
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;552
2018;08. Fuencarral-El Pardo;083. Peñagrande;9.673
2018;08. Fuencarral-El Pardo;084. Pilar;10.758
2018;08. Fuencarral-El Pardo;085. La Paz;8.497
2018;08. Fuencarral-El Pardo;086. Valverde;6.658
2018;08. Fuencarral-El Pardo;087. Mirasierra;3.985
2018;08. Fuencarral-El Pardo;088. El Goloso;1.050
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;19.144
2018;09. Moncloa-Aravaca;091. Casa de Campo;2.524
2018;09. Moncloa-Aravaca;092. Argüelles;3.853
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;2.754
2018;09. Moncloa-Aravaca;094. Valdezarza;6.129
2018;09. Moncloa-Aravaca;095. Valdemarín;519
2018;09. Moncloa-Aravaca;096. El Plantío;356
2018;09. Moncloa-Aravaca;097. Aravaca;3.009
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;46.511
2018;10. Latina;101. Los Cármenes;2.563
2018;10. Latina;102. Puerta del Ángel;7.124
2018;10. Latina;103. Lucero;6.825
2018;10. Latina;104. Aluche;15.288
2018;10. Latina;105. Campamento;2.844
2018;10. Latina;106. Cuatro Vientos;372
2018;10. Latina;107. Águilas;11.495
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;41.060
2018;11. Carabanchel;111. Comillas;4.345
2018;11. Carabanchel;112. Opañel;5.829
2018;11. Carabanchel;113. San Isidro;6.389
2018;11. Carabanchel;114. Vista Alegre;8.704
2018;11. Carabanchel;115. Puerta Bonita;5.430
2018;11. Carabanchel;116. Buenavista;5.672
2018;11. Carabanchel;117. Abrantes;4.691
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;21.135
2018;12. Usera;121. Orcasitas;4.060
2018;12. Usera;122. Orcasur;1.945
2018;12. Usera;123. San Fermín;3.123
2018;12. Usera;124. Almendrales;3.055
2018;12. Usera;125. Moscardó;4.197
2018;12. Usera;126. Zofío;2.226
2018;12. Usera;127. Pradolongo;2.529
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;39.177
2018;13. Puente de Vallecas;131. Entrevías;6.459
2018;13. Puente de Vallecas;132. San Diego;5.309
2018;13. Puente de Vallecas;133. Palomeras Bajas;6.401
2018;13. Puente de Vallecas;134. Palomeras Sureste;7.488
2018;13. Puente de Vallecas;135. Portazgo;5.672
2018;13. Puente de Vallecas;136. Numancia;7.848
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;20.846
2018;14. Moratalaz;141. Pavones;1.940
2018;14. Moratalaz;142. Horcajo;623
2018;14. Moratalaz;143. Marroquina;6.420
2018;14. Moratalaz;144. Media Legua;4.094
2018;14. Moratalaz;145. Fontarrón;3.705
2018;14. Moratalaz;146. Vinateros;4.064
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;40.815
2018;15. Ciudad Lineal;151. Ventas;9.502
2018;15. Ciudad Lineal;152. Pueblo Nuevo;11.420
2018;15. Ciudad Lineal;153. Quintana;4.562
2018;15. Ciudad Lineal;154. Concepción;4.108
2018;15. Ciudad Lineal;155. San Pascual;4.015
2018;15. Ciudad Lineal;156. San Juan Bautista;2.192
2018;15. Ciudad Lineal;157. Colina;1.147
2018;15. Ciudad Lineal;158. Atalaya;265
2018;15. Ciudad Lineal;159. Costillares;3.604
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;29.570
2018;16. Hortaleza;161. Palomas;831
2018;16. Hortaleza;162. Piovera;1.651
2018;16. Hortaleza;163. Canillas;9.133
2018;16. Hortaleza;164. Pinar del Rey;11.679
2018;16. Hortaleza;165. Apóstol Santiago;2.686
2018;16. Hortaleza;166. Valdefuentes;3.590
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;22.899
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6.961
2018;17. Villaverde;172. San Cristóbal;1.819
2018;17. Villaverde;173. Butarque;1.616
2018;17. Villaverde;174. Los Rosales;5.532
2018;17. Villaverde;175. Ángeles;6.971
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;13.258
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;6.104
2018;18. Villa de Vallecas;182. Santa Eugenia;4.941
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;2.213
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;9.437
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;6.249
2018;19. Vicálvaro;192. Valdebernardo;2.046
2018;19. Vicálvaro;193. Valderribas;1.094
2018;19. Vicálvaro;194. El Cañaveral;48
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;25.466
2018;20. San Blas-Canillejas;201. Simancas;4.118
2018;20. San Blas-Canillejas;202. Hellín;1.936
2018;20. San Blas-Canillejas;203. Amposta;1.584
2018;20. San Blas-Canillejas;204. Arcos;4.205
2018;20. San Blas-Canillejas;205. Rosas;4.178
2018;20. San Blas-Canillejas;206. Rejas;1.644
2018;20. San Blas-Canillejas;207. Canillejas;5.671
2018;20. San Blas-Canillejas;208. El Salvador;2.130
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;7.598
2018;21. Barajas;211. Alameda de Osuna;4.047
2018;21. Barajas;212. Aeropuerto;267
2018;21. Barajas;213. Casco Histórico de Barajas;1.305
2018;21. Barajas;214. Timón;1.289
2018;21. Barajas;215. Corralejos;690
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;16.508
2019;01. Centro;011. Palacio;3.250
2019;01. Centro;012. Embajadores;5.209
2019;01. Centro;013. Cortes;1.306
2019;01. Centro;014. Justicia;1.918
2019;01. Centro;015. Universidad;3.960
2019;01. Centro;016. Sol;865
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;24.584
2019;02. Arganzuela;021. Imperial;3.705
2019;02. Arganzuela;022. Acacias;7.017
2019;02. Arganzuela;023. Chopera;3.742
2019;02. Arganzuela;024. Legazpi;1.642
2019;02. Arganzuela;025. Delicias;3.950
2019;02. Arganzuela;026. Palos de Moguer;4.402
2019;02. Arganzuela;027. Atocha;126
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;23.652
2019;03. Retiro;031. Pacífico;6.607
2019;03. Retiro;032. Adelfas;3.381
2019;03. Retiro;033. Estrella;5.682
2019;03. Retiro;034. Ibiza;4.047
2019;03. Retiro;035. Los Jerónimos;884
2019;03. Retiro;036. Niño Jesús;3.051
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;24.421
2019;04. Salamanca;041. Recoletos;1.968
2019;04. Salamanca;042. Goya;4.982
2019;04. Salamanca;043. Fuente del Berro;3.985
2019;04. Salamanca;044. Guindalera;7.667
2019;04. Salamanca;045. Lista;3.468
2019;04. Salamanca;046. Castellana;2.351
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;24.775
2019;05. Chamartín;051. El Viso;2.326
2019;05. Chamartín;052. Prosperidad;7.258
2019;05. Chamartín;053. Ciudad Jardín;3.422
2019;05. Chamartín;054. Hispanoamérica;5.383
2019;05. Chamartín;055. Nueva España;3.508
2019;05. Chamartín;056. Castilla;2.878
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;24.219
2019;06. Tetuán;061. Bellas Vistas;4.351
2019;06. Tetuán;062. Cuatro Caminos;5.582
2019;06. Tetuán;063. Castillejos;3.491
2019;06. Tetuán;064. Almenara;3.884
