AÑO;DISTRITO;BARRIO;Puntos Aparca-bici
2017;08. Fuencarral-El Pardo;084. Pilar;12
2017;08. Fuencarral-El Pardo;085. La Paz;7
2017;08. Fuencarral-El Pardo;086. Valverde;21
2017;08. Fuencarral-El Pardo;087. Mirasierra;15
2017;08. Fuencarral-El Pardo;088. El Goloso;10
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;51
2017;09. Moncloa-Aravaca;091. Casa de Campo;18
2017;09. Moncloa-Aravaca;092. Argüelles;6
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;9
2017;09. Moncloa-Aravaca;094. Valdezarza;6
2017;09. Moncloa-Aravaca;095. Valdemarín;0
2017;09. Moncloa-Aravaca;096. El Plantío;1
2017;09. Moncloa-Aravaca;097. Aravaca;11
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;46
2017;10. Latina;101. Los Cármenes;5
2017;10. Latina;102. Puerta del Ángel;6
2017;10. Latina;103. Lucero;8
2017;10. Latina;104. Aluche;9
2017;10. Latina;105. Campamento;2
2017;10. Latina;106. Cuatro Vientos;1
2017;10. Latina;107. Águilas;15
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;40
2017;11. Carabanchel;111. Comillas;1
2017;11. Carabanchel;112. Opañel;5
2017;11. Carabanchel;113. San Isidro;3
2017;11. Carabanchel;114. Vista Alegre;3
2017;11. Carabanchel;115. Puerta Bonita;6
2017;11. Carabanchel;116. Buenavista;17
2017;11. Carabanchel;117. Abrantes;5
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;45
2017;12. Usera;121. Orcasitas;9
2017;12. Usera;122. Orcasur;7
2017;12. Usera;123. San Fermín;5
2017;12. Usera;124. Almendrales;2
2017;12. Usera;125. Moscardó;9
2017;12. Usera;126. Zofío;5
2017;12. Usera;127. Pradolongo;8
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;51
2017;13. Puente de Vallecas;131. Entrevías;9
2017;13. Puente de Vallecas;132. San Diego;7
2017;13. Puente de Vallecas;133. Palomeras Bajas;12
2017;13. Puente de Vallecas;134. Palomeras Sureste;12
2017;13. Puente de Vallecas;135. Portazgo;3
2017;13. Puente de Vallecas;136. Numancia;8
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;39
2017;14. Moratalaz;141. Pavones;11
2017;14. Moratalaz;142. Horcajo;2
2017;14. Moratalaz;143. Marroquina;7
2017;14. Moratalaz;144. Media Legua;9
2017;14. Moratalaz;145. Fontarrón;5
2017;14. Moratalaz;146. Vinateros;5
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;54
2017;15. Ciudad Lineal;151. Ventas;7
2017;15. Ciudad Lineal;152. Pueblo Nuevo;14
2017;15. Ciudad Lineal;153. Quintana;4
2017;15. Ciudad Lineal;154. Concepción;8
2017;15. Ciudad Lineal;155. San Pascual;10
2017;15. Ciudad Lineal;156. San Juan Bautista;7
2017;15. Ciudad Lineal;157. Colina;1
2017;15. Ciudad Lineal;158. Atalaya;0
2017;15. Ciudad Lineal;159. Costillares;3
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;119
2017;16. Hortaleza;161. Palomas;7
2017;16. Hortaleza;162. Piovera;3
2017;16. Hortaleza;163. Canillas;20
2017;16. Hortaleza;164. Pinar del Rey;14
2017;16. Hortaleza;165. Apóstol Santiago;6
2017;16. Hortaleza;166. Valdefuentes;69
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;55
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;18
2017;17. Villaverde;172. San Cristóbal;3
2017;17. Villaverde;173. Butarque;6
2017;17. Villaverde;174. Los Rosales;12
2017;17. Villaverde;175. Ángeles;16
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;52
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;25
2017;18. Villa de Vallecas;182. Santa Eugenia;18
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;9
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;26
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;14
2017;19. Vicálvaro;192. Valdebernardo;8
2017;19. Vicálvaro;193. Valderribas;4
2017;19. Vicálvaro;194. El Cañaveral;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;68
2017;20. San Blas-Canillejas;201. Simancas;7
2017;20. San Blas-Canillejas;202. Hellín;2
2017;20. San Blas-Canillejas;203. Amposta;3
2017;20. San Blas-Canillejas;204. Arcos;10
2017;20. San Blas-Canillejas;205. Rosas;14
2017;20. San Blas-Canillejas;206. Rejas;13
2017;20. San Blas-Canillejas;207. Canillejas;8
2017;20. San Blas-Canillejas;208. El Salvador;11
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;45
2017;21. Barajas;211. Alameda de Osuna;11
2017;21. Barajas;212. Aeropuerto;2
2017;21. Barajas;213. Casco Histórico de Barajas;2
2017;21. Barajas;214. Timón;22
2017;21. Barajas;215. Corralejos;8
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;75
2018;01. Centro;011. Palacio;21
2018;01. Centro;012. Embajadores;15
2018;01. Centro;013. Cortes;6
2018;01. Centro;014. Justicia;11
2018;01. Centro;015. Universidad;12
2018;01. Centro;016. Sol;10
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;45
2018;02. Arganzuela;021. Imperial;10
2018;02. Arganzuela;022. Acacias;6
2018;02. Arganzuela;023. Chopera;2
2018;02. Arganzuela;024. Legazpi;8
2018;02. Arganzuela;025. Delicias;9
2018;02. Arganzuela;026. Palos de Moguer;8
2018;02. Arganzuela;027. Atocha;2
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;40
2018;03. Retiro;031. Pacífico;7
2018;03. Retiro;032. Adelfas;4
2018;03. Retiro;033. Estrella;12
2018;03. Retiro;034. Ibiza;3
2018;03. Retiro;035. Los Jerónimos;13
2018;03. Retiro;036. Niño Jesús;1
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;44
2018;04. Salamanca;041. Recoletos;17
2018;04. Salamanca;042. Goya;4
2018;04. Salamanca;043. Fuente del Berro;3
2018;04. Salamanca;044. Guindalera;10
2018;04. Salamanca;045. Lista;3
2018;04. Salamanca;046. Castellana;7
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;53
2018;05. Chamartín;051. El Viso;8
2018;05. Chamartín;052. Prosperidad;6
2018;05. Chamartín;053. Ciudad Jardín;12
2018;05. Chamartín;054. Hispanoamérica;10
2018;05. Chamartín;055. Nueva España;11
2018;05. Chamartín;056. Castilla;6
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;40
2018;06. Tetuán;061. Bellas Vistas;6
2018;06. Tetuán;062. Cuatro Caminos;8
2018;06. Tetuán;063. Castillejos;6
2018;06. Tetuán;064. Almenara;9
2018;06. Tetuán;065. Valdeacederas;7
2018;06. Tetuán;066. Berruguete;4
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;62
2018;07. Chamberí;071. Gaztambide;5
2018;07. Chamberí;072. Arapiles;7
2018;07. Chamberí;073. Trafalgar;8
2018;07. Chamberí;074. Almagro;11
2018;07. Chamberí;075. Ríos Rosas;12
2018;07. Chamberí;076. Vallehermoso;19
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;69
2018;08. Fuencarral-El Pardo;081. El Pardo;2
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;1
2018;08. Fuencarral-El Pardo;083. Peñagrande;8
2018;08. Fuencarral-El Pardo;084. Pilar;14
2018;08. Fuencarral-El Pardo;085. La Paz;7
2018;08. Fuencarral-El Pardo;086. Valverde;18
2018;08. Fuencarral-El Pardo;087. Mirasierra;12
2018;08. Fuencarral-El Pardo;088. El Goloso;7
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;44
2018;09. Moncloa-Aravaca;091. Casa de Campo;11
2018;09. Moncloa-Aravaca;092. Argüelles;5
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;11
2018;09. Moncloa-Aravaca;094. Valdezarza;5
2018;09. Moncloa-Aravaca;095. Valdemarín;0
2018;09. Moncloa-Aravaca;096. El Plantío;1
2018;09. Moncloa-Aravaca;097. Aravaca;11
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;39
2018;10. Latina;101. Los Cármenes;4
2018;10. Latina;102. Puerta del Ángel;4
2018;10. Latina;103. Lucero;8
2018;10. Latina;104. Aluche;8
2018;10. Latina;105. Campamento;2
2018;10. Latina;106. Cuatro Vientos;1
2018;10. Latina;107. Águilas;12
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;41
2018;11. Carabanchel;111. Comillas;1
2018;11. Carabanchel;112. Opañel;5
2018;11. Carabanchel;113. San Isidro;3
2018;11. Carabanchel;114. Vista Alegre;3
2018;11. Carabanchel;115. Puerta Bonita;6
2018;11. Carabanchel;116. Buenavista;18
2018;11. Carabanchel;117. Abrantes;5
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;37
2018;12. Usera;121. Orcasitas;6
2018;12. Usera;122. Orcasur;5
2018;12. Usera;123. San Fermín;6
2018;12. Usera;124. Almendrales;1
2018;12. Usera;125. Moscardó;6
2018;12. Usera;126. Zofío;4
2018;12. Usera;127. Pradolongo;9
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;52
2018;13. Puente de Vallecas;131. Entrevías;6
2018;13. Puente de Vallecas;132. San Diego;9
2018;13. Puente de Vallecas;133. Palomeras Bajas;16
2018;13. Puente de Vallecas;134. Palomeras Sureste;11
2018;13. Puente de Vallecas;135. Portazgo;3
2018;13. Puente de Vallecas;136. Numancia;7
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;38
2018;14. Moratalaz;141. Pavones;12
2018;14. Moratalaz;142. Horcajo;1
2018;14. Moratalaz;143. Marroquina;8
2018;14. Moratalaz;144. Media Legua;8
2018;14. Moratalaz;145. Fontarrón;4
2018;14. Moratalaz;146. Vinateros;5
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;45
2018;15. Ciudad Lineal;151. Ventas;7
2018;15. Ciudad Lineal;152. Pueblo Nuevo;9
2018;15. Ciudad Lineal;153. Quintana;2
2018;15. Ciudad Lineal;154. Concepción;9
2018;15. Ciudad Lineal;155. San Pascual;8
2018;15. Ciudad Lineal;156. San Juan Bautista;7
2018;15. Ciudad Lineal;157. Colina;1
2018;15. Ciudad Lineal;158. Atalaya;0
2018;15. Ciudad Lineal;159. Costillares;2
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;116
2018;16. Hortaleza;161. Palomas;7
2018;16. Hortaleza;162. Piovera;3
2018;16. Hortaleza;163. Canillas;16
2018;16. Hortaleza;164. Pinar del Rey;15
2018;16. Hortaleza;165. Apóstol Santiago;6
2018;16. Hortaleza;166. Valdefuentes;69
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;55
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;18
2018;17. Villaverde;172. San Cristóbal;3
2018;17. Villaverde;173. Butarque;6
2018;17. Villaverde;174. Los Rosales;12
2018;17. Villaverde;175. Ángeles;16
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;46
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;23
2018;18. Villa de Vallecas;182. Santa Eugenia;16
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;7
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;25
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;14
2018;19. Vicálvaro;192. Valdebernardo;8
2018;19. Vicálvaro;193. Valderribas;3
2018;19. Vicálvaro;194. El Cañaveral;0
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;63
2018;20. San Blas-Canillejas;201. Simancas;6
2018;20. San Blas-Canillejas;202. Hellín;2
2018;20. San Blas-Canillejas;203. Amposta;2
2018;20. San Blas-Canillejas;204. Arcos;10
2018;20. San Blas-Canillejas;205. Rosas;11
2018;20. San Blas-Canillejas;206. Rejas;13
2018;20. San Blas-Canillejas;207. Canillejas;9
2018;20. San Blas-Canillejas;208. El Salvador;10
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;38
2018;21. Barajas;211. Alameda de Osuna;9
2018;21. Barajas;212. Aeropuerto;2
2018;21. Barajas;213. Casco Histórico de Barajas;2
2018;21. Barajas;214. Timón;19
2018;21. Barajas;215. Corralejos;6
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;125
2019;01. Centro;011. Palacio;24
2019;01. Centro;012. Embajadores;17
2019;01. Centro;013. Cortes;6
2019;01. Centro;014. Justicia;55
2019;01. Centro;015. Universidad;13
2019;01. Centro;016. Sol;10
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;45
2019;02. Arganzuela;021. Imperial;10
2019;02. Arganzuela;022. Acacias;6
2019;02. Arganzuela;023. Chopera;2
2019;02. Arganzuela;024. Legazpi;8
2019;02. Arganzuela;025. Delicias;10
2019;02. Arganzuela;026. Palos de Moguer;8
2019;02. Arganzuela;027. Atocha;1
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;41
2019;03. Retiro;031. Pacífico;7
2019;03. Retiro;032. Adelfas;4
2019;03. Retiro;033. Estrella;13
2019;03. Retiro;034. Ibiza;3
2019;03. Retiro;035. Los Jerónimos;13
2019;03. Retiro;036. Niño Jesús;1
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;44
2019;04. Salamanca;041. Recoletos;17
2019;04. Salamanca;042. Goya;4
2019;04. Salamanca;043. Fuente del Berro;3
2019;04. Salamanca;044. Guindalera;10
2019;04. Salamanca;045. Lista;3
2019;04. Salamanca;046. Castellana;7
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;53
2019;05. Chamartín;051. El Viso;7
2019;05. Chamartín;052. Prosperidad;6
2019;05. Chamartín;053. Ciudad Jardín;12
2019;05. Chamartín;054. Hispanoamérica;11
2019;05. Chamartín;055. Nueva España;11
2019;05. Chamartín;056. Castilla;6
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;44
2019;06. Tetuán;061. Bellas Vistas;7
2019;06. Tetuán;062. Cuatro Caminos;7
2019;06. Tetuán;063. Castillejos;6
2019;06. Tetuán;064. Almenara;9
2019;06. Tetuán;065. Valdeacederas;11
2019;06. Tetuán;066. Berruguete;4
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;67
2019;07. Chamberí;071. Gaztambide;5
2019;07. Chamberí;072. Arapiles;10
2019;07. Chamberí;073. Trafalgar;7
2019;07. Chamberí;074. Almagro;11
2019;07. Chamberí;075. Ríos Rosas;13
2019;07. Chamberí;076. Vallehermoso;21
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;68
2019;08. Fuencarral-El Pardo;081. El Pardo;2
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;1
2019;08. Fuencarral-El Pardo;083. Peñagrande;10
2019;08. Fuencarral-El Pardo;084. Pilar;11
2019;08. Fuencarral-El Pardo;085. La Paz;7
2019;08. Fuencarral-El Pardo;086. Valverde;18
2019;08. Fuencarral-El Pardo;087. Mirasierra;12
2019;08. Fuencarral-El Pardo;088. El Goloso;7
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;41
2019;09. Moncloa-Aravaca;091. Casa de Campo;11
2019;09. Moncloa-Aravaca;092. Argüelles;5
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;9
2019;09. Moncloa-Aravaca;094. Valdezarza;4
2019;09. Moncloa-Aravaca;095. Valdemarín;0
2019;09. Moncloa-Aravaca;096. El Plantío;1
2019;09. Moncloa-Aravaca;097. Aravaca;11
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;39
2019;10. Latina;101. Los Cármenes;5
2019;10. Latina;102. Puerta del Ángel;4
2019;10. Latina;103. Lucero;7
2019;10. Latina;104. Aluche;8
2019;10. Latina;105. Campamento;2
2019;10. Latina;106. Cuatro Vientos;1
2019;10. Latina;107. Águilas;12
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;40
2019;11. Carabanchel;111. Comillas;1
2019;11. Carabanchel;112. Opañel;5
2019;11. Carabanchel;113. San Isidro;3
2019;11. Carabanchel;114. Vista Alegre;3
2019;11. Carabanchel;115. Puerta Bonita;6
2019;11. Carabanchel;116. Buenavista;17
2019;11. Carabanchel;117. Abrantes;5
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;45
2019;12. Usera;121. Orcasitas;9
2019;12. Usera;122. Orcasur;7
2019;12. Usera;123. San Fermín;5
2019;12. Usera;124. Almendrales;2
2019;12. Usera;125. Moscardó;9
2019;12. Usera;126. Zofío;5
2019;12. Usera;127. Pradolongo;8
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;53
2019;13. Puente de Vallecas;131. Entrevías;8
2019;13. Puente de Vallecas;132. San Diego;9
2019;13. Puente de Vallecas;133. Palomeras Bajas;15
2019;13. Puente de Vallecas;134. Palomeras Sureste;11
2019;13. Puente de Vallecas;135. Portazgo;3
2019;13. Puente de Vallecas;136. Numancia;7
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;41
2019;14. Moratalaz;141. Pavones;12
2019;14. Moratalaz;142. Horcajo;3
2019;14. Moratalaz;143. Marroquina;8
2019;14. Moratalaz;144. Media Legua;9
2019;14. Moratalaz;145. Fontarrón;4
2019;14. Moratalaz;146. Vinateros;5
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;47
2019;15. Ciudad Lineal;151. Ventas;7
2019;15. Ciudad Lineal;152. Pueblo Nuevo;11
2019;15. Ciudad Lineal;153. Quintana;3
2019;15. Ciudad Lineal;154. Concepción;8
2019;15. Ciudad Lineal;155. San Pascual;8
2019;15. Ciudad Lineal;156. San Juan Bautista;7
2019;15. Ciudad Lineal;157. Colina;1
2019;15. Ciudad Lineal;158. Atalaya;0
2019;15. Ciudad Lineal;159. Costillares;2
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;116
2019;16. Hortaleza;161. Palomas;7
2019;16. Hortaleza;162. Piovera;3
2019;16. Hortaleza;163. Canillas;17
2019;16. Hortaleza;164. Pinar del Rey;14
2019;16. Hortaleza;165. Apóstol Santiago;6
2019;16. Hortaleza;166. Valdefuentes;69
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;55
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;18
2019;17. Villaverde;172. San Cristóbal;3
2019;17. Villaverde;173. Butarque;6
2019;17. Villaverde;174. Los Rosales;12
2019;17. Villaverde;175. Ángeles;16
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;47
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;24
2019;18. Villa de Vallecas;182. Santa Eugenia;16
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;7
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;25
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;14
2019;19. Vicálvaro;192. Valdebernardo;8
2019;19. Vicálvaro;193. Valderribas;3
2019;19. Vicálvaro;194. El Cañaveral;0
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;63
2019;20. San Blas-Canillejas;201. Simancas;6
2019;20. San Blas-Canillejas;202. Hellín;2
2019;20. San Blas-Canillejas;203. Amposta;3
2019;20. San Blas-Canillejas;204. Arcos;10
2019;20. San Blas-Canillejas;205. Rosas;11
2019;20. San Blas-Canillejas;206. Rejas;13
2019;20. San Blas-Canillejas;207. Canillejas;8
2019;20. San Blas-Canillejas;208. El Salvador;10
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;39
2019;21. Barajas;211. Alameda de Osuna;9
2019;21. Barajas;212. Aeropuerto;2
2019;21. Barajas;213. Casco Histórico de Barajas;2
2019;21. Barajas;214. Timón;20
2019;21. Barajas;215. Corralejos;6
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;177
2020;01. Centro;011. Palacio;38
2020;01. Centro;012. Embajadores;32
2020;01. Centro;013. Cortes;8
2020;01. Centro;014. Justicia;56
2020;01. Centro;015. Universidad;31
2020;01. Centro;016. Sol;12
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;51
2020;02. Arganzuela;021. Imperial;15
2020;02. Arganzuela;022. Acacias;6
2020;02. Arganzuela;023. Chopera;2
2020;02. Arganzuela;024. Legazpi;8
2020;02. Arganzuela;025. Delicias;11
2020;02. Arganzuela;026. Palos de Moguer;9
2020;02. Arganzuela;027. Atocha;3
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;44
2020;03. Retiro;031. Pacífico;8
2020;03. Retiro;032. Adelfas;4
2020;03. Retiro;033. Estrella;14
2020;03. Retiro;034. Ibiza;3
2020;03. Retiro;035. Los Jerónimos;13
2020;03. Retiro;036. Niño Jesús;2
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;45
2020;04. Salamanca;041. Recoletos;18
2020;04. Salamanca;042. Goya;3
2020;04. Salamanca;043. Fuente del Berro;3
2020;04. Salamanca;044. Guindalera;11
2020;04. Salamanca;045. Lista;3
2020;04. Salamanca;046. Castellana;7
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;55
2020;05. Chamartín;051. El Viso;7
2020;05. Chamartín;052. Prosperidad;8
2020;05. Chamartín;053. Ciudad Jardín;12
2020;05. Chamartín;054. Hispanoamérica;11
2020;05. Chamartín;055. Nueva España;11
2020;05. Chamartín;056. Castilla;6
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;48
2020;06. Tetuán;061. Bellas Vistas;7
2020;06. Tetuán;062. Cuatro Caminos;8
2020;06. Tetuán;063. Castillejos;8
2020;06. Tetuán;064. Almenara;9
2020;06. Tetuán;065. Valdeacederas;12
2020;06. Tetuán;066. Berruguete;4
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;71
2020;07. Chamberí;071. Gaztambide;5
2020;07. Chamberí;072. Arapiles;10
2020;07. Chamberí;073. Trafalgar;11
2020;07. Chamberí;074. Almagro;10
2020;07. Chamberí;075. Ríos Rosas;14
2020;07. Chamberí;076. Vallehermoso;21
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;72
2020;08. Fuencarral-El Pardo;081. El Pardo;2
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;1
2020;08. Fuencarral-El Pardo;083. Peñagrande;10
2020;08. Fuencarral-El Pardo;084. Pilar;11
2020;08. Fuencarral-El Pardo;085. La Paz;7
2020;08. Fuencarral-El Pardo;086. Valverde;20
2020;08. Fuencarral-El Pardo;087. Mirasierra;12
2020;08. Fuencarral-El Pardo;088. El Goloso;9
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;51
2020;09. Moncloa-Aravaca;091. Casa de Campo;18
2020;09. Moncloa-Aravaca;092. Argüelles;6
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;9
2020;09. Moncloa-Aravaca;094. Valdezarza;6
2020;09. Moncloa-Aravaca;095. Valdemarín;0
2020;09. Moncloa-Aravaca;096. El Plantío;1
2020;09. Moncloa-Aravaca;097. Aravaca;11
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;42
2020;10. Latina;101. Los Cármenes;5
2020;10. Latina;102. Puerta del Ángel;5
2020;10. Latina;103. Lucero;7
2020;10. Latina;104. Aluche;8
2020;10. Latina;105. Campamento;3
