AÑO;DISTRITO;BARRIO;Agricultura;Industria;Construcción;Servicios;Otros
2017;12. Usera;123. San Fermín;9;425;486;7.684;7
2017;12. Usera;124. Almendrales;8;381;497;6.834;9
2017;12. Usera;125. Moscardó;10;429;546;8.588;7
2017;12. Usera;126. Zofío;0;213;330;4.454;5
2017;12. Usera;127. Pradolongo;4;368;387;5.255;3
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;45;4.198;5.402;77.356;65
2017;13. Puente de Vallecas;131. Entrevías;7;601;882;10.299;11
2017;13. Puente de Vallecas;132. San Diego;10;574;1.039;13.381;15
2017;13. Puente de Vallecas;133. Palomeras Bajas;9;793;854;14.244;13
2017;13. Puente de Vallecas;134. Palomeras Sureste;4;929;1.004;15.066;12
2017;13. Puente de Vallecas;135. Portazgo;5;488;651;8.754;5
2017;13. Puente de Vallecas;136. Numancia;10;813;972;15.609;9
2017;14. Moratalaz;14. Moratalaz;;;;;
2017;14. Moratalaz;14. Moratalaz;18;1.614;1.442;31.347;13
2017;14. Moratalaz;141. Pavones;1;155;131;2.884;1
2017;14. Moratalaz;142. Horcajo;0;153;100;2.530;0
2017;14. Moratalaz;143. Marroquina;6;529;390;9.340;4
2017;14. Moratalaz;144. Media Legua;3;265;266;5.637;2
2017;14. Moratalaz;145. Fontarrón;5;263;299;5.482;1
2017;14. Moratalaz;146. Vinateros;3;249;256;5.474;5
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;36;3.828;3.205;74.680;32
2017;15. Ciudad Lineal;151. Ventas;9;721;818;16.525;10
2017;15. Ciudad Lineal;152. Pueblo Nuevo;3;1.110;1.094;21.755;16
2017;15. Ciudad Lineal;153. Quintana;4;436;306;8.756;1
2017;15. Ciudad Lineal;154. Concepción;2;335;276;7.186;1
2017;15. Ciudad Lineal;155. San Pascual;6;330;236;6.301;2
2017;15. Ciudad Lineal;156. San Juan Bautista;7;272;148;4.303;1
2017;15. Ciudad Lineal;157. Colina;2;123;75;2.079;0
2017;15. Ciudad Lineal;158. Atalaya;0;31;18;495;0
2017;15. Ciudad Lineal;159. Costillares;3;470;234;7.280;1
2017;16. Hortaleza;16. Hortaleza;;;;;
2017;16. Hortaleza;16. Hortaleza;60;3.903;2.889;65.319;22
2017;16. Hortaleza;161. Palomas;6;179;111;2.236;1
2017;16. Hortaleza;162. Piovera;5;333;224;5.192;0
2017;16. Hortaleza;163. Canillas;14;788;583;13.851;6
2017;16. Hortaleza;164. Pinar del Rey;14;945;831;18.005;7
2017;16. Hortaleza;165. Apóstol Santiago;3;282;229;5.128;4
2017;16. Hortaleza;166. Valdefuentes;18;1.376;911;20.907;4
2017;17. Villaverde;17. Villaverde;;;;;
2017;17. Villaverde;17. Villaverde;34;3.148;3.402;47.165;32
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;3;1.064;1.080;13.933;14
2017;17. Villaverde;172. San Cristóbal;1;204;428;4.197;3
2017;17. Villaverde;173. Butarque;7;488;489;6.772;1
2017;17. Villaverde;174. Los Rosales;13;783;838;12.783;7
2017;17. Villaverde;175. Ángeles;10;609;567;9.480;7
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;27;2.841;2.440;40.025;31
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;13;942;973;12.858;22
2017;18. Villa de Vallecas;182. Santa Eugenia;10;561;520;8.733;4
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;4;1.338;947;18.434;5
2017;19. Vicálvaro;19. Vicálvaro;;;;;
2017;19. Vicálvaro;19. Vicálvaro;13;1.736;1.553;25.164;15
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;7;677;870;10.427;10
2017;19. Vicálvaro;192. Valdebernardo;3;407;284;6.819;4
2017;19. Vicálvaro;193. Valderribas;3;640;396;7.802;1
2017;19. Vicálvaro;194. El Cañaveral;0;12;3;116;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;17;3.885;2.781;55.801;19
2017;20. San Blas-Canillejas;201. Simancas;6;625;461;9.799;0
2017;20. San Blas-Canillejas;202. Hellín;0;184;150;2.914;3
2017;20. San Blas-Canillejas;203. Amposta;0;142;173;2.594;0
2017;20. San Blas-Canillejas;204. Arcos;5;562;456;8.412;3
2017;20. San Blas-Canillejas;205. Rosas;0;978;512;12.180;4
2017;20. San Blas-Canillejas;206. Rejas;0;482;290;6.205;2
2017;20. San Blas-Canillejas;207. Canillejas;4;669;586;9.593;6
2017;20. San Blas-Canillejas;208. El Salvador;2;243;153;4.104;1
2017;21. Barajas;21. Barajas;;;;;
2017;21. Barajas;21. Barajas;16;1.088;606;17.436;8
2017;21. Barajas;211. Alameda de Osuna;7;402;168;6.526;3
2017;21. Barajas;212. Aeropuerto;0;38;27;589;1
2017;21. Barajas;213. Casco Histórico de Barajas;2;150;108;2.784;1
2017;21. Barajas;214. Timón;5;297;186;4.716;1
2017;21. Barajas;215. Corralejos;2;201;117;2.821;2
2018;01. Centro;01. Centro;;;;;
2018;01. Centro;01. Centro;41;1.659;1.392;54.473;18
2018;01. Centro;011. Palacio;4;280;239;9.016;3
2018;01. Centro;012. Embajadores;11;550;502;18.460;8
2018;01. Centro;013. Cortes;4;138;118;4.261;2
2018;01. Centro;014. Justicia;9;200;165;6.791;1
2018;01. Centro;015. Universidad;12;399;301;13.108;4
2018;01. Centro;016. Sol;1;92;67;2.836;0
2018;02. Arganzuela;02. Arganzuela;;;;;
2018;02. Arganzuela;02. Arganzuela;50;3.170;2.040;60.381;26
2018;02. Arganzuela;021. Imperial;6;453;268;8.696;2
2018;02. Arganzuela;022. Acacias;14;699;415;14.009;5
2018;02. Arganzuela;023. Chopera;4;332;338;7.564;3
2018;02. Arganzuela;024. Legazpi;4;569;297;8.536;5
2018;02. Arganzuela;025. Delicias;7;623;386;10.923;3
2018;02. Arganzuela;026. Palos de Moguer;15;469;315;10.200;7
2018;02. Arganzuela;027. Atocha;0;25;21;452;1
2018;03. Retiro;03. Retiro;;;;;
2018;03. Retiro;03. Retiro;49;2.108;1.304;42.495;9
2018;03. Retiro;031. Pacífico;9;548;378;12.392;1
2018;03. Retiro;032. Adelfas;2;442;231;7.046;1
2018;03. Retiro;033. Estrella;10;424;246;7.745;0
2018;03. Retiro;034. Ibiza;9;350;218;7.738;2
2018;03. Retiro;035. Los Jerónimos;9;100;61;2.294;1
2018;03. Retiro;036. Niño Jesús;10;244;170;5.280;4
2018;04. Salamanca;04. Salamanca;;;;;
2018;04. Salamanca;04. Salamanca;87;2.276;1.471;52.760;17
2018;04. Salamanca;041. Recoletos;14;187;131;5.255;5
2018;04. Salamanca;042. Goya;14;485;286;10.797;1
2018;04. Salamanca;043. Fuente del Berro;8;356;250;7.885;4
2018;04. Salamanca;044. Guindalera;16;730;447;15.535;3
2018;04. Salamanca;045. Lista;5;343;194;7.498;4
2018;04. Salamanca;046. Castellana;30;175;163;5.790;0
2018;05. Chamartín;05. Chamartín;;;;;
2018;05. Chamartín;05. Chamartín;85;2.421;1.570;53.395;8
2018;05. Chamartín;051. El Viso;28;207;208;6.308;2
2018;05. Chamartín;052. Prosperidad;11;673;390;13.814;2
2018;05. Chamartín;053. Ciudad Jardín;9;305;211;7.094;4
2018;05. Chamartín;054. Hispanoamérica;12;514;331;11.034;0
2018;05. Chamartín;055. Nueva España;22;414;278;8.870;0
2018;05. Chamartín;056. Castilla;3;308;152;6.274;0
2018;06. Tetuán;06. Tetuán;;;;;
2018;06. Tetuán;06. Tetuán;41;2.405;2.408;60.284;25
2018;06. Tetuán;061. Bellas Vistas;8;359;426;11.192;4
2018;06. Tetuán;062. Cuatro Caminos;9;541;410;12.836;3
2018;06. Tetuán;063. Castillejos;4;330;238;7.613;2
2018;06. Tetuán;064. Almenara;8;341;360;8.278;6
2018;06. Tetuán;065. Valdeacederas;5;456;514;10.494;5
2018;06. Tetuán;066. Berruguete;7;378;460;9.871;5
2018;07. Chamberí;07. Chamberí;;;;;
2018;07. Chamberí;07. Chamberí;72;2.030;1.282;51.440;14
2018;07. Chamberí;071. Gaztambide;11;288;192;8.188;1
2018;07. Chamberí;072. Arapiles;9;359;238;9.142;3
2018;07. Chamberí;073. Trafalgar;7;397;234;9.814;2
2018;07. Chamberí;074. Almagro;25;226;202;7.210;2
2018;07. Chamberí;075. Ríos Rosas;7;452;257;10.291;4
2018;07. Chamberí;076. Vallehermoso;13;307;159;6.795;2
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;84;4.445;3.490;88.553;25
2018;08. Fuencarral-El Pardo;081. El Pardo;3;40;24;1.127;0
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;12;40;34;990;0
2018;08. Fuencarral-El Pardo;083. Peñagrande;15;776;615;15.636;4
2018;08. Fuencarral-El Pardo;084. Pilar;8;715;677;16.516;4
2018;08. Fuencarral-El Pardo;085. La Paz;13;594;346;11.275;2
2018;08. Fuencarral-El Pardo;086. Valverde;17;1.228;1.089;24.356;8
2018;08. Fuencarral-El Pardo;087. Mirasierra;7;628;410;11.782;4
2018;08. Fuencarral-El Pardo;088. El Goloso;9;424;295;6.871;3
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;62;1.860;1.386;41.536;18
2018;09. Moncloa-Aravaca;091. Casa de Campo;8;187;135;4.614;2
2018;09. Moncloa-Aravaca;092. Argüelles;12;339;221;8.488;4
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;251;167;5.277;2
2018;09. Moncloa-Aravaca;094. Valdezarza;9;492;396;10.356;7
2018;09. Moncloa-Aravaca;095. Valdemarín;3;102;93;2.350;0
2018;09. Moncloa-Aravaca;096. El Plantío;8;41;53;953;1
2018;09. Moncloa-Aravaca;097. Aravaca;15;448;321;9.497;2
2018;10. Latina;10. Latina;;;;;
2018;10. Latina;10. Latina;75;3.618;4.512;81.117;58
2018;10. Latina;101. Los Cármenes;7;293;377;5.938;8
2018;10. Latina;102. Puerta del Ángel;13;568;770;15.099;14
2018;10. Latina;103. Lucero;8;531;739;12.460;12
2018;10. Latina;104. Aluche;20;956;1.236;21.568;8
2018;10. Latina;105. Campamento;9;247;339;6.345;4
2018;10. Latina;106. Cuatro Vientos;3;138;114;2.413;2
2018;10. Latina;107. Águilas;15;885;937;17.291;10
2018;11. Carabanchel;11. Carabanchel;;;;;
2018;11. Carabanchel;11. Carabanchel;73;4.288;5.760;87.704;57
2018;11. Carabanchel;111. Comillas;5;323;409;7.666;7
2018;11. Carabanchel;112. Opañel;12;562;665;11.693;7
2018;11. Carabanchel;113. San Isidro;13;598;867;13.415;14
2018;11. Carabanchel;114. Vista Alegre;9;664;1.087;15.384;6
2018;11. Carabanchel;115. Puerta Bonita;12;578;877;11.438;12
2018;11. Carabanchel;116. Buenavista;14;1.048;1.109;17.807;9
2018;11. Carabanchel;117. Abrantes;8;515;746;10.299;2
2018;12. Usera;12. Usera;;;;;
2018;12. Usera;12. Usera;32;2.559;3.395;46.415;32
2018;12. Usera;121. Orcasitas;0;517;562;7.506;2
2018;12. Usera;122. Orcasur;4;274;338;4.401;2
2018;12. Usera;123. San Fermín;3;415;542;8.032;6
2018;12. Usera;124. Almendrales;8;363;531;7.181;5
2018;12. Usera;125. Moscardó;15;423;628;8.940;9
2018;12. Usera;126. Zofío;1;209;361;4.761;3
2018;12. Usera;127. Pradolongo;1;358;433;5.592;5
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;54;4.281;5.838;80.743;55
2018;13. Puente de Vallecas;131. Entrevías;7;611;964;10.803;13
2018;13. Puente de Vallecas;132. San Diego;14;586;1.114;14.269;4
2018;13. Puente de Vallecas;133. Palomeras Bajas;11;799;927;14.910;11
2018;13. Puente de Vallecas;134. Palomeras Sureste;4;934;1.054;15.351;7
2018;13. Puente de Vallecas;135. Portazgo;8;525;686;9.135;6
2018;13. Puente de Vallecas;136. Numancia;10;826;1.093;16.272;14
2018;14. Moratalaz;14. Moratalaz;;;;;
2018;14. Moratalaz;14. Moratalaz;21;1.582;1.473;32.286;9
2018;14. Moratalaz;141. Pavones;3;156;128;2.976;2
2018;14. Moratalaz;142. Horcajo;1;143;97;2.574;0
2018;14. Moratalaz;143. Marroquina;8;512;384;9.592;2
2018;14. Moratalaz;144. Media Legua;1;275;268;5.765;2
2018;14. Moratalaz;145. Fontarrón;4;238;328;5.736;1
2018;14. Moratalaz;146. Vinateros;4;258;268;5.643;2
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;43;3.674;3.477;77.931;20
2018;15. Ciudad Lineal;151. Ventas;8;696;891;17.338;6
2018;15. Ciudad Lineal;152. Pueblo Nuevo;7;1.087;1.189;22.817;8
2018;15. Ciudad Lineal;153. Quintana;5;411;353;9.214;1
2018;15. Ciudad Lineal;154. Concepción;4;330;299;7.513;2
2018;15. Ciudad Lineal;155. San Pascual;5;310;263;6.389;2
2018;15. Ciudad Lineal;156. San Juan Bautista;6;257;158;4.468;1
2018;15. Ciudad Lineal;157. Colina;2;104;68;2.248;0
2018;15. Ciudad Lineal;158. Atalaya;0;30;16;505;0
2018;15. Ciudad Lineal;159. Costillares;6;449;240;7.439;0
2018;16. Hortaleza;16. Hortaleza;;;;;
2018;16. Hortaleza;16. Hortaleza;66;3.875;2.958;68.006;17
2018;16. Hortaleza;161. Palomas;5;161;101;2.331;1
2018;16. Hortaleza;162. Piovera;4;328;231;5.403;4
2018;16. Hortaleza;163. Canillas;16;808;596;14.095;1
2018;16. Hortaleza;164. Pinar del Rey;20;931;847;18.523;6
2018;16. Hortaleza;165. Apóstol Santiago;6;272;238;5.367;2
2018;16. Hortaleza;166. Valdefuentes;15;1.375;945;22.287;3
2018;17. Villaverde;17. Villaverde;;;;;
2018;17. Villaverde;17. Villaverde;43;3.203;3.768;49.381;31
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6;1.096;1.194;14.567;10
2018;17. Villaverde;172. San Cristóbal;5;205;472;4.458;5
2018;17. Villaverde;173. Butarque;8;499;529;7.221;3
2018;17. Villaverde;174. Los Rosales;16;812;957;13.409;8
2018;17. Villaverde;175. Ángeles;8;591;616;9.726;5
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;35;2.842;2.642;42.143;27
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;10;925;1.060;13.165;15
2018;18. Villa de Vallecas;182. Santa Eugenia;13;541;544;8.938;6
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;12;1.376;1.038;20.040;6
2018;19. Vicálvaro;19. Vicálvaro;;;;;
2018;19. Vicálvaro;19. Vicálvaro;25;1.742;1.673;26.187;15
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;15;721;985;11.179;9
2018;19. Vicálvaro;192. Valdebernardo;4;401;273;6.966;5
2018;19. Vicálvaro;193. Valderribas;6;587;391;7.714;1
2018;19. Vicálvaro;194. El Cañaveral;0;33;24;328;0
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;29;3.793;2.915;57.939;16
2018;20. San Blas-Canillejas;201. Simancas;7;612;493;10.358;1
2018;20. San Blas-Canillejas;202. Hellín;1;189;159;3.037;3
2018;20. San Blas-Canillejas;203. Amposta;1;134;198;2.738;0
2018;20. San Blas-Canillejas;204. Arcos;9;561;503;8.727;3
2018;20. San Blas-Canillejas;205. Rosas;1;908;509;12.543;4
2018;20. San Blas-Canillejas;206. Rejas;0;477;297;6.534;1
2018;20. San Blas-Canillejas;207. Canillejas;7;678;594;9.850;3
2018;20. San Blas-Canillejas;208. El Salvador;3;234;162;4.152;1
2018;21. Barajas;21. Barajas;;;;;
2018;21. Barajas;21. Barajas;17;1.087;625;18.118;3
2018;21. Barajas;211. Alameda de Osuna;6;400;172;6.603;0
2018;21. Barajas;212. Aeropuerto;0;31;30;611;0
2018;21. Barajas;213. Casco Histórico de Barajas;3;145;121;2.882;0
2018;21. Barajas;214. Timón;5;302;190;5.048;2
2018;21. Barajas;215. Corralejos;3;209;112;2.974;1
2019;01. Centro;01. Centro;;;;;
2019;01. Centro;01. Centro;48;1.710;1.414;56.103;32
2019;01. Centro;011. Palacio;4;295;252;9.281;9
2019;01. Centro;012. Embajadores;10;560;505;18.902;10
2019;01. Centro;013. Cortes;6;145;118;4.276;4
2019;01. Centro;014. Justicia;10;216;173;7.085;4
2019;01. Centro;015. Universidad;15;399;297;13.657;4
2019;01. Centro;016. Sol;3;95;69;2.901;1
2019;02. Arganzuela;02. Arganzuela;;;;;
2019;02. Arganzuela;02. Arganzuela;50;3.229;2.017;60.862;21
2019;02. Arganzuela;021. Imperial;8;439;259;8.784;2
2019;02. Arganzuela;022. Acacias;12;729;413;14.017;4
2019;02. Arganzuela;023. Chopera;5;350;336;7.665;2
2019;02. Arganzuela;024. Legazpi;5;586;300;8.687;3
2019;02. Arganzuela;025. Delicias;6;628;378;11.059;3
2019;02. Arganzuela;026. Palos de Moguer;14;475;311;10.183;6
2019;02. Arganzuela;027. Atocha;0;22;20;466;1
2019;03. Retiro;03. Retiro;;;;;
2019;03. Retiro;03. Retiro;52;2.107;1.295;42.798;15
2019;03. Retiro;031. Pacífico;10;584;365;12.436;6
2019;03. Retiro;032. Adelfas;4;437;229;7.081;2
2019;03. Retiro;033. Estrella;10;412;251;7.770;1
2019;03. Retiro;034. Ibiza;8;348;217;7.838;1
2019;03. Retiro;035. Los Jerónimos;10;92;63;2.274;2
2019;03. Retiro;036. Niño Jesús;10;234;170;5.399;3
2019;04. Salamanca;04. Salamanca;;;;;
2019;04. Salamanca;04. Salamanca;93;2.260;1.468;53.139;19
2019;04. Salamanca;041. Recoletos;15;197;139;5.215;7
2019;04. Salamanca;042. Goya;16;484;256;10.816;3
2019;04. Salamanca;043. Fuente del Berro;7;334;252;8.112;5
2019;04. Salamanca;044. Guindalera;16;720;452;15.691;2
2019;04. Salamanca;045. Lista;6;338;195;7.520;2
2019;04. Salamanca;046. Castellana;33;187;174;5.785;0
2019;05. Chamartín;05. Chamartín;;;;;
2019;05. Chamartín;05. Chamartín;92;2.395;1.609;54.184;11
2019;05. Chamartín;051. El Viso;33;199;208;6.361;3
2019;05. Chamartín;052. Prosperidad;11;664;408;13.988;1
2019;05. Chamartín;053. Ciudad Jardín;10;327;204;7.144;3
2019;05. Chamartín;054. Hispanoamérica;12;518;348;11.260;2
2019;05. Chamartín;055. Nueva España;22;396;279;9.102;1
2019;05. Chamartín;056. Castilla;4;291;162;6.329;1
2019;06. Tetuán;06. Tetuán;;;;;
2019;06. Tetuán;06. Tetuán;41;2.409;2.368;61.439;39
2019;06. Tetuán;061. Bellas Vistas;6;367;415;11.417;11
2019;06. Tetuán;062. Cuatro Caminos;8;540;394;13.283;4
2019;06. Tetuán;063. Castillejos;5;314;244;7.760;3
2019;06. Tetuán;064. Almenara;8;370;331;8.376;6
2019;06. Tetuán;065. Valdeacederas;6;446;518;10.592;7
2019;06. Tetuán;066. Berruguete;8;372;466;10.011;8
2019;07. Chamberí;07. Chamberí;;;;;
2019;07. Chamberí;07. Chamberí;76;2.117;1.340;52.510;8
2019;07. Chamberí;071. Gaztambide;12;301;215;8.426;0
2019;07. Chamberí;072. Arapiles;9;384;251;9.290;1
2019;07. Chamberí;073. Trafalgar;6;403;243;9.999;1
2019;07. Chamberí;074. Almagro;27;257;206;7.280;2
2019;07. Chamberí;075. Ríos Rosas;7;469;263;10.531;3
2019;07. Chamberí;076. Vallehermoso;15;302;162;6.982;1
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;77;4.439;3.500;89.963;24
2019;08. Fuencarral-El Pardo;081. El Pardo;4;38;25;1.186;0
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;11;43;33;1.020;0
2019;08. Fuencarral-El Pardo;083. Peñagrande;14;768;620;15.706;4
2019;08. Fuencarral-El Pardo;084. Pilar;5;737;673;16.734;7
2019;08. Fuencarral-El Pardo;085. La Paz;11;570;332;11.187;2
2019;08. Fuencarral-El Pardo;086. Valverde;18;1.257;1.103;24.807;4
2019;08. Fuencarral-El Pardo;087. Mirasierra;6;621;423;12.181;5
2019;08. Fuencarral-El Pardo;088. El Goloso;8;405;291;7.142;2
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;71;1.848;1.416;42.469;13
2019;09. Moncloa-Aravaca;091. Casa de Campo;8;179;125;4.713;2
2019;09. Moncloa-Aravaca;092. Argüelles;12;333;225;8.672;2
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;6;250;164;5.413;1
2019;09. Moncloa-Aravaca;094. Valdezarza;9;492;417;10.610;6
2019;09. Moncloa-Aravaca;095. Valdemarín;5;106;97;2.400;0
2019;09. Moncloa-Aravaca;096. El Plantío;8;40;62;986;1
