AÑO;DISTRITO;BARRIO;Ingenieros y licenciados. Personal de alta dirección;Ingenieros técnicos, peritos y ayudantes titulados;Jefes administrativos y de taller;Ayudantes no titulados;Oficiales administrativos;Subalternos;Auxiliares administrativos;Oficiales de primera y segunda;Oficiales de tercera y especialistas;Peones;Trabajadores menores de 18 años;No consta
2017;08. Fuencarral-El Pardo;087. Mirasierra;4.075;1.036;897;404;1.226;249;983;299;186;217;0;339
2017;08. Fuencarral-El Pardo;088. El Goloso;2.616;718;639;329;848;119;521;187;80;95;0;84
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;11.670;3.095;2.593;1.242;4.285;1.629;4.067;1.796;1.102;1.438;1;2.361
2017;09. Moncloa-Aravaca;091. Casa de Campo;1.206;429;355;165;588;193;518;224;125;137;0;113
2017;09. Moncloa-Aravaca;092. Argüelles;2.492;630;492;259;851;456;817;280;206;245;0;426
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.775;402;294;166;499;176;418;140;97;128;0;275
2017;09. Moncloa-Aravaca;094. Valdezarza;1.747;894;646;391;1.319;591;1.373;844;508;681;0;608
2017;09. Moncloa-Aravaca;095. Valdemarín;913;83;125;33;127;10;131;27;9;15;0;206
2017;09. Moncloa-Aravaca;096. El Plantío;345;47;63;13;57;14;85;12;5;12;0;87
2017;09. Moncloa-Aravaca;097. Aravaca;3.192;610;618;215;844;189;724;269;152;220;1;646
2017;10. Latina;10. Latina;;;;;;;;;;;;
2017;10. Latina;10. Latina;7.715;5.813;4.309;3.368;10.458;5.249;11.277;8.425;5.839;7.568;4;7.493
2017;10. Latina;101. Los Cármenes;556;410;332;239;781;400;832;658;448;555;0;415
2017;10. Latina;102. Puerta del Ángel;1.514;963;744;543;1.823;955;2.052;1.503;1.121;1.441;2;1.454
2017;10. Latina;103. Lucero;1.212;897;664;528;1.592;760;1.657;1.234;943;1.170;1;1.201
2017;10. Latina;104. Aluche;2.032;1.631;1.091;844;2.771;1.425;2.967;2.115;1.521;2.000;1;2.253
2017;10. Latina;105. Campamento;598;444;337;255;745;412;821;610;441;631;0;825
2017;10. Latina;106. Cuatro Vientos;381;255;197;121;387;107;301;204;118;97;0;47
2017;10. Latina;107. Águilas;1.422;1.213;944;838;2.358;1.189;2.647;2.100;1.247;1.674;0;1.298
2017;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;6.832;5.509;4.189;3.452;10.585;6.037;12.168;10.105;7.195;9.892;1;8.003
2017;11. Carabanchel;111. Comillas;780;516;363;256;910;506;1.108;809;599;758;0;637
2017;11. Carabanchel;112. Opañel;964;720;523;447;1.425;772;1.602;1.222;914;1.255;0;1.176
2017;11. Carabanchel;113. San Isidro;953;735;610;454;1.475;925;1.884;1.573;1.150;1.632;0;1.384
2017;11. Carabanchel;114. Vista Alegre;977;841;597;573;1.722;1.110;2.144;1.741;1.373;1.911;0;1.799
2017;11. Carabanchel;115. Puerta Bonita;630;569;458;441;1.211;869;1.554;1.485;1.072;1.545;0;1.175
2017;11. Carabanchel;116. Buenavista;1.749;1.509;1.156;856;2.629;1.135;2.534;2.101;1.163;1.529;0;818
2017;11. Carabanchel;117. Abrantes;779;619;482;425;1.212;720;1.342;1.173;924;1.262;1;1.014
2017;12. Usera;12. Usera;;;;;;;;;;;;
2017;12. Usera;12. Usera;2.578;2.255;1.782;1.680;5.115;3.393;6.391;5.883;4.407;6.721;7;4.281
2017;12. Usera;121. Orcasitas;461;430;380;346;1.058;553;1.117;1.045;609;1.043;0;320
2017;12. Usera;122. Orcasur;236;228;172;150;502;361;580;620;457;782;0;281
2017;12. Usera;123. San Fermín;482;418;358;290;966;619;1.114;1.018;666;1.127;0;591
2017;12. Usera;124. Almendrales;436;323;227;253;737;500;1.003;867;714;997;2;745
2017;12. Usera;125. Moscardó;516;439;327;302;922;628;1.245;1.010;864;1.166;1;1.073
2017;12. Usera;126. Zofío;258;233;181;169;453;341;660;573;455;676;1;495
2017;12. Usera;127. Pradolongo;189;184;136;170;477;390;672;749;642;930;3;776
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;3.829;3.511;3.048;2.842;9.084;6.161;11.336;11.341;7.706;13.058;6;6.747
2017;13. Puente de Vallecas;131. Entrevías;259;313;299;342;1.157;840;1.464;1.749;1.160;2.169;0;987
2017;13. Puente de Vallecas;132. San Diego;522;473;374;428;1.290;1.130;1.835;1.952;1.535;2.424;2;1.623
2017;13. Puente de Vallecas;133. Palomeras Bajas;925;873;731;629;1.879;1.111;2.181;1.884;1.192;1.957;2;923
2017;13. Puente de Vallecas;134. Palomeras Sureste;877;734;678;596;1.889;1.143;2.294;2.293;1.381;2.485;0;966
2017;13. Puente de Vallecas;135. Portazgo;345;366;304;291;989;752;1.315;1.421;907;1.653;1;644
2017;13. Puente de Vallecas;136. Numancia;901;751;662;556;1.880;1.183;2.247;2.042;1.531;2.370;1;1.604
2017;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;4.578;2.761;2.153;1.342;4.488;1.918;4.457;2.871;1.912;2.577;0;1.751
2017;14. Moratalaz;141. Pavones;394;256;195;155;418;182;436;301;171;269;0;119
2017;14. Moratalaz;142. Horcajo;512;290;250;122;384;109;315;185;102;123;0;37
2017;14. Moratalaz;143. Marroquina;1.708;960;700;423;1.431;502;1.303;692;447;549;0;373
2017;14. Moratalaz;144. Media Legua;851;494;379;232;730;344;772;499;361;524;0;307
2017;14. Moratalaz;145. Fontarrón;479;348;292;208;719;416;755;642;456;633;0;514
2017;14. Moratalaz;146. Vinateros;634;413;337;202;806;365;876;552;375;479;0;401
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;12.980;5.559;4.559;2.707;9.553;4.322;10.063;6.171;4.388;6.143;3;5.480
2017;15. Ciudad Lineal;151. Ventas;1.579;1.088;833;634;2.168;1.216;2.567;1.795;1.281;1.724;0;1.540
2017;15. Ciudad Lineal;152. Pueblo Nuevo;2.112;1.447;1.178;837;2.774;1.408;3.176;2.414;1.673;2.444;2;2.088
2017;15. Ciudad Lineal;153. Quintana;1.081;657;457;337;1.097;570;1.284;771;578;853;0;769
2017;15. Ciudad Lineal;154. Concepción;1.330;626;463;264;974;460;908;472;369;473;0;465
2017;15. Ciudad Lineal;155. San Pascual;1.467;545;481;236;875;310;808;373;262;341;0;237
2017;15. Ciudad Lineal;156. San Juan Bautista;1.580;360;355;113;549;113;407;129;75;114;1;103
2017;15. Ciudad Lineal;157. Colina;709;191;169;55;252;69;208;67;32;45;0;60
2017;15. Ciudad Lineal;158. Atalaya;193;38;44;5;47;15;43;7;5;3;0;13
2017;15. Ciudad Lineal;159. Costillares;2.929;607;579;226;817;161;662;143;113;146;0;205
2017;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;
2017;16. Hortaleza;16. Hortaleza;15.731;5.651;4.980;2.677;9.271;2.907;7.967;4.428;2.551;3.379;2;2.492
2017;16. Hortaleza;161. Palomas;908;196;200;60;210;33;157;40;27;23;0;51
2017;16. Hortaleza;162. Piovera;1.945;363;353;135;503;93;377;114;61;84;0;258
2017;16. Hortaleza;163. Canillas;2.661;1.222;1.069;589;2.165;767;1.848;1.107;626;798;0;486
2017;16. Hortaleza;164. Pinar del Rey;2.419;1.222;1.102;755;2.617;1.159;2.723;1.777;1.097;1.558;2;1.091
2017;16. Hortaleza;165. Apóstol Santiago;765;378;287;237;759;329;727;499;290;454;0;267
2017;16. Hortaleza;166. Valdefuentes;7.033;2.270;1.969;901;3.017;526;2.135;891;450;462;0;339
2017;17. Villaverde;17. Villaverde;;;;;;;;;;;;
2017;17. Villaverde;17. Villaverde;2.707;2.498;2.102;1.887;5.896;3.628;6.827;7.020;4.884;7.220;2;4.445
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;635;603;539;487;1.695;1.126;2.046;2.195;1.557;2.502;0;1.287
2017;17. Villaverde;172. San Cristóbal;67;59;68;105;296;379;464;719;669;995;0;693
2017;17. Villaverde;173. Butarque;547;485;385;376;1.049;496;1.107;972;566;718;0;380
2017;17. Villaverde;174. Los Rosales;860;761;657;523;1.584;941;1.788;1.868;1.190;1.786;1;1.266
2017;17. Villaverde;175. Ángeles;598;590;453;396;1.272;686;1.422;1.266;902;1.219;1;819
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;4.342;3.494;2.595;1.865;6.320;2.450;6.313;4.972;2.776;4.155;1;1.798
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;555;548;494;467;1.658;951;2.008;2.175;1.311;2.275;1;939
2017;18. Villa de Vallecas;182. Santa Eugenia;1.019;725;604;420;1.325;560;1.308;963;512;818;0;523
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;2.768;2.221;1.497;978;3.337;939;2.997;1.834;953;1.062;0;336
2017;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;
2017;19. Vicálvaro;19. Vicálvaro;2.711;2.038;1.680;1.238;3.769;1.605;3.631;3.133;1.707;2.818;1;1.302
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;461;457;422;396;1.210;817;1.502;1.690;1.058;1.862;1;1.002
2017;19. Vicálvaro;192. Valdebernardo;923;705;535;404;1.047;416;992;646;346;546;0;191
2017;19. Vicálvaro;193. Valderribas;1.310;867;714;430;1.492;361;1.123;782;300;402;0;104
2017;19. Vicálvaro;194. El Cañaveral;17;9;9;8;20;11;14;15;3;8;0;5
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;7.927;4.044;3.662;2.377;8.034;3.510;7.854;6.054;3.509;5.433;4;2.865
2017;20. San Blas-Canillejas;201. Simancas;1.358;613;591;360;1.272;648;1.370;1.061;698;1.038;0;709
2017;20. San Blas-Canillejas;202. Hellín;114;115;101;112;401;266;479;467;276;496;0;182
2017;20. San Blas-Canillejas;203. Amposta;77;83;80;108;310;229;401;403;287;512;0;221
2017;20. San Blas-Canillejas;204. Arcos;653;503;425;335;1.147;640;1.259;1.232;680;1.169;2;425
2017;20. San Blas-Canillejas;205. Rosas;2.260;1.295;1.100;645;2.027;602;1.694;1.004;486;599;0;286
2017;20. San Blas-Canillejas;206. Rejas;1.402;549;550;283;976;263;770;485;241;320;0;197
2017;20. San Blas-Canillejas;207. Canillejas;940;550;511;353;1.324;717;1.408;1.199;737;1.191;2;742
2017;20. San Blas-Canillejas;208. El Salvador;1.123;336;304;181;577;145;473;203;104;108;0;103
2017;21. Barajas;21. Barajas;;;;;;;;;;;;
2017;21. Barajas;21. Barajas;4.002;1.449;1.318;700;2.797;896;1.962;1.254;786;1.001;0;472
2017;21. Barajas;211. Alameda de Osuna;1.876;660;552;278;1.049;229;716;258;144;161;0;127
2017;21. Barajas;212. Aeropuerto;11;19;9;23;77;50;65;100;71;123;0;70
2017;21. Barajas;213. Casco Histórico de Barajas;165;104;117;105;448;256;354;422;246;381;0;154
2017;21. Barajas;214. Timón;842;433;354;215;837;302;599;404;286;291;0;89
2017;21. Barajas;215. Corralejos;1.108;233;286;79;386;59;228;70;39;45;0;32
2018;01. Centro;01. Centro;;;;;;;;;;;;
2018;01. Centro;01. Centro;11.904;3.835;3.501;1.823;6.340;2.788;6.053;3.481;2.525;2.484;4;1.658
2018;01. Centro;011. Palacio;2.070;697;650;305;1.064;416;1.056;455;340;292;0;221
2018;01. Centro;012. Embajadores;3.406;1.382;1.087;644;2.105;1.145;2.195;1.399;1.067;1.250;2;564
2018;01. Centro;013. Cortes;1.012;279;291;130;486;182;430;263;154;132;0;97
2018;01. Centro;014. Justicia;1.733;392;462;193;770;291;648;335;238;215;0;226
2018;01. Centro;015. Universidad;3.096;924;820;464;1.572;606;1.426;830;608;497;1;477
2018;01. Centro;016. Sol;587;161;191;87;343;148;298;199;118;98;1;73
2018;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;
2018;02. Arganzuela;02. Arganzuela;15.737;6.678;4.676;2.508;7.901;2.426;6.780;3.429;2.129;2.546;3;2.058
2018;02. Arganzuela;021. Imperial;2.355;985;744;391;1.191;352;961;457;236;249;0;174
2018;02. Arganzuela;022. Acacias;3.898;1.652;1.134;606;1.921;482;1.573;648;386;398;0;279
2018;02. Arganzuela;023. Chopera;1.310;706;457;306;1.024;440;943;647;405;561;2;504
2018;02. Arganzuela;024. Legazpi;2.849;1.085;860;338;1.137;199;789;331;175;206;1;132
2018;02. Arganzuela;025. Delicias;2.927;1.208;833;422;1.359;448;1.212;609;415;528;0;436
2018;02. Arganzuela;026. Palos de Moguer;2.328;991;610;403;1.208;481;1.232;698;491;586;0;528
2018;02. Arganzuela;027. Atocha;70;51;38;42;61;24;69;39;21;18;0;5
2018;03. Retiro;03. Retiro;;;;;;;;;;;;
2018;03. Retiro;03. Retiro;13.531;4.234;3.161;1.445;5.063;1.752;4.295;1.546;989;1.088;1;1.270
2018;03. Retiro;031. Pacífico;3.400;1.258;929;458;1.647;528;1.425;541;384;397;1;419
2018;03. Retiro;032. Adelfas;2.143;803;557;291;965;258;821;312;191;225;0;156
2018;03. Retiro;033. Estrella;2.802;905;642;245;883;257;714;204;116;140;0;149
2018;03. Retiro;034. Ibiza;2.409;648;512;253;876;378;751;316;184;212;0;289
2018;03. Retiro;035. Los Jerónimos;716;178;151;61;211;125;206;56;42;48;0;100
2018;03. Retiro;036. Niño Jesús;2.061;442;370;137;481;206;378;117;72;66;0;157
2018;04. Salamanca;04. Salamanca;;;;;;;;;;;;
2018;04. Salamanca;04. Salamanca;16.745;4.040;3.664;1.472;6.009;2.472;5.244;1.738;1.134;1.291;0;2.501
2018;04. Salamanca;041. Recoletos;1.781;218;330;108;426;298;372;94;53;74;0;331
2018;04. Salamanca;042. Goya;3.643;792;694;315;1.196;515;1.072;373;239;215;0;419
2018;04. Salamanca;043. Fuente del Berro;2.161;709;610;247;1.049;322;880;380;232;299;0;340
2018;04. Salamanca;044. Guindalera;4.680;1.473;1.189;479;1.945;693;1.724;587;390;423;0;628
2018;04. Salamanca;045. Lista;2.481;571;514;208;832;343;759;210;164;180;0;330
2018;04. Salamanca;046. Castellana;1.999;277;327;115;561;301;437;94;56;100;0;453
2018;05. Chamartín;05. Chamartín;;;;;;;;;;;;
2018;05. Chamartín;05. Chamartín;18.658;4.060;3.601;1.625;5.755;2.068;4.829;1.548;1.022;1.200;1;2.422
2018;05. Chamartín;051. El Viso;2.296;273;328;119;488;249;439;87;64;98;1;532
2018;05. Chamartín;052. Prosperidad;4.167;1.317;1.006;524;1.782;600;1.518;583;369;392;0;525
2018;05. Chamartín;053. Ciudad Jardín;2.035;575;487;244;852;300;732;330;228;272;0;339
2018;05. Chamartín;054. Hispanoamérica;4.235;801;760;330;1.123;420;864;224;154;191;0;403
2018;05. Chamartín;055. Nueva España;3.647;528;585;223;789;280;631;131;85;116;0;440
2018;05. Chamartín;056. Castilla;2.278;566;435;185;721;219;645;193;122;131;0;183
2018;06. Tetuán;06. Tetuán;;;;;;;;;;;;
2018;06. Tetuán;06. Tetuán;11.763;4.270;3.429;1.922;7.014;3.228;7.195;4.947;3.633;4.545;2;5.728
2018;06. Tetuán;061. Bellas Vistas;1.803;788;548;339;1.157;632;1.343;982;841;930;1;1.337
2018;06. Tetuán;062. Cuatro Caminos;3.787;971;772;390;1.461;563;1.287;680;499;525;0;938
2018;06. Tetuán;063. Castillejos;2.258;594;545;211;911;323;740;379;268;296;0;458
2018;06. Tetuán;064. Almenara;1.236;559;447;272;1.032;537;1.169;801;526;877;0;657
2018;06. Tetuán;065. Valdeacederas;1.351;672;587;372;1.317;622;1.357;1.134;763;988;0;1.146
2018;06. Tetuán;066. Berruguete;1.328;686;530;338;1.136;551;1.299;971;736;929;1;1.192
2018;07. Chamberí;07. Chamberí;;;;;;;;;;;;
2018;07. Chamberí;07. Chamberí;17.224;3.941;3.375;1.526;5.493;2.402;4.907;1.710;1.147;1.362;2;2.267
2018;07. Chamberí;071. Gaztambide;2.660;716;518;252;865;402;787;257;195;219;1;331
2018;07. Chamberí;072. Arapiles;2.909;757;589;305;1.050;467;962;341;258;295;1;349
2018;07. Chamberí;073. Trafalgar;3.122;722;659;343;1.156;397;983;404;246;264;0;365
2018;07. Chamberí;074. Almagro;2.398;396;439;159;630;336;586;197;114;163;0;507
2018;07. Chamberí;075. Ríos Rosas;3.582;800;726;278;1.088;483;969;347;236;287;0;436
2018;07. Chamberí;076. Vallehermoso;2.553;550;444;189;704;317;620;164;98;133;0;279
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;24.247;8.499;6.793;3.541;11.342;3.818;10.162;5.063;2.959;4.027;6;3.411
2018;08. Fuencarral-El Pardo;081. El Pardo;136;77;61;93;142;107;163;83;67;115;1;20
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;368;41;62;20;72;21;69;13;6;14;0;100
2018;08. Fuencarral-El Pardo;083. Peñagrande;3.517;1.555;1.131;644;2.064;706;2.046;1.009;579;776;0;622
2018;08. Fuencarral-El Pardo;084. Pilar;2.538;1.396;977;690;2.231;1.253;2.378;1.460;889;1.229;1;1.014
2018;08. Fuencarral-El Pardo;085. La Paz;3.815;1.299;899;371;1.469;342;1.170;403;234;253;0;229
2018;08. Fuencarral-El Pardo;086. Valverde;6.730;2.242;1.992;986;3.198;981;2.786;1.554;920;1.325;0;1.041
2018;08. Fuencarral-El Pardo;087. Mirasierra;4.396;1.130;985;424;1.273;270;1.007;349;185;216;3;316
2018;08. Fuencarral-El Pardo;088. El Goloso;2.747;759;686;313;893;138;543;192;79;99;1;69
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;12.290;3.198;2.682;1.264;4.404;1.648;4.107;1.879;1.087;1.488;1;2.249
2018;09. Moncloa-Aravaca;091. Casa de Campo;1.311;448;360;184;593;191;509;214;128;149;0;100
2018;09. Moncloa-Aravaca;092. Argüelles;2.581;664;498;254;858;443;807;311;202;244;0;390
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.859;438;338;170;517;185;429;150;76;133;0;267
2018;09. Moncloa-Aravaca;094. Valdezarza;1.813;885;685;403;1.380;597;1.428;882;503;685;1;558
2018;09. Moncloa-Aravaca;095. Valdemarín;952;89;123;36;148;15;136;20;11;22;0;190
2018;09. Moncloa-Aravaca;096. El Plantío;351;49;64;12;67;15;80;12;4;19;0;78
2018;09. Moncloa-Aravaca;097. Aravaca;3.423;625;614;205;841;202;717;290;163;236;0;666
2018;10. Latina;10. Latina;;;;;;;;;;;;
2018;10. Latina;10. Latina;8.128;6.047;4.544;3.536;10.831;5.524;11.742;9.126;5.985;7.783;6;7.423
2018;10. Latina;101. Los Cármenes;576;421;357;251;817;431;892;716;460;592;0;425
2018;10. Latina;102. Puerta del Ángel;1.589;1.002;782;560;1.903;1.015;2.124;1.636;1.145;1.444;0;1.465
2018;10. Latina;103. Lucero;1.257;928;689;551;1.635;836;1.749;1.364;957;1.204;1;1.154
2018;10. Latina;104. Aluche;2.121;1.668;1.170;909;2.825;1.484;3.054;2.354;1.555;2.094;3;2.291
2018;10. Latina;105. Campamento;661;467;361;277;771;398;844;671;453;636;0;791
2018;10. Latina;106. Cuatro Vientos;410;288;217;137;408;114;339;210;119;110;1;40
2018;10. Latina;107. Águilas;1.514;1.273;968;851;2.471;1.245;2.740;2.174;1.296;1.703;1;1.257
2018;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;
2018;11. Carabanchel;11. Carabanchel;7.233;5.870;4.326;3.575;11.030;6.306;12.819;11.014;7.510;10.174;4;8.099
2018;11. Carabanchel;111. Comillas;823;559;363;304;963;526;1.108;836;602;734;1;597
2018;11. Carabanchel;112. Opañel;1.053;765;563;455;1.437;768;1.750;1.349;942;1.286;0;1.198
2018;11. Carabanchel;113. San Isidro;1.029;808;628;490;1.577;964;1.951;1.720;1.188;1.704;1;1.367
2018;11. Carabanchel;114. Vista Alegre;1.001;889;631;602;1.797;1.164;2.256;1.904;1.401;2.029;0;1.853
2018;11. Carabanchel;115. Puerta Bonita;672;605;484;457;1.264;937;1.656;1.625;1.181;1.620;0;1.187
2018;11. Carabanchel;116. Buenavista;1.833;1.598;1.192;858;2.748;1.181;2.649;2.280;1.214;1.564;2;835
2018;11. Carabanchel;117. Abrantes;822;646;465;409;1.243;766;1.449;1.299;982;1.237;0;1.062
2018;12. Usera;12. Usera;;;;;;;;;;;;
2018;12. Usera;12. Usera;2.769;2.345;1.884;1.715;5.324;3.619;6.742;6.337;4.540;7.053;4;4.250
2018;12. Usera;121. Orcasitas;482;445;391;350;1.080;582;1.185;1.119;607;1.054;0;299
