AÑO;DISTRITO;BARRIO;Densidad (Habitantes/Ha.);Edad promedio;Edad mediana;Proporción de juventud;Proporción de envejecimiento;Proporción de sobreenvejecimiento;Índice de envejecimiento;Índice de juventud;Índice de dependencia;Índice de estructura de la población activa;Índice de Reemplazo de la población activa;Razón de progresividad demográfica;Proporción de extranjeros;Proporción de nacidos fuera de España;Proporción de inmigrantes extranjeros
2017;01. Centro;01. Centro;;;;;;;;;;;;;;;
2017;01. Centro;01. Centro;253,15;44,09;42,16;8,48;16,25;35,52;191,60;52,19;32,87;97,76;36,16;113,65;22,01;30,77;12,05
2017;01. Centro;011. Palacio;153,17;45,69;44,47;8,63;18,92;34,05;219,31;45,60;38,01;82,93;32,56;111,39;17,12;24,59;7,72
2017;01. Centro;012. Embajadores;431,74;42,93;40,86;9,05;14,38;37,08;158,85;62,95;30,61;104,48;40,20;107,16;25,26;33,85;16,36
2017;01. Centro;013. Cortes;177,93;45,14;43,60;7,26;16,87;34,10;232,29;43,05;31,82;89,09;29,34;145,27;21,96;30,76;9,27
2017;01. Centro;014. Justicia;224,20;44,18;42,46;8,66;16,40;35,84;189,28;52,83;33,44;96,12;41,32;122,04;20,57;29,37;9,69
2017;01. Centro;015. Universidad;325,91;44,06;41,79;8,21;16,52;35,99;201,10;49,73;32,86;103,49;36,18;112,17;20,96;30,42;11,23
2017;01. Centro;016. Sol;161,71;44,73;42,76;7,03;17,16;31,88;244,27;40,94;31,91;98,36;26,70;121,85;25,07;35,72;11,79
2017;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;236,62;44,35;44,11;12,90;19,03;34,64;147,51;67,79;46,90;79,42;48,44;110,06;9,52;16,13;6,28
2017;02. Arganzuela;021. Imperial;234,78;45,79;46,24;12,29;21;35,55;170,82;58,54;49,91;71,61;46,53;101,41;6,68;11,42;3,68
2017;02. Arganzuela;022. Acacias;342,37;46,12;46,70;11,08;22,07;30,95;199,21;50,20;49,59;79,94;42,95;109,01;6,54;11,07;3,80
2017;02. Arganzuela;023. Chopera;348,70;46,54;45,47;10,77;23,20;39,42;215,48;46,41;51,45;85,96;40,26;137,73;12,98;22,95;10,04
2017;02. Arganzuela;024. Legazpi;136,11;37,83;39,87;20,21;8,33;26,76;41,21;242,67;39,92;72,55;81,51;106,67;6,85;11,75;3,97
2017;02. Arganzuela;025. Delicias;260,49;42,78;42,73;14,68;16,81;34,06;114,48;87,35;45,97;78,79;57,70;106,31;10,94;18,42;7,55
2017;02. Arganzuela;026. Palos de Moguer;397,07;45,72;44,42;9,90;20,51;38,38;207,22;48,26;43,71;88,30;37,31;113,25;14,27;23,30;9,74
2017;02. Arganzuela;027. Atocha;15,84;37,98;40,90;21,72;9,79;26,32;45,06;221,93;45,99;64,88;116,36;88,46;5,92;10,99;3,35
2017;03. Retiro;03. Retiro;;;;;;;;;;;;;;;
2017;03. Retiro;03. Retiro;217,72;46,92;47,34;12,61;25,52;34,24;202,38;49,41;61,65;75,18;43,54;105,24;7,07;12,34;3,89
2017;03. Retiro;031. Pacífico;443,14;47,24;47,74;10,94;24,52;35,80;224,22;44,60;54,94;77,36;40,02;111,09;8,33;14,43;5,07
2017;03. Retiro;032. Adelfas;286,29;44,76;44,71;13,69;20,70;31,21;151,21;66,13;52,41;75,44;42,28;107,80;6,45;11,07;3,86
2017;03. Retiro;033. Estrella;226,60;48,33;49,57;13,10;30,47;30,16;232,51;43,01;77,21;73,50;44,48;90,13;3,70;7,58;1,98
2017;03. Retiro;034. Ibiza;436,45;46,94;46,69;12,40;24,90;39,09;200,83;49,79;59,48;76,07;38,76;113,29;9,90;16,13;5,21
2017;03. Retiro;035. Los Jerónimos;37,11;47,89;48,52;12;26,56;39,06;221,32;45,18;62,76;68,75;41,03;129,62;9,41;16,35;3,72
2017;03. Retiro;036. Niño Jesús;237,53;46,18;47,28;14,84;26,41;32,37;177,91;56,21;70,21;74,01;61,49;96,88;5,08;9,35;2,47
2017;04. Salamanca;04. Salamanca;;;;;;;;;;;;;;;
2017;04. Salamanca;04. Salamanca;269,39;46,25;45,53;11,42;23,92;37,96;209,52;47,73;54,66;90,29;47,25;110,77;12,52;19,79;6,73
2017;04. Salamanca;041. Recoletos;180,45;45,68;45,71;11,90;22,72;33,50;190,88;52,39;52,94;86,36;49,04;118,64;15,81;23,69;7,13
2017;04. Salamanca;042. Goya;384,32;46,20;45,51;10,96;23,52;36,33;214,58;46,60;52,63;90,46;41,61;123,62;12,86;20,41;6,78
2017;04. Salamanca;043. Fuente del Berro;243,34;46,86;46,01;11,18;24,63;38,07;220,31;45,39;55,77;84,19;44,68;101,21;11,13;18,61;6,21
2017;04. Salamanca;044. Guindalera;257,42;46,76;46,16;11,55;24,67;42,04;213,66;46,80;56,78;87,10;53,09;102,94;10,05;16,50;5,99
2017;04. Salamanca;045. Lista;402,83;45,94;44,56;11,47;23,96;37,69;208,99;47,85;54,87;98,31;43,25;112,79;13,41;20,52;7,32
2017;04. Salamanca;046. Castellana;219,11;45,28;44,36;11,70;23,03;34,54;196,92;50,78;53,20;100,09;50,50;111,59;15,51;23,66;8
2017;05. Chamartín;05. Chamartín;;;;;;;;;;;;;;;
2017;05. Chamartín;05. Chamartín;157,91;45,31;45,05;13,87;23,16;36,40;166,93;59,91;58,82;83,18;50,87;108,33;9,09;15,68;5,29
2017;05. Chamartín;051. El Viso;100,31;44,27;44,25;14,33;21,47;36,81;149,82;66,75;55,76;87,35;61,10;118,61;10,58;17,54;5,77
2017;05. Chamartín;052. Prosperidad;351,15;46,55;46,12;11,43;24,66;32,95;215,74;46,35;56,48;86,51;38,69;112,70;9,68;16,45;6,13
2017;05. Chamartín;053. Ciudad Jardín;242,51;45,76;45,15;12,48;23,01;36,62;184,32;54,25;55,03;84,65;41,32;116,57;11,29;19,15;7,18
2017;05. Chamartín;054. Hispanoamérica;183,20;45,86;45,99;15,07;24,61;39,03;163,25;61,26;65,78;75,12;53,11;107,58;6,70;12,56;3,52
