AÑO;DISTRITO;BARRIO;Pension media
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;1.222,67
2017;06. Tetuán;061. Bellas Vistas;1.225,09
2017;06. Tetuán;062. Cuatro Caminos;1.404,66
2017;06. Tetuán;063. Castillejos;1.414,83
2017;06. Tetuán;064. Almenara;1.041,45
2017;06. Tetuán;065. Valdeacederas;1.041,14
2017;06. Tetuán;066. Berruguete;1.122,61
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;1.409,60
2017;07. Chamberí;071. Gaztambide;1.408,94
2017;07. Chamberí;072. Arapiles;1.384,08
2017;07. Chamberí;073. Trafalgar;1.372,73
2017;07. Chamberí;074. Almagro;1.389,79
2017;07. Chamberí;075. Ríos Rosas;1.403,56
2017;07. Chamberí;076. Vallehermoso;1.505,41
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;1.378,64
2017;08. Fuencarral-El Pardo;081. El Pardo;1.221,31
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;1.600,69
2017;08. Fuencarral-El Pardo;083. Peñagrande;1.363,62
2017;08. Fuencarral-El Pardo;084. Pilar;1.270,42
2017;08. Fuencarral-El Pardo;085. La Paz;1.638,74
2017;08. Fuencarral-El Pardo;086. Valverde;1.178,50
2017;08. Fuencarral-El Pardo;087. Mirasierra;1.590,07
2017;08. Fuencarral-El Pardo;088. El Goloso;1.097,90
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.375,85
2017;09. Moncloa-Aravaca;091. Casa de Campo;1.374,45
2017;09. Moncloa-Aravaca;092. Argüelles;1.369,54
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.512,68
2017;09. Moncloa-Aravaca;094. Valdezarza;1.257,33
2017;09. Moncloa-Aravaca;095. Valdemarín;1.396,19
2017;09. Moncloa-Aravaca;096. El Plantío;1.463,81
2017;09. Moncloa-Aravaca;097. Aravaca;1.495,94
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;1.174,16
2017;10. Latina;101. Los Cármenes;1.075,27
2017;10. Latina;102. Puerta del Ángel;1.110,91
2017;10. Latina;103. Lucero;1.164,69
2017;10. Latina;104. Aluche;1.234,23
2017;10. Latina;105. Campamento;1.133,25
2017;10. Latina;106. Cuatro Vientos;1.124,79
2017;10. Latina;107. Águilas;1.172,58
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;1.100,46
2017;11. Carabanchel;111. Comillas;1.172,88
2017;11. Carabanchel;112. Opañel;1.161,24
2017;11. Carabanchel;113. San Isidro;1.075,69
2017;11. Carabanchel;114. Vista Alegre;1.122,51
2017;11. Carabanchel;115. Puerta Bonita;1.005,78
2017;11. Carabanchel;116. Buenavista;1.095,58
2017;11. Carabanchel;117. Abrantes;1.067,81
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;1.029,33
2017;12. Usera;121. Orcasitas;1.004,30
2017;12. Usera;122. Orcasur;922,02
2017;12. Usera;123. San Fermín;1.006,82
2017;12. Usera;124. Almendrales;1.034,86
2017;12. Usera;125. Moscardó;1.137,93
2017;12. Usera;126. Zofío;1.039,56
2017;12. Usera;127. Pradolongo;982,37
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;1.004,23
2017;13. Puente de Vallecas;131. Entrevías;932,90
2017;13. Puente de Vallecas;132. San Diego;975
2017;13. Puente de Vallecas;133. Palomeras Bajas;1.102,84
2017;13. Puente de Vallecas;134. Palomeras Sureste;991,99
2017;13. Puente de Vallecas;135. Portazgo;986,70
2017;13. Puente de Vallecas;136. Numancia;1.030,11
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;1.252,78
2017;14. Moratalaz;141. Pavones;1.193,42
2017;14. Moratalaz;142. Horcajo;1.205,34
2017;14. Moratalaz;143. Marroquina;1.355,92
2017;14. Moratalaz;144. Media Legua;1.323,64
2017;14. Moratalaz;145. Fontarrón;1.139,99
2017;14. Moratalaz;146. Vinateros;1.165,50
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;1.255,02
2017;15. Ciudad Lineal;151. Ventas;1.155,34
2017;15. Ciudad Lineal;152. Pueblo Nuevo;1.170,77
2017;15. Ciudad Lineal;153. Quintana;1.182,29
2017;15. Ciudad Lineal;154. Concepción;1.263,74
2017;15. Ciudad Lineal;155. San Pascual;1.338,70
2017;15. Ciudad Lineal;156. San Juan Bautista;1.459,76
2017;15. Ciudad Lineal;157. Colina;1.504,35
2017;15. Ciudad Lineal;158. Atalaya;1.407,42
2017;15. Ciudad Lineal;159. Costillares;1.585,99
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;1.275,58
2017;16. Hortaleza;161. Palomas;1.679,78
2017;16. Hortaleza;162. Piovera;1.526,69
2017;16. Hortaleza;163. Canillas;1.259,05
2017;16. Hortaleza;164. Pinar del Rey;1.210,22
2017;16. Hortaleza;165. Apóstol Santiago;1.250,84
2017;16. Hortaleza;166. Valdefuentes;1.363,88
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;1.082,42
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1.017,63
2017;17. Villaverde;172. San Cristóbal;953,26
2017;17. Villaverde;173. Butarque;1.054,31
2017;17. Villaverde;174. Los Rosales;1.116,84
2017;17. Villaverde;175. Ángeles;1.162,05
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;1.142,82
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.038,62
2017;18. Villa de Vallecas;182. Santa Eugenia;1.318,51
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;1.140,36
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;1.093,66
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.093,83
2017;19. Vicálvaro;192. Valdebernardo;0
2017;19. Vicálvaro;193. Valderribas;0
2017;19. Vicálvaro;194. El Cañaveral;934,59
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;1.132
2017;20. San Blas-Canillejas;201. Simancas;1.044,36
2017;20. San Blas-Canillejas;202. Hellín;969,04
2017;20. San Blas-Canillejas;203. Amposta;960,11
2017;20. San Blas-Canillejas;204. Arcos;977
2017;20. San Blas-Canillejas;205. Rosas;1.300,04
2017;20. San Blas-Canillejas;206. Rejas;1.257,03
2017;20. San Blas-Canillejas;207. Canillejas;1.157,58
2017;20. San Blas-Canillejas;208. El Salvador;1.450,10
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;1.454,32
2017;21. Barajas;211. Alameda de Osuna;1.637,06
2017;21. Barajas;212. Aeropuerto;975,67
2017;21. Barajas;213. Casco Histórico de Barajas;1.211,69
2017;21. Barajas;214. Timón;1.254,79
2017;21. Barajas;215. Corralejos;1.386,75
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;1.182,55
2020;01. Centro;011. Palacio;1.277,41
2020;01. Centro;012. Embajadores;1.161,39
2020;01. Centro;013. Cortes;1.267,74
2020;01. Centro;014. Justicia;1.288,96
2020;01. Centro;015. Universidad;1.265,70
2020;01. Centro;016. Sol;1.183,83
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;1.377,79
2020;02. Arganzuela;021. Imperial;1.410,04
2020;02. Arganzuela;022. Acacias;1.509,99
2020;02. Arganzuela;023. Chopera;1.330,03
2020;02. Arganzuela;024. Legazpi;1.494,06
2020;02. Arganzuela;025. Delicias;1.387,66
2020;02. Arganzuela;026. Palos de Moguer;1.351,25
2020;02. Arganzuela;027. Atocha;1.340,65
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;1.537,92
2020;03. Retiro;031. Pacífico;1.517,41
2020;03. Retiro;032. Adelfas;1.556,22
2020;03. Retiro;033. Estrella;1.700,05
2020;03. Retiro;034. Ibiza;1.475,72
2020;03. Retiro;035. Los Jerónimos;1.493,91
2020;03. Retiro;036. Niño Jesús;1.648,88
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;1.393,77
2020;04. Salamanca;041. Recoletos;1.486,49
2020;04. Salamanca;042. Goya;1.398,45
2020;04. Salamanca;043. Fuente del Berro;1.456,29
2020;04. Salamanca;044. Guindalera;1.563,74
2020;04. Salamanca;045. Lista;1.479,69
2020;04. Salamanca;046. Castellana;1.397,93
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;1.541,73
2020;05. Chamartín;051. El Viso;1.447,36
2020;05. Chamartín;052. Prosperidad;1.586,28
2020;05. Chamartín;053. Ciudad Jardín;1.474,29
2020;05. Chamartín;054. Hispanoamérica;1.562,19
2020;05. Chamartín;055. Nueva España;1.575,37
2020;05. Chamartín;056. Castilla;1.551,91
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;1.282,40
2020;06. Tetuán;061. Bellas Vistas;1.290,58
2020;06. Tetuán;062. Cuatro Caminos;1.454,50
2020;06. Tetuán;063. Castillejos;1.460,76
2020;06. Tetuán;064. Almenara;1.110,15
2020;06. Tetuán;065. Valdeacederas;1.111,48
2020;06. Tetuán;066. Berruguete;1.198,46
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;1.457,75
2020;07. Chamberí;071. Gaztambide;1.456,32
2020;07. Chamberí;072. Arapiles;1.436,76
2020;07. Chamberí;073. Trafalgar;1.417,63
2020;07. Chamberí;074. Almagro;1.440,77
2020;07. Chamberí;075. Ríos Rosas;1.458,76
2020;07. Chamberí;076. Vallehermoso;1.555,15
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;1.429,99
2020;08. Fuencarral-El Pardo;081. El Pardo;1.272,84
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;1.635,87
2020;08. Fuencarral-El Pardo;083. Peñagrande;1.418,75
2020;08. Fuencarral-El Pardo;084. Pilar;1.324,52
2020;08. Fuencarral-El Pardo;085. La Paz;1.672,10
2020;08. Fuencarral-El Pardo;086. Valverde;1.236,34
2020;08. Fuencarral-El Pardo;087. Mirasierra;1.632,17
2020;08. Fuencarral-El Pardo;088. El Goloso;1.189,89
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.430,37
2020;09. Moncloa-Aravaca;091. Casa de Campo;1.433,28
2020;09. Moncloa-Aravaca;092. Argüelles;1.420,47
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.559,34
2020;09. Moncloa-Aravaca;094. Valdezarza;1.321,82
2020;09. Moncloa-Aravaca;095. Valdemarín;1.493,23
2020;09. Moncloa-Aravaca;096. El Plantío;1.491,98
2020;09. Moncloa-Aravaca;097. Aravaca;1.541,06
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;1.233,10
2020;10. Latina;101. Los Cármenes;1.138,15
2020;10. Latina;102. Puerta del Ángel;1.177,70
2020;10. Latina;103. Lucero;1.234,54
2020;10. Latina;104. Aluche;1.288,96
2020;10. Latina;105. Campamento;1.183,32
2020;10. Latina;106. Cuatro Vientos;1.233,34
2020;10. Latina;107. Águilas;1.225,58
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;1.163,63
2020;11. Carabanchel;111. Comillas;1.228,88
2020;11. Carabanchel;112. Opañel;1.223,95
2020;11. Carabanchel;113. San Isidro;1.151,82
2020;11. Carabanchel;114. Vista Alegre;1.183,79
2020;11. Carabanchel;115. Puerta Bonita;1.071,95
2020;11. Carabanchel;116. Buenavista;1.152,73
2020;11. Carabanchel;117. Abrantes;1.127,71
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;1.095,24
2020;12. Usera;121. Orcasitas;1.080,43
2020;12. Usera;122. Orcasur;986,08
2020;12. Usera;123. San Fermín;1.071,91
2020;12. Usera;124. Almendrales;1.093,80
2020;12. Usera;125. Moscardó;1.195,98
2020;12. Usera;126. Zofío;1.119,11
2020;12. Usera;127. Pradolongo;1.045,23
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;1.075,67
2020;13. Puente de Vallecas;131. Entrevías;1.005,99
2020;13. Puente de Vallecas;132. San Diego;1.042,92
2020;13. Puente de Vallecas;133. Palomeras Bajas;1.174,67
2020;13. Puente de Vallecas;134. Palomeras Sureste;1.067,62
2020;13. Puente de Vallecas;135. Portazgo;1.052,96
2020;13. Puente de Vallecas;136. Numancia;1.100,78
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;1.310,89
2020;14. Moratalaz;141. Pavones;1.262,47
2020;14. Moratalaz;142. Horcajo;1.305,17
2020;14. Moratalaz;143. Marroquina;1.404,29
2020;14. Moratalaz;144. Media Legua;1.381,44
2020;14. Moratalaz;145. Fontarrón;1.200,66
2020;14. Moratalaz;146. Vinateros;1.221,20
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;1.314,08
2020;15. Ciudad Lineal;151. Ventas;1.216,31
2020;15. Ciudad Lineal;152. Pueblo Nuevo;1.234,78
2020;15. Ciudad Lineal;153. Quintana;1.242,26
2020;15. Ciudad Lineal;154. Concepción;1.316,82
2020;15. Ciudad Lineal;155. San Pascual;1.397,03
2020;15. Ciudad Lineal;156. San Juan Bautista;1.514,73
2020;15. Ciudad Lineal;157. Colina;1.538,79
2020;15. Ciudad Lineal;158. Atalaya;1.448,42
2020;15. Ciudad Lineal;159. Costillares;1.626,11
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;1.335,66
2020;16. Hortaleza;161. Palomas;1.686,61
2020;16. Hortaleza;162. Piovera;1.568,35
2020;16. Hortaleza;163. Canillas;1.327,99
2020;16. Hortaleza;164. Pinar del Rey;1.266,93
2020;16. Hortaleza;165. Apóstol Santiago;1.306,26
2020;16. Hortaleza;166. Valdefuentes;1.422,85
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;1.147,24
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1.086,39
2020;17. Villaverde;172. San Cristóbal;1.009,61
2020;17. Villaverde;173. Butarque;1.129,63
2020;17. Villaverde;174. Los Rosales;1.171,51
2020;17. Villaverde;175. Ángeles;1.229,27
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;1.210,93
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.104,13
2020;18. Villa de Vallecas;182. Santa Eugenia;1.379,76
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;1.133,19
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;1.165,15
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.090,21
2020;19. Vicálvaro;192. Valdebernardo;1.343,97
2020;19. Vicálvaro;193. Valderribas;1.286,76
2020;19. Vicálvaro;194. El Cañaveral;1.234,88
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;1.204,79
2020;20. San Blas-Canillejas;201. Simancas;1.118,44
2020;20. San Blas-Canillejas;202. Hellín;1.052,11
2020;20. San Blas-Canillejas;203. Amposta;1.049
2020;20. San Blas-Canillejas;204. Arcos;1.054,02
2020;20. San Blas-Canillejas;205. Rosas;1.366,89
2020;20. San Blas-Canillejas;206. Rejas;1.309,15
2020;20. San Blas-Canillejas;207. Canillejas;1.224,51
2020;20. San Blas-Canillejas;208. El Salvador;1.501,32
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;1.495,89
2020;21. Barajas;211. Alameda de Osuna;1.654,92
2020;21. Barajas;212. Aeropuerto;1.085,75
2020;21. Barajas;213. Casco Histórico de Barajas;1.286,61
2020;21. Barajas;214. Timón;1.318,99
2020;21. Barajas;215. Corralejos;1.437,74
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;7.620,05
2018;01. Centro;011. Palacio;1.315,79
2018;01. Centro;012. Embajadores;1.174,66
2018;01. Centro;013. Cortes;1.298,31
2018;01. Centro;014. Justicia;1.321,98
2018;01. Centro;015. Universidad;1.277,56
2018;01. Centro;016. Sol;1.231,75
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;9.986,78
2018;02. Arganzuela;021. Imperial;1.435,57
2018;02. Arganzuela;022. Acacias;1.537,51
2018;02. Arganzuela;023. Chopera;1.335,67
2018;02. Arganzuela;024. Legazpi;1.513,05
2018;02. Arganzuela;025. Delicias;1.431,16
2018;02. Arganzuela;026. Palos de Moguer;1.365,05
2018;02. Arganzuela;027. Atocha;1.368,76
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;9.574,93
2018;03. Retiro;031. Pacífico;1.541,99
2018;03. Retiro;032. Adelfas;1.552,92
2018;03. Retiro;033. Estrella;1.746,91
2018;03. Retiro;034. Ibiza;1.521,70
2018;03. Retiro;035. Los Jerónimos;1.511,63
2018;03. Retiro;036. Niño Jesús;1.699,79
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;9.169,62
2018;04. Salamanca;041. Recoletos;1.534,40
2018;04. Salamanca;042. Goya;1.483,11
2018;04. Salamanca;043. Fuente del Berro;1.490,33
2018;04. Salamanca;044. Guindalera;1.583,93
2018;04. Salamanca;045. Lista;1.550,44
2018;04. Salamanca;046. Castellana;1.527,41
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;9.519,08
2018;05. Chamartín;051. El Viso;1.564,05
2018;05. Chamartín;052. Prosperidad;1.580,61
2018;05. Chamartín;053. Ciudad Jardín;1.523,82
2018;05. Chamartín;054. Hispanoamérica;1.616,32
2018;05. Chamartín;055. Nueva España;1.634,98
2018;05. Chamartín;056. Castilla;1.599,31
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;7.784,87
2018;06. Tetuán;061. Bellas Vistas;1.318,06
2018;06. Tetuán;062. Cuatro Caminos;1.505,02
2018;06. Tetuán;063. Castillejos;1.500,34
2018;06. Tetuán;064. Almenara;1.127,70
2018;06. Tetuán;065. Valdeacederas;1.120,25
2018;06. Tetuán;066. Berruguete;1.213,51
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;9.097,49
2018;07. Chamberí;071. Gaztambide;1.516,69
2018;07. Chamberí;072. Arapiles;1.488,87
2018;07. Chamberí;073. Trafalgar;1.476,10
2018;07. Chamberí;074. Almagro;1.483,02
2018;07. Chamberí;075. Ríos Rosas;1.511,36
2018;07. Chamberí;076. Vallehermoso;1.621,45
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;11.764,44
2018;08. Fuencarral-El Pardo;081. El Pardo;1.305,99
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;1.696,28
2018;08. Fuencarral-El Pardo;083. Peñagrande;1.464,72
2018;08. Fuencarral-El Pardo;084. Pilar;1.355,14
2018;08. Fuencarral-El Pardo;085. La Paz;1.742,57
2018;08. Fuencarral-El Pardo;086. Valverde;1.276,22
2018;08. Fuencarral-El Pardo;087. Mirasierra;1.694,48
2018;08. Fuencarral-El Pardo;088. El Goloso;1.229,05
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;10.566,48
2018;09. Moncloa-Aravaca;091. Casa de Campo;1.477,14
2018;09. Moncloa-Aravaca;092. Argüelles;1.462,26
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.619,26
2018;09. Moncloa-Aravaca;094. Valdezarza;1.358,70
2018;09. Moncloa-Aravaca;095. Valdemarín;1.539,06
2018;09. Moncloa-Aravaca;096. El Plantío;1.530,94
2018;09. Moncloa-Aravaca;097. Aravaca;1.579,12
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;8.608,84
2018;10. Latina;101. Los Cármenes;1.163,42
2018;10. Latina;102. Puerta del Ángel;1.202,49
2018;10. Latina;103. Lucero;1.258,94
2018;10. Latina;104. Aluche;1.318,39
2018;10. Latina;105. Campamento;1.194,72
2018;10. Latina;106. Cuatro Vientos;1.222,81
2018;10. Latina;107. Águilas;1.248,06
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;8.263,75
2018;11. Carabanchel;111. Comillas;1.258,60
2018;11. Carabanchel;112. Opañel;1.254,78
2018;11. Carabanchel;113. San Isidro;1.159,59
2018;11. Carabanchel;114. Vista Alegre;1.198,82
2018;11. Carabanchel;115. Puerta Bonita;1.077,97
2018;11. Carabanchel;116. Buenavista;1.165,46
2018;11. Carabanchel;117. Abrantes;1.148,54
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;7.643,04
2018;12. Usera;121. Orcasitas;1.076,72
2018;12. Usera;122. Orcasur;985,99
2018;12. Usera;123. San Fermín;1.074,13
2018;12. Usera;124. Almendrales;1.106,45
2018;12. Usera;125. Moscardó;1.213,25
2018;12. Usera;126. Zofío;1.127,71
2018;12. Usera;127. Pradolongo;1.058,79
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;6.474,24
2018;13. Puente de Vallecas;131. Entrevías;1.001,77
2018;13. Puente de Vallecas;132. San Diego;1.045,09
2018;13. Puente de Vallecas;133. Palomeras Bajas;1.198,46
2018;13. Puente de Vallecas;134. Palomeras Sureste;1.069,37
2018;13. Puente de Vallecas;135. Portazgo;1.049,30
2018;13. Puente de Vallecas;136. Numancia;1.110,25
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;7.942
2018;14. Moratalaz;141. Pavones;1.287,71
2018;14. Moratalaz;142. Horcajo;1.302,88
2018;14. Moratalaz;143. Marroquina;1.452,38
2018;14. Moratalaz;144. Media Legua;1.428,70
2018;14. Moratalaz;145. Fontarrón;1.218,55
2018;14. Moratalaz;146. Vinateros;1.251,79
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;12.921,36
2018;15. Ciudad Lineal;151. Ventas;1.239,77
2018;15. Ciudad Lineal;152. Pueblo Nuevo;1.251,97
2018;15. Ciudad Lineal;153. Quintana;1.275,44
2018;15. Ciudad Lineal;154. Concepción;1.362,94
2018;15. Ciudad Lineal;155. San Pascual;1.446,11
2018;15. Ciudad Lineal;156. San Juan Bautista;1.561,15
2018;15. Ciudad Lineal;157. Colina;1.578,38
2018;15. Ciudad Lineal;158. Atalaya;1.516,82
2018;15. Ciudad Lineal;159. Costillares;1.688,78
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;8.851,53
2018;16. Hortaleza;161. Palomas;1.740,17
2018;16. Hortaleza;162. Piovera;1.636,17
2018;16. Hortaleza;163. Canillas;1.366,22
2018;16. Hortaleza;164. Pinar del Rey;1.296,12
2018;16. Hortaleza;165. Apóstol Santiago;1.347,55
2018;16. Hortaleza;166. Valdefuentes;1.465,30
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;5.666,52
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1.092,47
2018;17. Villaverde;172. San Cristóbal;1.004,89
2018;17. Villaverde;173. Butarque;1.126,44
2018;17. Villaverde;174. Los Rosales;1.191,70
2018;17. Villaverde;175. Ángeles;1.251,02
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;3.649,77
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.103,78
2018;18. Villa de Vallecas;182. Santa Eugenia;1.414,16
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;1.131,83
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;4.984,86
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.089,36
2018;19. Vicálvaro;192. Valdebernardo;1.384,77
2018;19. Vicálvaro;193. Valderribas;1.300,80
2018;19. Vicálvaro;194. El Cañaveral;1.209,93
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;9.784,95
2018;20. San Blas-Canillejas;201. Simancas;1.123,85
2018;20. San Blas-Canillejas;202. Hellín;1.057,88
2018;20. San Blas-Canillejas;203. Amposta;1.025,97
2018;20. San Blas-Canillejas;204. Arcos;1.049,82
2018;20. San Blas-Canillejas;205. Rosas;1.394,80
2018;20. San Blas-Canillejas;206. Rejas;1.340,46
2018;20. San Blas-Canillejas;207. Canillejas;1.241,88
2018;20. San Blas-Canillejas;208. El Salvador;1.550,31
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;6.927,33
2018;21. Barajas;211. Alameda de Osuna;1.725,60
2018;21. Barajas;212. Aeropuerto;1.050,66
2018;21. Barajas;213. Casco Histórico de Barajas;1.316,76
2018;21. Barajas;214. Timón;1.357,78
2018;21. Barajas;215. Corralejos;1.476,53
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;7.620,05
2019;01. Centro;011. Palacio;1.315,79
2019;01. Centro;012. Embajadores;1.174,66
2019;01. Centro;013. Cortes;1.298,31
