AÑO;DISTRITO;BARRIO;Temporal;Indefinido
2017;14. Moratalaz;143. Marroquina;2.004;6.328
2017;14. Moratalaz;144. Media Legua;1.283;3.816
2017;14. Moratalaz;145. Fontarrón;1.366;3.834
2017;14. Moratalaz;146. Vinateros;1.247;3.916
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;15.838;52.028
2017;15. Ciudad Lineal;151. Ventas;4.014;11.612
2017;15. Ciudad Lineal;152. Pueblo Nuevo;5.270;15.309
2017;15. Ciudad Lineal;153. Quintana;1.998;6.039
2017;15. Ciudad Lineal;154. Concepción;1.404;4.977
2017;15. Ciudad Lineal;155. San Pascual;1.165;4.372
2017;15. Ciudad Lineal;156. San Juan Bautista;650;2.941
2017;15. Ciudad Lineal;157. Colina;298;1.415
2017;15. Ciudad Lineal;158. Atalaya;54;327
2017;15. Ciudad Lineal;159. Costillares;985;5.036
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;16. Hortaleza;11.385;46.997
2017;16. Hortaleza;161. Palomas;223;1.549
2017;16. Hortaleza;162. Piovera;589;3.372
2017;16. Hortaleza;163. Canillas;2.752;9.716
2017;16. Hortaleza;164. Pinar del Rey;3.996;12.700
2017;16. Hortaleza;165. Apóstol Santiago;1.077;3.580
2017;16. Hortaleza;166. Valdefuentes;2.748;16.080
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;17. Villaverde;13.014;33.963
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.023;10.073
2017;17. Villaverde;172. San Cristóbal;1.478;2.978
2017;17. Villaverde;173. Butarque;1.616;5.154
2017;17. Villaverde;174. Los Rosales;3.275;9.210
2017;17. Villaverde;175. Ángeles;2.622;6.548
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;9.282;29.695
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.637;9.307
2017;18. Villa de Vallecas;182. Santa Eugenia;2.085;6.153
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;3.560;14.235
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;19. Vicálvaro;5.673;18.395
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.987;7.541
2017;19. Vicálvaro;192. Valdebernardo;1.455;4.623
2017;19. Vicálvaro;193. Valderribas;1.216;6.134
2017;19. Vicálvaro;194. El Cañaveral;15;97
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;11.943;40.486
2017;20. San Blas-Canillejas;201. Simancas;2.165;7.175
2017;20. San Blas-Canillejas;202. Hellín;815;2.087
2017;20. San Blas-Canillejas;203. Amposta;777;1.862
2017;20. San Blas-Canillejas;204. Arcos;2.010;6.135
2017;20. San Blas-Canillejas;205. Rosas;2.037;8.963
2017;20. San Blas-Canillejas;206. Rejas;1.067;4.739
2017;20. San Blas-Canillejas;207. Canillejas;2.397;6.878
2017;20. San Blas-Canillejas;208. El Salvador;675;2.647
2017;21. Barajas;21. Barajas;;
2017;21. Barajas;21. Barajas;2.983;12.889
2017;21. Barajas;211. Alameda de Osuna;1.009;4.662
2017;21. Barajas;212. Aeropuerto;169;437
2017;21. Barajas;213. Casco Histórico de Barajas;677;2.029
2017;21. Barajas;214. Timón;846;3.613
2017;21. Barajas;215. Corralejos;282;2.148
2018;01. Centro;01. Centro;;
2018;01. Centro;01. Centro;10.626;33.064
2018;01. Centro;011. Palacio;1.688;5.339
2018;01. Centro;012. Embajadores;4.231;11.135
2018;01. Centro;013. Cortes;720;2.501
2018;01. Centro;014. Justicia;1.006;4.206
2018;01. Centro;015. Universidad;2.433;8.265
2018;01. Centro;016. Sol;548;1.618
2018;02. Arganzuela;02. Arganzuela;;
2018;02. Arganzuela;02. Arganzuela;11.788;39.925
2018;02. Arganzuela;021. Imperial;1.590;5.690
2018;02. Arganzuela;022. Acacias;2.739;8.816
2018;02. Arganzuela;023. Chopera;1.751;5.066
2018;02. Arganzuela;024. Legazpi;1.343;5.980
2018;02. Arganzuela;025. Delicias;2.098;7.459
2018;02. Arganzuela;026. Palos de Moguer;2.194;6.628
2018;02. Arganzuela;027. Atocha;73;285
2018;03. Retiro;03. Retiro;;
2018;03. Retiro;03. Retiro;7.060;27.797
2018;03. Retiro;031. Pacífico;2.336;7.984
2018;03. Retiro;032. Adelfas;1.216;4.919
2018;03. Retiro;033. Estrella;1.218;5.136
2018;03. Retiro;034. Ibiza;1.244;5.042
2018;03. Retiro;035. Los Jerónimos;309;1.391
2018;03. Retiro;036. Niño Jesús;737;3.325
2018;04. Salamanca;04. Salamanca;;
2018;04. Salamanca;04. Salamanca;7.770;35.163
2018;04. Salamanca;041. Recoletos;520;3.310
2018;04. Salamanca;042. Goya;1.639;7.138
2018;04. Salamanca;043. Fuente del Berro;1.397;5.315
2018;04. Salamanca;044. Guindalera;2.509;10.581
2018;04. Salamanca;045. Lista;1.130;4.977
2018;04. Salamanca;046. Castellana;575;3.842
2018;05. Chamartín;05. Chamartín;;
2018;05. Chamartín;05. Chamartín;7.314;36.192
2018;05. Chamartín;051. El Viso;610;4.049
2018;05. Chamartín;052. Prosperidad;2.330;9.507
2018;05. Chamartín;053. Ciudad Jardín;1.185;4.787
2018;05. Chamartín;054. Hispanoamérica;1.279;7.533
2018;05. Chamartín;055. Nueva España;932;6.073
2018;05. Chamartín;056. Castilla;978;4.243
2018;06. Tetuán;06. Tetuán;;
2018;06. Tetuán;06. Tetuán;12.288;42.488
2018;06. Tetuán;061. Bellas Vistas;2.436;7.699
2018;06. Tetuán;062. Cuatro Caminos;2.149;8.991
2018;06. Tetuán;063. Castillejos;1.225;5.350
2018;06. Tetuán;064. Almenara;1.883;5.904
2018;06. Tetuán;065. Valdeacederas;2.358;7.533
2018;06. Tetuán;066. Berruguete;2.237;7.011
2018;07. Chamberí;07. Chamberí;;
2018;07. Chamberí;07. Chamberí;8.332;33.565
2018;07. Chamberí;071. Gaztambide;1.563;4.995
2018;07. Chamberí;072. Arapiles;1.631;6.011
2018;07. Chamberí;073. Trafalgar;1.613;6.423
2018;07. Chamberí;074. Almagro;845;4.735
2018;07. Chamberí;075. Ríos Rosas;1.620;6.984
2018;07. Chamberí;076. Vallehermoso;1.060;4.416
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;15.249;62.674
2018;08. Fuencarral-El Pardo;081. El Pardo;212;739
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;109;612
2018;08. Fuencarral-El Pardo;083. Peñagrande;2.938;10.543
2018;08. Fuencarral-El Pardo;084. Pilar;3.554;11.618
2018;08. Fuencarral-El Pardo;085. La Paz;2.055;7.305
2018;08. Fuencarral-El Pardo;086. Valverde;4.069;18.511
2018;08. Fuencarral-El Pardo;087. Mirasierra;1.550;8.001
2018;08. Fuencarral-El Pardo;088. El Goloso;762;5.345
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.551;26.763
2018;09. Moncloa-Aravaca;091. Casa de Campo;835;2.910
2018;09. Moncloa-Aravaca;092. Argüelles;1.342;5.333
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;812;3.304
2018;09. Moncloa-Aravaca;094. Valdezarza;2.146;6.993
2018;09. Moncloa-Aravaca;095. Valdemarín;173;1.463
2018;09. Moncloa-Aravaca;096. El Plantío;102;594
2018;09. Moncloa-Aravaca;097. Aravaca;1.141;6.166
2018;10. Latina;10. Latina;;
2018;10. Latina;10. Latina;19.654;56.172
2018;10. Latina;101. Los Cármenes;1.479;4.056
2018;10. Latina;102. Puerta del Ángel;3.753;10.091
2018;10. Latina;103. Lucero;3.109;8.489
2018;10. Latina;104. Aluche;5.361;14.963
2018;10. Latina;105. Campamento;1.507;4.499
2018;10. Latina;106. Cuatro Vientos;403;1.784
2018;10. Latina;107. Águilas;4.042;12.287
2018;11. Carabanchel;11. Carabanchel;;
2018;11. Carabanchel;11. Carabanchel;21.727;61.765
2018;11. Carabanchel;111. Comillas;1.774;5.208
2018;11. Carabanchel;112. Opañel;2.903;8.022
2018;11. Carabanchel;113. San Isidro;3.456;9.366
2018;11. Carabanchel;114. Vista Alegre;4.236;10.626
2018;11. Carabanchel;115. Puerta Bonita;3.082;8.147
2018;11. Carabanchel;116. Buenavista;3.794;12.976
2018;11. Carabanchel;117. Abrantes;2.482;7.419
2018;12. Usera;12. Usera;;
2018;12. Usera;12. Usera;12.237;32.562
2018;12. Usera;121. Orcasitas;1.817;5.438
2018;12. Usera;122. Orcasur;1.238;3.124
2018;12. Usera;123. San Fermín;1.997;5.656
2018;12. Usera;124. Almendrales;1.888;5.029
2018;12. Usera;125. Moscardó;2.420;6.113
2018;12. Usera;126. Zofío;1.336;3.272
2018;12. Usera;127. Pradolongo;1.541;3.928
2018;13. Puente de Vallecas;13. Puente de Vallecas;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;22.378;56.961
2018;13. Puente de Vallecas;131. Entrevías;3.277;7.759
2018;13. Puente de Vallecas;132. San Diego;4.240;9.925
2018;13. Puente de Vallecas;133. Palomeras Bajas;3.999;10.104
2018;13. Puente de Vallecas;134. Palomeras Sureste;3.894;11.166
2018;13. Puente de Vallecas;135. Portazgo;2.583;6.561
2018;13. Puente de Vallecas;136. Numancia;4.385;11.444
2018;14. Moratalaz;14. Moratalaz;;
2018;14. Moratalaz;14. Moratalaz;7.051;22.378
2018;14. Moratalaz;141. Pavones;662;2.093
2018;14. Moratalaz;142. Horcajo;470;1.737
2018;14. Moratalaz;143. Marroquina;1.957;6.535
2018;14. Moratalaz;144. Media Legua;1.313;3.897
2018;14. Moratalaz;145. Fontarrón;1.424;4.040
2018;14. Moratalaz;146. Vinateros;1.225;4.076
2018;15. Ciudad Lineal;15. Ciudad Lineal;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;16.237;54.675
2018;15. Ciudad Lineal;151. Ventas;4.006;12.404
2018;15. Ciudad Lineal;152. Pueblo Nuevo;5.465;16.151
2018;15. Ciudad Lineal;153. Quintana;2.119;6.345
2018;15. Ciudad Lineal;154. Concepción;1.458;5.228
2018;15. Ciudad Lineal;155. San Pascual;1.143;4.504
2018;15. Ciudad Lineal;156. San Juan Bautista;660;3.064
2018;15. Ciudad Lineal;157. Colina;335;1.483
2018;15. Ciudad Lineal;158. Atalaya;54;329
2018;15. Ciudad Lineal;159. Costillares;997;5.167
2018;16. Hortaleza;16. Hortaleza;;
2018;16. Hortaleza;16. Hortaleza;11.576;49.163
2018;16. Hortaleza;161. Palomas;235;1.607
2018;16. Hortaleza;162. Piovera;615;3.499
2018;16. Hortaleza;163. Canillas;2.734;9.967
2018;16. Hortaleza;164. Pinar del Rey;4.024;13.198
2018;16. Hortaleza;165. Apóstol Santiago;1.142;3.731
2018;16. Hortaleza;166. Valdefuentes;2.826;17.161
2018;17. Villaverde;17. Villaverde;;
2018;17. Villaverde;17. Villaverde;13.434;35.860
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.170;10.637
2018;17. Villaverde;172. San Cristóbal;1.518;3.197
2018;17. Villaverde;173. Butarque;1.664;5.536
2018;17. Villaverde;174. Los Rosales;3.426;9.699
2018;17. Villaverde;175. Ángeles;2.656;6.791
2018;18. Villa de Vallecas;18. Villa de Vallecas;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;9.615;31.428
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.744;9.598
2018;18. Villa de Vallecas;182. Santa Eugenia;2.160;6.283
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;3.711;15.547
2018;19. Vicálvaro;19. Vicálvaro;;
2018;19. Vicálvaro;19. Vicálvaro;5.731;19.345
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.026;8.338
2018;19. Vicálvaro;192. Valdebernardo;1.491;4.702
2018;19. Vicálvaro;193. Valderribas;1.169;6.017
2018;19. Vicálvaro;194. El Cañaveral;45;288
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;12.230;42.060
2018;20. San Blas-Canillejas;201. Simancas;2.309;7.592
2018;20. San Blas-Canillejas;202. Hellín;795;2.218
2018;20. San Blas-Canillejas;203. Amposta;771;2.011
2018;20. San Blas-Canillejas;204. Arcos;2.072;6.389
2018;20. San Blas-Canillejas;205. Rosas;2.115;9.122
2018;20. San Blas-Canillejas;206. Rejas;1.106;4.925
2018;20. San Blas-Canillejas;207. Canillejas;2.374;7.137
2018;20. San Blas-Canillejas;208. El Salvador;688;2.666
2018;21. Barajas;21. Barajas;;
2018;21. Barajas;21. Barajas;3.006;13.426
2018;21. Barajas;211. Alameda de Osuna;988;4.747
2018;21. Barajas;212. Aeropuerto;176;446
2018;21. Barajas;213. Casco Histórico de Barajas;663;2.132
2018;21. Barajas;214. Timón;879;3.862
2018;21. Barajas;215. Corralejos;300;2.239
2019;01. Centro;01. Centro;;
2019;01. Centro;01. Centro;10.671;34.119
2019;01. Centro;011. Palacio;1.616;5.571
2019;01. Centro;012. Embajadores;4.306;11.390
2019;01. Centro;013. Cortes;739;2.489
2019;01. Centro;014. Justicia;1.041;4.386
2019;01. Centro;015. Universidad;2.431;8.635
2019;01. Centro;016. Sol;538;1.648
2019;02. Arganzuela;02. Arganzuela;;
2019;02. Arganzuela;02. Arganzuela;11.722;40.345
2019;02. Arganzuela;021. Imperial;1.594;5.737
2019;02. Arganzuela;022. Acacias;2.697;8.904
2019;02. Arganzuela;023. Chopera;1.704;5.164
2019;02. Arganzuela;024. Legazpi;1.339;6.123
2019;02. Arganzuela;025. Delicias;2.157;7.519
2019;02. Arganzuela;026. Palos de Moguer;2.147;6.612
2019;02. Arganzuela;027. Atocha;84;285
2019;03. Retiro;03. Retiro;;
2019;03. Retiro;03. Retiro;6.958;28.209
2019;03. Retiro;031. Pacífico;2.300;8.131
2019;03. Retiro;032. Adelfas;1.231;4.916
2019;03. Retiro;033. Estrella;1.168;5.181
2019;03. Retiro;034. Ibiza;1.217;5.180
2019;03. Retiro;035. Los Jerónimos;293;1.401
2019;03. Retiro;036. Niño Jesús;749;3.400
2019;04. Salamanca;04. Salamanca;;
2019;04. Salamanca;04. Salamanca;7.557;35.736
2019;04. Salamanca;041. Recoletos;465;3.291
2019;04. Salamanca;042. Goya;1.611;7.109
2019;04. Salamanca;043. Fuente del Berro;1.361;5.516
2019;04. Salamanca;044. Guindalera;2.475;10.839
2019;04. Salamanca;045. Lista;1.084;5.096
2019;04. Salamanca;046. Castellana;561;3.885
2019;05. Chamartín;05. Chamartín;;
2019;05. Chamartín;05. Chamartín;7.199;37.123
2019;05. Chamartín;051. El Viso;559;4.130
2019;05. Chamartín;052. Prosperidad;2.286;9.759
2019;05. Chamartín;053. Ciudad Jardín;1.149;4.895
2019;05. Chamartín;054. Hispanoamérica;1.329;7.743
2019;05. Chamartín;055. Nueva España;920;6.247
2019;05. Chamartín;056. Castilla;956;4.349
2019;06. Tetuán;06. Tetuán;;
2019;06. Tetuán;06. Tetuán;12.029;43.677
2019;06. Tetuán;061. Bellas Vistas;2.383;7.952
2019;06. Tetuán;062. Cuatro Caminos;2.220;9.351
2019;06. Tetuán;063. Castillejos;1.171;5.491
2019;06. Tetuán;064. Almenara;1.843;6.035
2019;06. Tetuán;065. Valdeacederas;2.248;7.685
2019;06. Tetuán;066. Berruguete;2.164;7.163
2019;07. Chamberí;07. Chamberí;;
2019;07. Chamberí;07. Chamberí;8.300;34.721
2019;07. Chamberí;071. Gaztambide;1.575;5.211
2019;07. Chamberí;072. Arapiles;1.584;6.201
2019;07. Chamberí;073. Trafalgar;1.591;6.669
2019;07. Chamberí;074. Almagro;849;4.833
2019;07. Chamberí;075. Ríos Rosas;1.613;7.224
2019;07. Chamberí;076. Vallehermoso;1.088;4.580
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;14.925;64.195
2019;08. Fuencarral-El Pardo;081. El Pardo;196;781
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;104;628
2019;08. Fuencarral-El Pardo;083. Peñagrande;2.850;10.704
2019;08. Fuencarral-El Pardo;084. Pilar;3.474;11.915
2019;08. Fuencarral-El Pardo;085. La Paz;1.900;7.394
2019;08. Fuencarral-El Pardo;086. Valverde;4.092;18.834
2019;08. Fuencarral-El Pardo;087. Mirasierra;1.547;8.407
2019;08. Fuencarral-El Pardo;088. El Goloso;762;5.532
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.562;27.480
2019;09. Moncloa-Aravaca;091. Casa de Campo;832;2.980
2019;09. Moncloa-Aravaca;092. Argüelles;1.407;5.409
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;814;3.427
2019;09. Moncloa-Aravaca;094. Valdezarza;2.095;7.276
2019;09. Moncloa-Aravaca;095. Valdemarín;170;1.498
2019;09. Moncloa-Aravaca;096. El Plantío;108;620
2019;09. Moncloa-Aravaca;097. Aravaca;1.136;6.270
2019;10. Latina;10. Latina;;
2019;10. Latina;10. Latina;19.359;57.549
2019;10. Latina;101. Los Cármenes;1.483;4.209
2019;10. Latina;102. Puerta del Ángel;3.669;10.303
2019;10. Latina;103. Lucero;3.097;8.763
2019;10. Latina;104. Aluche;5.254;15.280
2019;10. Latina;105. Campamento;1.497;4.578
2019;10. Latina;106. Cuatro Vientos;383;1.850
2019;10. Latina;107. Águilas;3.976;12.563
2019;11. Carabanchel;11. Carabanchel;;
2019;11. Carabanchel;11. Carabanchel;21.971;63.397
2019;11. Carabanchel;111. Comillas;1.839;5.271
2019;11. Carabanchel;112. Opañel;2.882;8.203
2019;11. Carabanchel;113. San Isidro;3.522;9.478
2019;11. Carabanchel;114. Vista Alegre;4.163;10.971
2019;11. Carabanchel;115. Puerta Bonita;3.151;8.382
2019;11. Carabanchel;116. Buenavista;3.862;13.363
2019;11. Carabanchel;117. Abrantes;2.551;7.728
2019;12. Usera;12. Usera;;
2019;12. Usera;12. Usera;12.476;33.281
2019;12. Usera;121. Orcasitas;1.925;5.636
2019;12. Usera;122. Orcasur;1.233;3.191
2019;12. Usera;123. San Fermín;2.008;5.828
2019;12. Usera;124. Almendrales;1.976;5.106
2019;12. Usera;125. Moscardó;2.437;6.214
2019;12. Usera;126. Zofío;1.365;3.354
2019;12. Usera;127. Pradolongo;1.531;3.948
2019;13. Puente de Vallecas;13. Puente de Vallecas;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;22.802;58.812
2019;13. Puente de Vallecas;131. Entrevías;3.270;8.031
2019;13. Puente de Vallecas;132. San Diego;4.437;10.345
2019;13. Puente de Vallecas;133. Palomeras Bajas;4.020;10.400
2019;13. Puente de Vallecas;134. Palomeras Sureste;3.919;11.518
2019;13. Puente de Vallecas;135. Portazgo;2.649;6.750
2019;13. Puente de Vallecas;136. Numancia;4.507;11.766
2019;14. Moratalaz;14. Moratalaz;;
2019;14. Moratalaz;14. Moratalaz;7.000;22.732
2019;14. Moratalaz;141. Pavones;692;2.041
2019;14. Moratalaz;142. Horcajo;467;1.754
2019;14. Moratalaz;143. Marroquina;1.894;6.609
2019;14. Moratalaz;144. Media Legua;1.255;4.017
2019;14. Moratalaz;145. Fontarrón;1.435;4.205
2019;14. Moratalaz;146. Vinateros;1.256;4.106
2019;15. Ciudad Lineal;15. Ciudad Lineal;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;15.970;56.051
2019;15. Ciudad Lineal;151. Ventas;4.085;12.677
2019;15. Ciudad Lineal;152. Pueblo Nuevo;5.323;16.561
2019;15. Ciudad Lineal;153. Quintana;2.079;6.563
2019;15. Ciudad Lineal;154. Concepción;1.458;5.326
2019;15. Ciudad Lineal;155. San Pascual;1.102;4.569
2019;15. Ciudad Lineal;156. San Juan Bautista;592;3.106
2019;15. Ciudad Lineal;157. Colina;304;1.615
2019;15. Ciudad Lineal;158. Atalaya;54;332
2019;15. Ciudad Lineal;159. Costillares;973;5.302
2019;16. Hortaleza;16. Hortaleza;;
2019;16. Hortaleza;16. Hortaleza;11.396;50.968
2019;16. Hortaleza;161. Palomas;225;1.620
2019;16. Hortaleza;162. Piovera;588;3.565
2019;16. Hortaleza;163. Canillas;2.631;10.093
2019;16. Hortaleza;164. Pinar del Rey;3.938;13.516
2019;16. Hortaleza;165. Apóstol Santiago;1.091;3.828
2019;16. Hortaleza;166. Valdefuentes;2.923;18.346
2019;17. Villaverde;17. Villaverde;;
2019;17. Villaverde;17. Villaverde;13.750;37.067
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.316;11.053
2019;17. Villaverde;172. San Cristóbal;1.599;3.290
2019;17. Villaverde;173. Butarque;1.654;5.752
2019;17. Villaverde;174. Los Rosales;3.457;9.838
2019;17. Villaverde;175. Ángeles;2.724;7.134
2019;18. Villa de Vallecas;18. Villa de Vallecas;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;9.619;32.689
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.737;9.905
2019;18. Villa de Vallecas;182. Santa Eugenia;2.052;6.414
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;3.830;16.370
