AÑO;DISTRITO;BARRIO;Andalucía Hombre;Andalucía Mujer;Aragón Hombre;Aragón Mujer;Principado de Asturias Hombre;Principado de Asturias Mujer;Islas Baleares Hombre;Islas Baleares Mujer;Canarias Hombre;Canarias Mujer;Cantabria Hombre;Cantabria Mujer;Castilla y León Hombre;Castilla y León Mujer;Castilla-La Mancha Hombre;Castilla-La Mancha Mujer;Cataluña Hombre;Cataluña Mujer;Extremadura Hombre;Extremadura Mujer;Galicia Hombre;Galicia Mujer;Comunidad de Madrid Hombre;Comunidad de Madrid Mujer;Región de Murcia Hombre;Región de Murcia Mujer;Comunidad Foral de Navarra Hombre;Comunidad Foral de Navarra Mujer;Comunitat Valenciana Hombre;Comunitat Valenciana Mujer;País Vasco Hombre;País Vasco Mujer;La Rioja Hombre;La Rioja Mujer;Ciudad Autónoma de Ceuta Hombre;Ciudad Autónoma de Ceuta Mujer;Ciudad Autónoma de Melilla Hombre;Ciudad Autónoma de Melilla Mujer;Otro país Hombre;Otro país Mujer;No consta Hombre;No consta Mujer
2017;04. Salamanca;04. Salamanca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;04. Salamanca;04. Salamanca;3.254;4.224;622;946;863;1.266;120;131;240;304;489;756;3.999;6.074;2.819;4.107;902;1.092;1.059;1.582;1.345;1.885;32.840;37.084;503;589;292;410;903;1.163;1.237;1.839;164;293;39;76;71;106;4.526;6.858;2;1
2017;04. Salamanca;041. Recoletos;380;462;56;95;140;160;19;25;35;52;82;107;348;476;217;288;143;155;94;126;184;207;3.347;3.614;53;58;49;69;129;135;222;319;22;28;2;4;5;6;532;820;0;0
2017;04. Salamanca;042. Goya;656;893;145;213;184;294;26;32;43;55;87;173;795;1.244;661;913;188;248;220;375;277;380;6.394;7.359;107;112;52;75;171;241;235;360;42;72;4;11;16;23;953;1.467;1;0
2017;04. Salamanca;043. Fuente del Berro;440;571;75;120;113;143;16;11;40;41;42;83;703;1.060;484;719;97;137;180;256;165;257;4.682;5.478;68;83;22;53;112;128;128;159;20;29;10;11;3;12;679;1.007;0;0
2017;04. Salamanca;044. Guindalera;926;1.138;173;274;191;287;27;29;65;72;134;193;1.228;1.904;854;1.265;218;248;292;418;360;499;10.271;11.307;152;167;72;74;253;313;236;364;52;88;12;24;29;33;1.173;1.696;1;1
2017;04. Salamanca;045. Lista;466;660;103;144;127;199;14;19;23;46;82;101;564;879;395;617;129;152;179;272;186;311;4.533;5.181;64;97;45;70;120;192;171;283;13;50;7;20;13;19;647;953;0;0
2017;04. Salamanca;046. Castellana;386;500;70;100;108;183;18;15;34;38;62;99;361;511;208;305;127;152;94;135;173;231;3.613;4.145;59;72;52;69;118;154;245;354;15;26;4;6;5;13;542;915;0;0
2017;05. Chamartín;05. Chamartín;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;05. Chamartín;05. Chamartín;2.947;3.738;709;974;853;1.119;124;127;281;335;503;757;4.114;6.045;2.250;3.195;983;1.148;836;1.245;1.273;1.715;37.718;40.708;430;520;317;387;890;1.128;1.298;1.859;235;324;58;69;87;106;3.995;6.324;2;3
2017;05. Chamartín;051. El Viso;379;476;78;106;92;138;24;12;30;45;58;82;333;496;203;269;133;131;80;110;152;177;4.597;4.834;44;43;57;54;102;138;205;298;18;28;6;6;11;13;483;790;0;0
2017;05. Chamartín;052. Prosperidad;712;908;163;247;180;253;23;26;67;75;99;180;1.251;1.894;683;1.029;203;212;244;400;311;396;9.047;9.966;110;128;47;83;217;304;240;352;49;80;24;19;26;28;1.104;1.605;1;2
2017;05. Chamartín;053. Ciudad Jardín;333;445;69;121;109;115;11;17;38;39;50;80;506;855;330;471;88;130;115;189;154;214;4.530;4.993;36;55;27;41;97;145;135;183;20;32;4;6;10;19;626;961;0;0
2017;05. Chamartín;054. Hispanoamérica;704;843;185;223;208;281;19;23;71;78;139;211;897;1.279;461;672;235;283;184;263;287;408;8.303;9.195;107;138;76;103;214;230;301;451;66;82;12;22;24;22;703;1.269;0;0
2017;05. Chamartín;055. Nueva España;425;588;131;172;167;228;24;30;49;52;101;129;615;805;283;377;213;257;98;148;217;313;6.715;6.967;71;77;78;66;157;214;281;376;51;56;7;12;5;10;649;1.071;0;1
2017;05. Chamartín;056. Castilla;394;478;83;105;97;104;23;19;26;46;56;75;512;716;290;377;111;135;115;135;152;207;4.526;4.753;62;79;32;40;103;97;136;199;31;46;5;4;11;14;430;628;1;0
2017;06. Tetuán;06. Tetuán;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;06. Tetuán;06. Tetuán;2.815;3.145;488;618;674;900;78;106;180;200;347;428;5.103;7.253;2.659;3.818;607;705;1.221;1.813;1.208;1.584;33.370;35.395;340;375;157;237;708;725;680;853;154;229;60;75;70;81;7.503;10.842;2;4
2017;06. Tetuán;061. Bellas Vistas;436;445;85;80;112;136;16;18;21;26;46;72;966;1.391;512;674;85;113;198;298;184;238;5.553;5.826;39;42;20;37;105;125;83;101;19;40;6;14;11;3;1.734;2.533;1;0
2017;06. Tetuán;062. Cuatro Caminos;790;929;152;212;202;289;28;36;51;64;113;139;1.231;1.707;629;911;177;219;284;433;387;545;7.238;7.761;110;123;65;81;216;219;217;303;44;76;21;20;25;27;1.348;1.993;0;1
2017;06. Tetuán;063. Castillejos;459;520;106;139;128;170;11;12;39;45;59;74;711;1.016;343;527;146;127;156;251;205;254;4.347;4.688;85;79;29;52;127;128;145;171;47;42;15;13;10;19;757;1.118;0;1
2017;06. Tetuán;064. Almenara;397;475;53;67;66;95;6;12;29;26;40;53;651;878;363;532;62;79;203;287;124;164;5.736;6.197;31;52;16;21;76;74;83;72;6;26;9;12;6;16;962;1.377;1;1
2017;06. Tetuán;065. Valdeacederas;400;411;48;62;93;91;9;13;20;18;47;41;784;1.079;397;555;76;76;201;280;168;194;5.702;5.750;29;37;16;19;99;97;76;114;21;27;5;11;6;8;1.273;1.792;0;0
2017;06. Tetuán;066. Berruguete;333;365;44;58;73;119;8;15;20;21;42;49;760;1.182;415;619;61;91;179;264;140;189;4.794;5.173;46;42;11;27;85;82;76;92;17;18;4;5;12;8;1.429;2.029;0;1
2017;07. Chamberí;07. Chamberí;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;07. Chamberí;07. Chamberí;3.170;3.886;688;958;951;1.276;125;119;256;342;468;718;4.538;7.318;2.935;4.267;823;940;1.180;1.761;1.409;2.026;30.694;35.042;489;558;270;435;869;1.173;1.055;1.615;225;340;73;88;78;98;4.158;6.183;3;5
2017;07. Chamberí;071. Gaztambide;505;613;115;151;167;219;15;14;33;43;88;117;804;1.306;590;875;101;133;232;325;256;345;4.913;5.577;86;90;44;52;129;181;140;212;48;53;7;16;15;16;634;1.018;0;0
2017;07. Chamberí;072. Arapiles;529;702;109;143;173;245;14;21;47;72;68;116;888;1.436;600;823;118;120;248;333;237;325;5.274;5.985;78;105;43;59;163;178;156;239;46;78;16;10;13;15;804;1.106;1;3
2017;07. Chamberí;073. Trafalgar;563;634;101;160;173;211;12;16;47;40;86;114;796;1.187;443;683;156;168;204;284;251;354;5.313;6.173;85;79;52;78;174;224;191;268;26;60;9;10;13;8;847;1.177;1;1
2017;07. Chamberí;074. Almagro;457;578;101;113;139;168;33;25;35;55;68;104;538;792;295;422;167;164;95;159;182;279;4.379;4.990;67;83;49;100;115;166;244;345;31;36;7;12;9;7;667;987;0;0
2017;07. Chamberí;075. Ríos Rosas;633;748;157;213;177;237;28;24;53;63;84;152;840;1.427;551;776;158;208;207;375;270;415;6.027;6.822;86;96;43;81;160;221;204;344;38;60;23;31;10;27;845;1.259;1;0
2017;07. Chamberí;076. Vallehermoso;483;611;105;178;122;196;23;19;41;69;74;115;672;1.170;456;688;123;147;194;285;213;308;4.788;5.495;87;105;39;65;128;203;120;207;36;53;11;9;18;25;361;636;0;1
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;4.950;5.754;838;1.001;1.035;1.204;155;156;320;329;560;654;8.627;11.521;4.886;6.501;1.239;1.331;2.563;3.548;1.849;2.293;68.966;70.269;598;617;310;413;1.125;1.123;1.306;1.508;216;301;75;80;108;122;6.370;8.855;1;3
2017;08. Fuencarral-El Pardo;081. El Pardo;153;118;8;12;17;15;1;0;6;2;4;4;110;161;98;109;14;15;49;76;35;37;1.014;1.041;13;4;3;4;44;16;10;7;2;4;1;0;5;2;49;74;0;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;65;78;20;14;21;25;4;5;7;11;13;16;76;102;34;41;28;26;11;21;35;44;889;985;12;16;5;6;17;15;48;51;2;5;1;1;1;1;83;151;0;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;853;1.070;139;152;151;193;21;31;56;38;61;104;1.897;2.594;1.105;1.382;159;199;518;684;296;417;12.418;12.809;95;105;40;63;189;166;175;196;34;49;14;18;14;24;1.089;1.525;0;1
2017;08. Fuencarral-El Pardo;084. Pilar;997;1.322;121;175;166;207;20;30;41;48;91;108;1.913;2.784;1.255;1.841;170;165;834;1.202;321;420;10.925;11.138;70;89;44;54;159;178;148;170;34;56;20;19;24;32;1.585;2.257;0;0
2017;08. Fuencarral-El Pardo;085. La Paz;742;853;187;200;171;224;21;18;43;61;118;148;1.684;2.180;836;1.045;164;172;362;466;364;458;9.090;9.580;150;118;45;62;172;183;196;244;61;74;10;14;22;22;687;914;0;0
2017;08. Fuencarral-El Pardo;086. Valverde;1.099;1.247;162;209;262;273;40;40;86;88;133;126;1.614;2.103;860;1.224;313;325;462;666;387;464;18.304;18.403;137;133;65;89;254;292;310;371;40;53;15;15;21;14;1.924;2.637;0;0
2017;08. Fuencarral-El Pardo;087. Mirasierra;620;692;144;174;151;177;29;18;48;54;97;103;919;1.091;473;565;250;294;202;280;273;304;10.223;10.326;73;101;78;99;181;177;288;324;29;42;9;11;15;23;639;912;1;2
2017;08. Fuencarral-El Pardo;088. El Goloso;421;374;57;65;96;90;19;14;33;27;43;45;414;506;225;294;141;135;125;153;138;149;6.103;5.987;48;51;30;36;109;96;131;145;14;18;5;2;6;4;314;385;0;0
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;2.190;2.565;431;517;590;770;84;94;188;226;337;419;3.975;5.636;2.137;2.981;623;661;932;1.423;1.137;1.374;31.359;32.725;316;323;161;231;615;676;793;1.026;127;173;47;61;73;71;3.240;4.818;0;0
2017;09. Moncloa-Aravaca;091. Casa de Campo;236;292;51;56;64;71;7;10;23;32;44;43;515;740;258;423;45;54;104;183;137;126;3.468;3.688;38;36;15;26;61;62;79;88;18;23;3;12;12;12;272;437;0;0
2017;09. Moncloa-Aravaca;092. Argüelles;615;667;109;140;170;232;26;30;52;49;79;123;855;1.198;530;722;138;154;227;329;293;352;5.287;5.724;90;108;44;63;173;220;152;202;35;41;20;18;28;26;754;1.082;0;0
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;346;333;87;90;72;141;13;13;33;37;50;61;635;878;306;450;89;113;135;201;197;216;3.998;4.383;61;50;21;39;107;93;132;153;28;34;9;8;9;14;393;568;0;0
2017;09. Moncloa-Aravaca;094. Valdezarza;434;632;70;98;101;111;11;14;19;27;64;66;1.211;1.818;657;907;86;88;299;456;198;276;7.624;7.953;42;59;27;33;105;96;82;125;20;36;8;14;8;11;1.033;1.437;0;0
2017;09. Moncloa-Aravaca;095. Valdemarín;92;116;28;25;33;49;9;9;17;22;23;23;121;139;46;63;63;56;18;37;69;80;2.041;2.078;13;8;10;25;32;30;64;88;3;6;2;1;2;0;145;253;0;0
2017;09. Moncloa-Aravaca;096. El Plantío;46;56;6;9;16;25;1;1;2;4;11;14;57;78;23;27;15;19;5;10;19;38;859;859;6;3;1;6;22;15;24;32;3;1;1;1;2;4;78;101;0;0
2017;09. Moncloa-Aravaca;097. Aravaca;421;469;80;99;134;141;17;17;42;55;66;89;581;785;317;389;187;177;144;207;224;286;8.082;8.040;66;59;43;39;115;160;260;338;20;32;4;7;12;4;565;940;0;0
2017;10. Latina;10. Latina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;10. Latina;10. Latina;3.723;4.818;420;454;597;867;99;96;187;211;262;348;9.026;12.276;6.547;8.619;596;633;3.323;4.846;1.353;1.781;55.971;57.532;313;412;110;176;646;641;473;604;142;171;81;93;132;139;9.745;13.186;1;3
2017;10. Latina;101. Los Cármenes;257;331;30;26;45;59;4;11;16;23;15;29;482;682;398;489;39;45;155;262;110;150;4.657;4.702;20;21;10;17;48;49;37;45;6;7;3;4;6;5;675;914;0;0
2017;10. Latina;102. Puerta del Ángel;614;821;93;84;143;211;21;20;52;42;66;77;1.184;1.738;867;1.243;135;119;402;639;272;362;9.242;9.725;78;97;19;47;147;128;111;140;31;35;13;16;19;25;2.059;2.763;0;0
2017;10. Latina;103. Lucero;461;632;51;64;78;121;12;11;24;17;30;45;1.176;1.569;904;1.210;63;91;401;592;191;252;8.670;8.957;34;47;19;16;80;99;53;74;18;23;9;14;15;13;1.650;2.184;0;1
2017;10. Latina;104. Aluche;1.009;1.369;98;122;155;250;19;20;27;61;82;97;3.135;4.333;2.089;2.754;158;157;1.049;1.523;397;524;14.304;14.737;74;88;25;49;141;171;122;145;34;56;12;15;30;36;2.793;3.802;1;1
2017;10. Latina;105. Campamento;384;461;61;62;45;48;22;10;29;32;20;25;743;994;488;589;54;67;353;441;135;158;4.013;4.078;54;61;15;16;75;53;42;54;17;21;26;21;30;32;794;1.124;0;0
2017;10. Latina;106. Cuatro Vientos;114;69;10;8;8;11;4;3;6;4;1;2;115;118;94;102;21;18;45;46;23;22;2.067;1.947;6;9;6;4;28;11;16;20;2;1;1;2;3;1;139;217;0;0
2017;10. Latina;107. Águilas;884;1.135;77;88;123;167;17;21;33;32;48;73;2.191;2.842;1.707;2.232;126;136;918;1.343;225;313;13.018;13.386;47;89;16;27;127;130;92;126;34;28;17;21;29;27;1.635;2.182;0;1
2017;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;3.358;4.431;309;430;509;738;66;70;174;170;220;290;6.910;9.726;6.264;8.714;532;558;3.098;4.539;991;1.249;57.893;59.944;300;341;94;119;545;593;459;523;99;146;60;70;91;99;12.611;16.684;3;2
2017;11. Carabanchel;111. Comillas;386;498;53;71;65;87;9;5;20;31;38;33;641;1.026;645;951;73;59;234;373;103;143;4.778;5.128;45;50;9;17;78;78;50;67;20;21;6;13;14;17;1.126;1.459;1;0
2017;11. Carabanchel;112. Opañel;461;559;53;64;91;122;15;9;28;20;35;40;958;1.421;851;1.164;62;63;382;599;166;198;6.727;7.414;41;59;13;19;66;83;59;67;12;27;11;14;7;9;1.817;2.339;0;0
2017;11. Carabanchel;113. San Isidro;541;705;41;81;77;127;13;16;27;32;35;47;1.069;1.558;895;1.253;90;102;473;618;158;225;8.780;9.144;49;44;10;21;95;106;80;94;13;33;13;17;11;19;2.045;2.580;2;0
2017;11. Carabanchel;114. Vista Alegre;586;819;49;85;78;138;6;11;25;22;27;55;1.418;2.036;1.271;1.888;93;101;656;993;168;225;8.918;9.388;46;63;16;22;76;88;71;81;16;21;11;9;25;25;2.543;3.673;0;0
2017;11. Carabanchel;115. Puerta Bonita;453;622;45;24;64;79;5;6;20;22;25;37;885;1.222;859;1.174;60;69;422;671;120;143;7.649;7.700;31;34;16;10;64;73;46;51;10;7;9;8;17;12;1.835;2.425;0;1
2017;11. Carabanchel;116. Buenavista;598;691;43;55;90;114;15;13;40;33;37;47;1.179;1.437;1.037;1.324;111;108;628;798;144;173;13.867;13.771;49;46;20;18;94;99;103;94;17;19;5;5;8;6;1.634;2.073;0;1
2017;11. Carabanchel;117. Abrantes;333;537;25;50;44;71;3;10;14;10;23;31;760;1.026;706;960;43;56;303;487;132;142;7.174;7.399;39;45;10;12;72;66;50;69;11;18;5;4;9;11;1.611;2.135;0;0
2017;12. Usera;12. Usera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;12. Usera;12. Usera;1.946;2.504;147;206;275;342;34;51;76;76;103;128;2.672;3.790;3.070;4.234;268;261;1.735;2.456;456;604;32.148;33.017;139;185;39;51;277;307;195;244;33;52;26;28;27;40;7.036;9.514;0;1
2017;12. Usera;121. Orcasitas;461;604;22;30;27;31;7;6;15;9;12;9;343;534;652;943;48;40;442;622;56;76;7.146;7.291;18;23;10;11;54;47;30;33;4;4;3;5;2;2;526;721;0;0
2017;12. Usera;122. Orcasur;232;318;6;13;21;27;4;7;6;8;8;10;202;271;319;404;32;34;157;242;34;48;3.983;3.896;17;26;5;5;24;33;17;14;3;2;1;7;1;6;607;705;0;0
2017;12. Usera;123. San Fermín;313;404;26;33;55;53;2;7;15;21;22;19;436;602;502;594;43;48;315;415;88;109;6.071;5.941;18;24;1;12;49;54;33;43;4;4;8;6;6;12;1.177;1.563;0;0
2017;12. Usera;124. Almendrales;273;314;21;30;60;57;5;9;7;9;17;15;439;649;408;620;47;34;206;296;74;101;4.100;4.243;26;33;6;6;46;46;36;49;6;13;4;2;4;4;1.304;1.871;0;0
2017;12. Usera;125. Moscardó;302;391;38;61;64;96;10;14;19;17;24;38;611;862;527;695;58;58;204;308;92;154;5.051;5.461;34;46;11;7;52;77;47;62;10;18;9;5;6;9;1.473;2.082;0;0
2017;12. Usera;126. Zofío;154;202;15;17;17;38;2;3;8;9;6;16;300;406;308;451;25;26;182;251;53;50;2.902;3.113;9;19;4;4;21;23;19;19;2;7;1;1;5;3;868;1.087;0;1
2017;12. Usera;127. Pradolongo;211;271;19;22;31;40;4;5;6;3;14;21;341;466;354;527;15;21;229;322;59;66;2.895;3.072;17;14;2;6;31;27;13;24;4;4;0;2;3;4;1.081;1.485;0;0
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;4.570;5.803;257;253;323;408;78;49;144;142;172;226;4.449;6.159;6.228;8.668;406;461;3.203;4.500;596;829;58.718;58.991;277;323;76;76;457;472;302;368;61;84;41;68;46;57;10.724;14.003;3;3
2017;13. Puente de Vallecas;131. Entrevías;946;1.295;26;21;31;33;7;9;17;14;24;20;481;648;882;1.313;36;58;554;806;59;73;9.570;9.166;37;60;6;8;59;58;22;35;3;9;6;8;8;5;1.230;1.620;2;0
2017;13. Puente de Vallecas;132. San Diego;622;707;44;51;67;79;17;9;22;19;41;53;663;898;877;1.237;85;83;351;463;108;130;7.918;8.066;34;49;18;20;96;92;59;64;6;16;7;9;11;9;2.880;3.686;0;0
2017;13. Puente de Vallecas;133. Palomeras Bajas;662;852;50;54;52;72;11;7;26;31;31;50;817;1.195;1.055;1.485;65;94;483;647;103;164;11.152;11.505;50;49;17;16;81;91;50;82;18;19;10;9;8;11;1.474;2.010;0;0
2017;13. Puente de Vallecas;134. Palomeras Sureste;1.040;1.304;52;44;71;61;17;5;22;27;27;28;763;1.049;1.406;1.796;72;78;802;1.070;107;154;11.975;11.978;50;51;12;10;75;79;66;62;14;13;7;7;8;10;1.424;1.849;0;1
2017;13. Puente de Vallecas;135. Portazgo;548;747;32;35;31;66;12;6;21;21;18;24;547;839;826;1.185;42;48;412;667;59;103;7.541;7.580;35;45;3;6;51;53;32;38;3;11;1;7;4;6;1.130;1.438;0;0
2017;13. Puente de Vallecas;136. Numancia;752;898;53;48;71;97;14;13;36;30;31;51;1.178;1.530;1.182;1.652;106;100;601;847;160;205;10.562;10.696;71;69;20;16;95;99;73;87;17;16;10;28;7;16;2.586;3.400;1;2
2017;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;1.642;2.238;194;269;191;307;41;25;69;76;122;165;3.030;4.397;2.740;3.812;288;327;1.144;1.650;459;560;25.959;27.581;159;183;59;95;287;376;245;310;67;86;38;32;36;50;2.867;4.141;4;1
