AÑO;DISTRITO;BARRIO;Num personas viven solas
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;17.146
2017;16. Hortaleza;161. Palomas;373
2017;16. Hortaleza;162. Piovera;966
2017;16. Hortaleza;163. Canillas;4.063
2017;16. Hortaleza;164. Pinar del Rey;5.875
2017;16. Hortaleza;165. Apóstol Santiago;1.508
2017;16. Hortaleza;166. Valdefuentes;4.361
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;12.560
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.027
2017;17. Villaverde;172. San Cristóbal;1.249
2017;17. Villaverde;173. Butarque;1.315
2017;17. Villaverde;174. Los Rosales;2.840
2017;17. Villaverde;175. Ángeles;3.129
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;11.321
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.709
2017;18. Villa de Vallecas;182. Santa Eugenia;1.774
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;5.838
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;5.895
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.403
2017;19. Vicálvaro;192. Valdebernardo;1.168
2017;19. Vicálvaro;193. Valderribas;1.198
2017;19. Vicálvaro;194. El Cañaveral;126
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;15.703
2017;20. San Blas-Canillejas;201. Simancas;3.334
2017;20. San Blas-Canillejas;202. Hellín;1.173
2017;20. San Blas-Canillejas;203. Amposta;1.042
2017;20. San Blas-Canillejas;204. Arcos;2.335
2017;20. San Blas-Canillejas;205. Rosas;1.991
2017;20. San Blas-Canillejas;206. Rejas;2.023
2017;20. San Blas-Canillejas;207. Canillejas;2.767
2017;20. San Blas-Canillejas;208. El Salvador;1.038
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;4.282
2017;21. Barajas;211. Alameda de Osuna;1.517
2017;21. Barajas;212. Aeropuerto;183
2017;21. Barajas;213. Casco Histórico de Barajas;965
2017;21. Barajas;214. Timón;1.120
2017;21. Barajas;215. Corralejos;497
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;32.296
2018;01. Centro;011. Palacio;5.258
2018;01. Centro;012. Embajadores;10.493
2018;01. Centro;013. Cortes;2.648
2018;01. Centro;014. Justicia;4.179
2018;01. Centro;015. Universidad;7.885
2018;01. Centro;016. Sol;1.833
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;21.911
2018;02. Arganzuela;021. Imperial;3.182
2018;02. Arganzuela;022. Acacias;4.938
2018;02. Arganzuela;023. Chopera;2.981
2018;02. Arganzuela;024. Legazpi;2.055
2018;02. Arganzuela;025. Delicias;3.853
2018;02. Arganzuela;026. Palos de Moguer;4.798
2018;02. Arganzuela;027. Atocha;104
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;15.241
2018;03. Retiro;031. Pacífico;5.140
2018;03. Retiro;032. Adelfas;2.334
2018;03. Retiro;033. Estrella;2.051
2018;03. Retiro;034. Ibiza;3.318
2018;03. Retiro;035. Los Jerónimos;912
2018;03. Retiro;036. Niño Jesús;1.486
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;23.799
2018;04. Salamanca;041. Recoletos;2.644
2018;04. Salamanca;042. Goya;5.118
2018;04. Salamanca;043. Fuente del Berro;3.513
2018;04. Salamanca;044. Guindalera;6.291
2018;04. Salamanca;045. Lista;3.622
2018;04. Salamanca;046. Castellana;2.611
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;19.460
2018;05. Chamartín;051. El Viso;1.736
2018;05. Chamartín;052. Prosperidad;5.755
2018;05. Chamartín;053. Ciudad Jardín;2.887
2018;05. Chamartín;054. Hispanoamérica;3.971
2018;05. Chamartín;055. Nueva España;2.974
2018;05. Chamartín;056. Castilla;2.137
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;24.530
2018;06. Tetuán;061. Bellas Vistas;4.357
2018;06. Tetuán;062. Cuatro Caminos;5.729
2018;06. Tetuán;063. Castillejos;3.788
2018;06. Tetuán;064. Almenara;3.263
2018;06. Tetuán;065. Valdeacederas;3.685
2018;06. Tetuán;066. Berruguete;3.708
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;24.857
2018;07. Chamberí;071. Gaztambide;4.341
2018;07. Chamberí;072. Arapiles;4.586
2018;07. Chamberí;073. Trafalgar;5.149
2018;07. Chamberí;074. Almagro;3.034
2018;07. Chamberí;075. Ríos Rosas;4.724
2018;07. Chamberí;076. Vallehermoso;3.023
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;22.157
2018;08. Fuencarral-El Pardo;081. El Pardo;398
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;254
2018;08. Fuencarral-El Pardo;083. Peñagrande;4.218
2018;08. Fuencarral-El Pardo;084. Pilar;6.010
2018;08. Fuencarral-El Pardo;085. La Paz;2.548
2018;08. Fuencarral-El Pardo;086. Valverde;5.592
2018;08. Fuencarral-El Pardo;087. Mirasierra;2.012
2018;08. Fuencarral-El Pardo;088. El Goloso;1.125
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;13.621
2018;09. Moncloa-Aravaca;091. Casa de Campo;1.981
2018;09. Moncloa-Aravaca;092. Argüelles;3.950
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.866
2018;09. Moncloa-Aravaca;094. Valdezarza;3.685
2018;09. Moncloa-Aravaca;095. Valdemarín;352
2018;09. Moncloa-Aravaca;096. El Plantío;150
2018;09. Moncloa-Aravaca;097. Aravaca;1.637
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;27.868
2018;10. Latina;101. Los Cármenes;1.786
2018;10. Latina;102. Puerta del Ángel;6.128
2018;10. Latina;103. Lucero;4.141
2018;10. Latina;104. Aluche;7.359
2018;10. Latina;105. Campamento;2.055
2018;10. Latina;106. Cuatro Vientos;693
2018;10. Latina;107. Águilas;5.706
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;27.370
2018;11. Carabanchel;111. Comillas;3.289
2018;11. Carabanchel;112. Opañel;4.229
2018;11. Carabanchel;113. San Isidro;4.613
2018;11. Carabanchel;114. Vista Alegre;4.822
2018;11. Carabanchel;115. Puerta Bonita;3.367
2018;11. Carabanchel;116. Buenavista;4.246
2018;11. Carabanchel;117. Abrantes;2.804
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;12.896
2018;12. Usera;121. Orcasitas;2.022
2018;12. Usera;122. Orcasur;1.149
2018;12. Usera;123. San Fermín;1.917
2018;12. Usera;124. Almendrales;2.143
2018;12. Usera;125. Moscardó;2.879
2018;12. Usera;126. Zofío;1.250
2018;12. Usera;127. Pradolongo;1.536
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;24.606
2018;13. Puente de Vallecas;131. Entrevías;3.244
2018;13. Puente de Vallecas;132. San Diego;5.089
2018;13. Puente de Vallecas;133. Palomeras Bajas;3.859
2018;13. Puente de Vallecas;134. Palomeras Sureste;3.980
2018;13. Puente de Vallecas;135. Portazgo;3.019
2018;13. Puente de Vallecas;136. Numancia;5.415
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;10.501
2018;14. Moratalaz;141. Pavones;780
2018;14. Moratalaz;142. Horcajo;403
2018;14. Moratalaz;143. Marroquina;2.838
2018;14. Moratalaz;144. Media Legua;2.031
2018;14. Moratalaz;145. Fontarrón;2.098
2018;14. Moratalaz;146. Vinateros;2.351
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;27.066
2018;15. Ciudad Lineal;151. Ventas;6.594
2018;15. Ciudad Lineal;152. Pueblo Nuevo;6.814
2018;15. Ciudad Lineal;153. Quintana;3.687
2018;15. Ciudad Lineal;154. Concepción;3.364
2018;15. Ciudad Lineal;155. San Pascual;2.364
2018;15. Ciudad Lineal;156. San Juan Bautista;1.383
2018;15. Ciudad Lineal;157. Colina;784
2018;15. Ciudad Lineal;158. Atalaya;173
2018;15. Ciudad Lineal;159. Costillares;1.903
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;17.419
2018;16. Hortaleza;161. Palomas;345
2018;16. Hortaleza;162. Piovera;960
2018;16. Hortaleza;163. Canillas;4.176
2018;16. Hortaleza;164. Pinar del Rey;5.949
2018;16. Hortaleza;165. Apóstol Santiago;1.541
2018;16. Hortaleza;166. Valdefuentes;4.448
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;12.848
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.096
2018;17. Villaverde;172. San Cristóbal;1.257
2018;17. Villaverde;173. Butarque;1.374
2018;17. Villaverde;174. Los Rosales;2.922
2018;17. Villaverde;175. Ángeles;3.199
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;11.488
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.789
2018;18. Villa de Vallecas;182. Santa Eugenia;1.826
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;5.873
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;6.056
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.491
2018;19. Vicálvaro;192. Valdebernardo;1.194
2018;19. Vicálvaro;193. Valderribas;1.200
2018;19. Vicálvaro;194. El Cañaveral;171
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;15.835
2018;20. San Blas-Canillejas;201. Simancas;3.332
2018;20. San Blas-Canillejas;202. Hellín;1.166
2018;20. San Blas-Canillejas;203. Amposta;1.041
2018;20. San Blas-Canillejas;204. Arcos;2.286
2018;20. San Blas-Canillejas;205. Rosas;2.059
2018;20. San Blas-Canillejas;206. Rejas;2.041
2018;20. San Blas-Canillejas;207. Canillejas;2.849
2018;20. San Blas-Canillejas;208. El Salvador;1.061
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;4.423
2018;21. Barajas;211. Alameda de Osuna;1.558
2018;21. Barajas;212. Aeropuerto;195
2018;21. Barajas;213. Casco Histórico de Barajas;961
2018;21. Barajas;214. Timón;1.189
2018;21. Barajas;215. Corralejos;520
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;32.637
2019;01. Centro;011. Palacio;5.360
2019;01. Centro;012. Embajadores;10.514
2019;01. Centro;013. Cortes;2.587
2019;01. Centro;014. Justicia;4.187
2019;01. Centro;015. Universidad;8.133
2019;01. Centro;016. Sol;1.856
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;21.921
2019;02. Arganzuela;021. Imperial;3.177
2019;02. Arganzuela;022. Acacias;4.965
2019;02. Arganzuela;023. Chopera;3.002
2019;02. Arganzuela;024. Legazpi;2.052
2019;02. Arganzuela;025. Delicias;3.884
2019;02. Arganzuela;026. Palos de Moguer;4.740
2019;02. Arganzuela;027. Atocha;101
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;15.408
2019;03. Retiro;031. Pacífico;5.197
2019;03. Retiro;032. Adelfas;2.381
2019;03. Retiro;033. Estrella;2.086
2019;03. Retiro;034. Ibiza;3.325
2019;03. Retiro;035. Los Jerónimos;894
2019;03. Retiro;036. Niño Jesús;1.525
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;23.813
2019;04. Salamanca;041. Recoletos;2.641
2019;04. Salamanca;042. Goya;5.134
2019;04. Salamanca;043. Fuente del Berro;3.513
2019;04. Salamanca;044. Guindalera;6.332
2019;04. Salamanca;045. Lista;3.558
2019;04. Salamanca;046. Castellana;2.635
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;19.431
2019;05. Chamartín;051. El Viso;1.745
2019;05. Chamartín;052. Prosperidad;5.783
2019;05. Chamartín;053. Ciudad Jardín;2.888
2019;05. Chamartín;054. Hispanoamérica;3.928
2019;05. Chamartín;055. Nueva España;2.936
2019;05. Chamartín;056. Castilla;2.151
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;24.712
2019;06. Tetuán;061. Bellas Vistas;4.427
2019;06. Tetuán;062. Cuatro Caminos;5.760
2019;06. Tetuán;063. Castillejos;3.811
2019;06. Tetuán;064. Almenara;3.254
2019;06. Tetuán;065. Valdeacederas;3.744
2019;06. Tetuán;066. Berruguete;3.716
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;24.952
2019;07. Chamberí;071. Gaztambide;4.349
2019;07. Chamberí;072. Arapiles;4.620
2019;07. Chamberí;073. Trafalgar;5.162
2019;07. Chamberí;074. Almagro;3.030
2019;07. Chamberí;075. Ríos Rosas;4.761
2019;07. Chamberí;076. Vallehermoso;3.030
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;22.545
2019;08. Fuencarral-El Pardo;081. El Pardo;389
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;258
2019;08. Fuencarral-El Pardo;083. Peñagrande;4.330
2019;08. Fuencarral-El Pardo;084. Pilar;6.109
2019;08. Fuencarral-El Pardo;085. La Paz;2.601
2019;08. Fuencarral-El Pardo;086. Valverde;5.651
2019;08. Fuencarral-El Pardo;087. Mirasierra;2.060
2019;08. Fuencarral-El Pardo;088. El Goloso;1.147
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;13.743
2019;09. Moncloa-Aravaca;091. Casa de Campo;1.935
2019;09. Moncloa-Aravaca;092. Argüelles;3.944
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.913
2019;09. Moncloa-Aravaca;094. Valdezarza;3.760
2019;09. Moncloa-Aravaca;095. Valdemarín;404
2019;09. Moncloa-Aravaca;096. El Plantío;154
2019;09. Moncloa-Aravaca;097. Aravaca;1.633
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;28.224
2019;10. Latina;101. Los Cármenes;1.788
2019;10. Latina;102. Puerta del Ángel;6.147
2019;10. Latina;103. Lucero;4.190
2019;10. Latina;104. Aluche;7.602
2019;10. Latina;105. Campamento;2.070
2019;10. Latina;106. Cuatro Vientos;691
2019;10. Latina;107. Águilas;5.736
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;27.562
2019;11. Carabanchel;111. Comillas;3.310
2019;11. Carabanchel;112. Opañel;4.226
2019;11. Carabanchel;113. San Isidro;4.653
2019;11. Carabanchel;114. Vista Alegre;4.835
2019;11. Carabanchel;115. Puerta Bonita;3.404
2019;11. Carabanchel;116. Buenavista;4.278
2019;11. Carabanchel;117. Abrantes;2.856
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;12.870
2019;12. Usera;121. Orcasitas;2.004
2019;12. Usera;122. Orcasur;1.126
2019;12. Usera;123. San Fermín;1.917
2019;12. Usera;124. Almendrales;2.137
2019;12. Usera;125. Moscardó;2.873
2019;12. Usera;126. Zofío;1.273
2019;12. Usera;127. Pradolongo;1.540
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;24.646
2019;13. Puente de Vallecas;131. Entrevías;3.246
2019;13. Puente de Vallecas;132. San Diego;5.054
2019;13. Puente de Vallecas;133. Palomeras Bajas;3.896
2019;13. Puente de Vallecas;134. Palomeras Sureste;3.966
2019;13. Puente de Vallecas;135. Portazgo;3.003
2019;13. Puente de Vallecas;136. Numancia;5.481
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;10.570
2019;14. Moratalaz;141. Pavones;769
2019;14. Moratalaz;142. Horcajo;394
2019;14. Moratalaz;143. Marroquina;2.904
2019;14. Moratalaz;144. Media Legua;2.050
2019;14. Moratalaz;145. Fontarrón;2.081
2019;14. Moratalaz;146. Vinateros;2.372
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;27.302
2019;15. Ciudad Lineal;151. Ventas;6.622
2019;15. Ciudad Lineal;152. Pueblo Nuevo;6.849
2019;15. Ciudad Lineal;153. Quintana;3.670
2019;15. Ciudad Lineal;154. Concepción;3.414
2019;15. Ciudad Lineal;155. San Pascual;2.389
2019;15. Ciudad Lineal;156. San Juan Bautista;1.416
2019;15. Ciudad Lineal;157. Colina;832
2019;15. Ciudad Lineal;158. Atalaya;175
2019;15. Ciudad Lineal;159. Costillares;1.935
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;17.795
2019;16. Hortaleza;161. Palomas;371
2019;16. Hortaleza;162. Piovera;978
2019;16. Hortaleza;163. Canillas;4.262
2019;16. Hortaleza;164. Pinar del Rey;6.055
2019;16. Hortaleza;165. Apóstol Santiago;1.545
2019;16. Hortaleza;166. Valdefuentes;4.584
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;13.046
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.133
2019;17. Villaverde;172. San Cristóbal;1.238
2019;17. Villaverde;173. Butarque;1.423
2019;17. Villaverde;174. Los Rosales;2.953
2019;17. Villaverde;175. Ángeles;3.299
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;11.659
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.823
2019;18. Villa de Vallecas;182. Santa Eugenia;1.823
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;6.013
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;6.218
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.534
2019;19. Vicálvaro;192. Valdebernardo;1.198
2019;19. Vicálvaro;193. Valderribas;1.207
2019;19. Vicálvaro;194. El Cañaveral;279
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;15.957
2019;20. San Blas-Canillejas;201. Simancas;3.389
2019;20. San Blas-Canillejas;202. Hellín;1.181
2019;20. San Blas-Canillejas;203. Amposta;1.056
2019;20. San Blas-Canillejas;204. Arcos;2.283
2019;20. San Blas-Canillejas;205. Rosas;2.066
2019;20. San Blas-Canillejas;206. Rejas;2.057
2019;20. San Blas-Canillejas;207. Canillejas;2.841
2019;20. San Blas-Canillejas;208. El Salvador;1.084
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;4.434
2019;21. Barajas;211. Alameda de Osuna;1.576
2019;21. Barajas;212. Aeropuerto;198
2019;21. Barajas;213. Casco Histórico de Barajas;970
2019;21. Barajas;214. Timón;1.190
2019;21. Barajas;215. Corralejos;500
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;32.713
2020;01. Centro;011. Palacio;5.395
2020;01. Centro;012. Embajadores;10.504
2020;01. Centro;013. Cortes;2.618
2020;01. Centro;014. Justicia;4.188
2020;01. Centro;015. Universidad;8.165
2020;01. Centro;016. Sol;1.843
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;22.090
2020;02. Arganzuela;021. Imperial;3.206
2020;02. Arganzuela;022. Acacias;5.001
2020;02. Arganzuela;023. Chopera;3.018
2020;02. Arganzuela;024. Legazpi;2.061
2020;02. Arganzuela;025. Delicias;3.952
2020;02. Arganzuela;026. Palos de Moguer;4.728
2020;02. Arganzuela;027. Atocha;124
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;15.637
2020;03. Retiro;031. Pacífico;5.245
2020;03. Retiro;032. Adelfas;2.426
2020;03. Retiro;033. Estrella;2.153
2020;03. Retiro;034. Ibiza;3.341
2020;03. Retiro;035. Los Jerónimos;916
2020;03. Retiro;036. Niño Jesús;1.556
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;23.896
2020;04. Salamanca;041. Recoletos;2.647
2020;04. Salamanca;042. Goya;5.109
2020;04. Salamanca;043. Fuente del Berro;3.513
2020;04. Salamanca;044. Guindalera;6.381
2020;04. Salamanca;045. Lista;3.571
2020;04. Salamanca;046. Castellana;2.675
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;19.543
2020;05. Chamartín;051. El Viso;1.781
2020;05. Chamartín;052. Prosperidad;5.784
2020;05. Chamartín;053. Ciudad Jardín;2.941
2020;05. Chamartín;054. Hispanoamérica;3.978
2020;05. Chamartín;055. Nueva España;2.936
2020;05. Chamartín;056. Castilla;2.123
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;24.751
2020;06. Tetuán;061. Bellas Vistas;4.368
2020;06. Tetuán;062. Cuatro Caminos;5.788
2020;06. Tetuán;063. Castillejos;3.796
2020;06. Tetuán;064. Almenara;3.248
2020;06. Tetuán;065. Valdeacederas;3.767
