AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PP;PSOE;Cs;MAS MADRID;VOX;PODEMOS-IU;Resto de candidaturas
2017;11. Carabanchel;113. San Isidro;26,715;11,001;78;75;15,561;3,061;4,812;2,308;3,048;1,07;1,052;210
2017;11. Carabanchel;114. Vista Alegre;31,087;12,207;107;92;18,681;4,44;5,65;2,767;3,146;1,426;1,061;191
2017;11. Carabanchel;115. Puerta Bonita;22,651;9,661;51;56;12,883;2,514;4,156;1,979;2,19;1,011;830;203
2017;11. Carabanchel;116. Buenavista;31,621;10,376;92;116;21,037;3,321;6,309;4,198;3,997;1,61;1,323;279
2017;11. Carabanchel;117. Abrantes;20,19;8,07;64;49;12,007;2,345;3,855;1,954;2,009;956;716;172
2017;12. Usera;12. Usera;;;;;;;;;;;;
2017;12. Usera;12. Usera;90,011;37,848;228;222;51,713;8,225;17,246;7,701;11,043;3,416;3,335;747
2017;12. Usera;121. Orcasitas;16,932;6,04;50;49;10,793;1,147;3,539;1,605;3,023;653;693;133
2017;12. Usera;122. Orcasur;9,534;4,607;27;19;4,881;598;1,777;679;1,121;323;304;79
2017;12. Usera;123. San Fermín;15,171;6,267;44;45;8,815;1,287;2,98;1,426;1,738;663;596;125
2017;12. Usera;124. Almendrales;12,976;5,849;24;33;7,07;1,332;2,348;1,143;1,307;438;387;115
2017;12. Usera;125. Moscardó;16,551;6,555;45;37;9,914;2,077;3,044;1,456;1,878;660;642;157
2017;12. Usera;126. Zofío;9,082;3,71;19;25;5,328;847;1,803;756;1,118;321;409;74
2017;12. Usera;127. Pradolongo;9,765;4,82;19;14;4,912;937;1,755;636;858;358;304;64
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;164,241;67,188;448;414;96,191;11,566;34,682;11,988;22,131;5,142;9,346;1,336
2017;13. Puente de Vallecas;131. Entrevías;24,726;11,084;62;50;13,53;1,317;5,538;1,455;2,877;702;1,44;201
2017;13. Puente de Vallecas;132. San Diego;25,038;12,19;46;56;12,746;1,607;4,594;1,529;2,838;738;1,224;216
2017;13. Puente de Vallecas;133. Palomeras Bajas;29,568;10,031;98;96;19,343;2,162;6,659;2,422;4,89;826;2,148;236
2017;13. Puente de Vallecas;134. Palomeras Sureste;31,979;12,088;84;85;19,722;1,938;7,316;2,674;4,646;1,065;1,831;252
2017;13. Puente de Vallecas;135. Portazgo;20,722;8,442;58;53;12,169;1,64;4,244;1,422;2,974;676;1,059;154
2017;13. Puente de Vallecas;136. Numancia;32,208;13,353;100;74;18,681;2,902;6,331;2,486;3,906;1,135;1,644;277
2017;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;74,719;22,521;207;257;51,734;11,735;15,247;9,054;8,668;3,488;2,956;586
2017;14. Moratalaz;141. Pavones;7,03;2,273;23;22;4,712;749;1,62;799;874;332;286;52
2017;14. Moratalaz;142. Horcajo;4,831;1,269;14;24;3,524;530;1,02;862;653;255;173;31
2017;14. Moratalaz;143. Marroquina;22,629;5,692;56;98;16,783;4,213;4,667;3,17;2,622;1,126;821;164
2017;14. Moratalaz;144. Media Legua;14,248;4,462;35;49;9,702;2,535;2,621;1,679;1,513;704;531;119
2017;14. Moratalaz;145. Fontarrón;12,781;4,801;26;30;7,924;1,589;2,52;1,133;1,527;518;529;108
2017;14. Moratalaz;146. Vinateros;13,2;4,024;53;34;9,089;2,119;2,799;1,411;1,479;553;616;112
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;160,051;51,722;443;488;107,398;27,605;27,994;21,559;15,569;8,691;4,777;1,203
2017;15. Ciudad Lineal;151. Ventas;35,252;12,855;117;95;22,185;4,991;6,66;3,809;3,685;1,508;1,255;277
2017;15. Ciudad Lineal;152. Pueblo Nuevo;44,525;16,248;135;125;28,017;5,967;8,58;4,949;4,85;1,839;1,503;329
2017;15. Ciudad Lineal;153. Quintana;17,73;6,39;51;54;11,235;2,607;3,117;2,059;1,852;853;583;164
2017;15. Ciudad Lineal;154. Concepción;15,688;4,999;49;56;10,584;2,607;2,661;2,224;1,626;872;469;125
2017;15. Ciudad Lineal;155. San Pascual;14,372;3,775;41;50;10,506;2,778;2,699;2,253;1,406;825;434;111
2017;15. Ciudad Lineal;156. San Juan Bautista;9,381;2,129;12;38;7,202;2,215;1,477;1,738;865;629;220;58
2017;15. Ciudad Lineal;157. Colina;4,767;1,155;9;12;3,591;1,042;754;894;406;361;97;37
2017;15. Ciudad Lineal;158. Atalaya;1,134;298;1;1;834;366;148;194;40;60;16;10
2017;15. Ciudad Lineal;159. Costillares;17,202;3,873;28;57;13,244;5,032;1,898;3,439;839;1,744;200;92
2017;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;
2017;16. Hortaleza;16. Hortaleza;136,898;38,163;313;369;98,053;23,494;23,791;24,382;12,839;8,742;3,786;1,019
2017;16. Hortaleza;161. Palomas;4,703;1,025;7;19;3,652;1,286;479;1,094;257;448;62;26
2017;16. Hortaleza;162. Piovera;10,17;2,37;8;25;7,767;2,745;1,172;2,197;657;785;167;44
2017;16. Hortaleza;163. Canillas;32,115;8,891;82;88;23,054;4,995;6,736;4,843;3,585;1,561;1,115;219
2017;16. Hortaleza;164. Pinar del Rey;40,897;12,96;112;110;27,715;6,012;8,3;5,322;4,109;2,228;1,348;396
2017;16. Hortaleza;165. Apóstol Santiago;12,037;3,945;34;27;8,031;1,759;2,142;1,678;1,205;799;339;109
2017;16. Hortaleza;166. Valdefuentes;36,976;8,972;70;100;27,834;6,697;4,962;9,248;3,026;2,921;755;225
2017;17. Villaverde;17. Villaverde;;;;;;;;;;;;
2017;17. Villaverde;17. Villaverde;98,341;38,79;292;270;58,989;9,043;20,934;8,934;11,064;3,978;4,143;893
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;29,944;12,395;96;69;17,384;2,555;6,436;2,449;3,21;1,157;1,291;286
2017;17. Villaverde;172. San Cristóbal;8,524;4,875;28;17;3,604;494;1,467;399;644;224;304;72
2017;17. Villaverde;173. Butarque;11,8;4,224;19;30;7,527;697;2,402;1,468;1,701;574;569;116
2017;17. Villaverde;174. Los Rosales;25,134;9,292;75;88;15,679;2,264;5,664;2,512;3,023;957;1,028;231
2017;17. Villaverde;175. Ángeles;22,939;8,004;74;66;14,795;3,033;4,965;2,106;2,486;1,066;951;188
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;76,66;26,441;224;221;49,774;6,299;14,931;9,43;11,642;3,29;3,541;641
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;27,402;11,463;84;62;15,793;1,929;5,388;2,196;3,849;879;1,309;243
2017;18. Villa de Vallecas;182. Santa Eugenia;19,129;5,574;65;54;13,436;2,415;4,26;2,472;2,482;939;743;125
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;30,129;9,404;75;105;20,545;1,955;5,283;4,762;5,311;1,472;1,489;273
2017;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;
2017;19. Vicálvaro;19. Vicálvaro;50,435;16,099;127;156;34,053;4,735;10,945;6,511;6,991;2,202;2,25;419
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;23,556;9,742;64;53;13,697;2,296;4,984;2,035;2,354;947;870;211
2017;19. Vicálvaro;192. Valdebernardo;13,733;3,487;29;48;10,169;1,199;3,225;1,779;2,479;574;799;114
2017;19. Vicálvaro;193. Valderribas;12,014;2,607;29;45;9,333;1,15;2,546;2,462;1,976;596;526;77
2017;19. Vicálvaro;194. El Cañaveral;1,132;263;5;10;854;90;190;235;182;85;55;17
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;114,779;38,993;336;317;75,133;13,446;22,543;15,178;13,295;5,504;4,285;882
2017;20. San Blas-Canillejas;201. Simancas;19,184;7,345;61;69;11,709;2,012;3,607;2,331;2,078;830;656;195
2017;20. San Blas-Canillejas;202. Hellín;6,969;2,918;28;10;4,013;573;1,45;511;800;248;367;64
2017;20. San Blas-Canillejas;203. Amposta;6,066;3,006;18;9;3,033;449;1,146;426;550;196;229;37
2017;20. San Blas-Canillejas;204. Arcos;18,065;6,967;32;57;11,009;1,607;3,64;1,862;2,286;755;729;130
2017;20. San Blas-Canillejas;205. Rosas;23,772;5,426;73;82;18,191;2,972;5,432;4,102;3,332;1,193;992;168
2017;20. San Blas-Canillejas;206. Rejas;10,648;3,665;20;31;6,932;1,294;1,63;1,888;1,092;671;292;65
2017;20. San Blas-Canillejas;207. Canillejas;21,037;7,516;76;42;13,403;2,878;3,969;2,443;2,196;998;767;152
2017;20. San Blas-Canillejas;208. El Salvador;9,038;2,15;28;17;6,843;1,661;1,669;1,615;961;613;253;71
2017;21. Barajas;21. Barajas;;;;;;;;;;;;
2017;21. Barajas;21. Barajas;35,45;9,362;91;93;25,904;5,85;6,042;6,55;3,744;2,401;1,043;274
2017;21. Barajas;211. Alameda de Osuna;14,99;3,204;35;38;11,713;3,044;2,713;2,845;1,569;1,018;424;100
2017;21. Barajas;212. Aeropuerto;1,231;573;3;0;655;78;176;127;149;80;37;8
2017;21. Barajas;213. Casco Histórico de Barajas;5,425;2,001;11;14;3,399;657;943;645;559;342;192;61
2017;21. Barajas;214. Timón;8,653;2,428;26;26;6,173;1,091;1,513;1,597;1,077;534;292;69
2017;21. Barajas;215. Corralejos;5,151;1,156;16;15;3,964;980;697;1,336;390;427;98;36
2018;01. Centro;01. Centro;96,698;25,689;242;313;70,454;24,747;10,572;2,416;19,173;4,147;8,697;702
2018;01. Centro;011. Palacio;17,424;4,159;45;67;13,153;4,74;2,089;435;3,398;851;1,521;119
2018;01. Centro;012. Embajadores;30,54;8,801;73;74;21,592;5,751;3,264;575;6,932;1,061;3,717;292
2018;01. Centro;013. Cortes;7,437;1,795;24;25;5,593;2,224;820;205;1,393;355;544;52
2018;01. Centro;014. Justicia;12,76;3,284;22;44;9,41;4,336;1,281;414;1,947;701;665;66
2018;01. Centro;015. Universidad;23,422;6,2;65;84;17,073;6,203;2,607;654;4,677;881;1,911;140
2018;01. Centro;016. Sol;5,115;1,45;13;19;3,633;1,493;511;133;826;298;339;33
2018;02. Arganzuela;02. Arganzuela;119,336;23,736;408;444;94,748;38,975;14,798;4,054;21,704;6,184;8,378;655
2018;02. Arganzuela;021. Imperial;18,185;3,366;47;74;14,698;6,305;2,198;644;3,15;1,093;1,224;84
2018;02. Arganzuela;022. Acacias;29,779;5,35;91;121;24,217;10,047;3,982;1,029;5,431;1,511;2,061;156
2018;02. Arganzuela;023. Chopera;15,294;3,541;50;52;11,651;4,431;1,952;381;2,826;714;1,262;85
2018;02. Arganzuela;024. Legazpi;14,446;2,582;58;60;11,746;5,028;1,736;675;2,669;725;844;69
2018;02. Arganzuela;025. Delicias;21,039;4,155;85;77;16,722;6,972;2,578;711;3,792;1,113;1,428;128
2018;02. Arganzuela;026. Palos de Moguer;19,552;4,564;74;55;14,859;5,872;2,226;558;3,637;952;1,488;126
2018;02. Arganzuela;027. Atocha;1,041;178;3;5;855;320;126;56;199;76;71;7
2018;03. Retiro;03. Retiro;;;;;;;;;;;;
2018;03. Retiro;03. Retiro;93,811;16,654;229;353;76,575;40,55;9,569;3,46;11,876;6,778;3,888;454
2018;03. Retiro;031. Pacífico;26,581;5,141;74;104;21,262;10,231;3,08;897;3,9;1,684;1,324;146
2018;03. Retiro;032. Adelfas;14,655;2,526;35;75;12,019;5,586;1,739;602;2,268;996;748;80
2018;03. Retiro;033. Estrella;18,803;2,92;55;41;15,787;8,924;1,874;703;2,102;1,405;705;74
2018;03. Retiro;034. Ibiza;16,353;3,194;35;63;13,061;7,041;1,57;614;1,986;1,148;608;94
2018;03. Retiro;035. Los Jerónimos;5,355;1,132;10;10;4,203;2,543;367;155;442;506;173;17
2018;03. Retiro;036. Niño Jesús;12,064;1,741;20;60;10,243;6,225;939;489;1,178;1,039;330;43
2018;04. Salamanca;04. Salamanca;108,831;21,134;286;332;87,079;53,421;8,536;3,427;9,25;9,065;2,924;456
2018;04. Salamanca;041. Recoletos;11,097;2,12;25;15;8,937;6,494;510;270;402;1,106;116;39
2018;04. Salamanca;042. Goya;21,937;4,489;57;61;17,33;10,8;1,752;716;1,643;1,757;566;96
2018;04. Salamanca;043. Fuente del Berro;16,07;3,337;49;79;12,605;6,565;1,753;578;1,967;993;656;93
2018;04. Salamanca;044. Guindalera;32,253;6,175;103;106;25,869;14,397;2,913;1,158;3,673;2,492;1,085;151
2018;04. Salamanca;045. Lista;15,441;2,904;31;43;12,463;7,946;1,135;422;1,151;1,375;383;51
2018;04. Salamanca;046. Castellana;12,033;2,109;21;28;9,875;7,219;473;283;414;1,342;118;26
2018;05. Chamartín;05. Chamartín;;;;;;;;;;;;
2018;05. Chamartín;05. Chamartín;110,985;18,998;233;361;91,393;56,871;8,788;3,8;9,167;9,185;3,1;482
2018;05. Chamartín;051. El Viso;12,901;1,872;18;32;10,979;8,125;578;309;488;1,314;127;38
2018;05. Chamartín;052. Prosperidad;28,437;5,192;82;150;23,013;12,342;3,039;1,011;3,328;1,953;1,187;153
2018;05. Chamartín;053. Ciudad Jardín;14,066;2,869;34;41;11,122;5,679;1,492;517;1,762;924;674;74
2018;05. Chamartín;054. Hispanoamérica;24,435;4,068;50;63;20,254;13,382;1,63;875;1,61;2,151;510;96
2018;05. Chamartín;055. Nueva España;18,082;2,714;26;41;15,301;10,694;979;622;952;1,717;277;60
2018;05. Chamartín;056. Castilla;13,064;2,283;23;34;10,724;6,649;1,07;466;1,027;1,126;325;61
2018;06. Tetuán;06. Tetuán;;;;;;;;;;;;
2018;06. Tetuán;06. Tetuán;111,531;30,472;381;351;80,327;38,629;12,148;3,005;13,356;6,932;5,507;750
2018;06. Tetuán;061. Bellas Vistas;19,435;5,898;53;63;13,421;5,713;2,395;518;2,555;957;1,137;146
2018;06. Tetuán;062. Cuatro Caminos;25,907;5,603;83;92;20,129;11,513;2,397;784;2,506;1,9;885;144
2018;06. Tetuán;063. Castillejos;15,6;3,308;28;42;12,222;7,25;1,284;489;1,407;1,261;449;82
2018;06. Tetuán;064. Almenara;16,497;4,992;71;39;11,395;4,75;1,995;402;2,03;1,054;1,045;119
2018;06. Tetuán;065. Valdeacederas;17,402;5,521;79;65;11,737;4,652;2,111;422;2,498;878;1,031;145
2018;06. Tetuán;066. Berruguete;16,69;5,15;67;50;11,423;4,751;1,966;390;2,36;882;960;114
2018;07. Chamberí;07. Chamberí;;;;;;;;;;;;
2018;07. Chamberí;07. Chamberí;107,19;20,028;287;410;86,465;48,473;9,849;3,844;12,007;7,698;4,09;504
2018;07. Chamberí;071. Gaztambide;17,897;3,489;54;63;14,291;7,639;1,709;672;2,143;1,321;715;92
2018;07. Chamberí;072. Arapiles;18,834;3,738;65;111;14,92;7,552;2;684;2,531;1,155;894;104
2018;07. Chamberí;073. Trafalgar;18,677;3,796;60;70;14,751;7,271;1,965;691;2,708;1,077;937;102
2018;07. Chamberí;074. Almagro;14,612;2,505;30;36;12,041;7,981;1,002;464;980;1,25;322;42
2018;07. Chamberí;075. Ríos Rosas;21;4,026;33;71;16,87;9,72;1,897;730;2,188;1,494;760;81
2018;07. Chamberí;076. Vallehermoso;16,17;2,474;45;59;13,592;8,31;1,276;603;1,457;1,401;462;83
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;181,152;34,518;557;684;145,393;76,693;20,75;6,665;20,101;13,128;7,025;1,031
2018;08. Fuencarral-El Pardo;081. El Pardo;2,84;712;14;8;2,106;1,156;242;44;216;347;89;12
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;2,495;362;3;11;2,119;1,528;124;77;74;284;24;8
2018;08. Fuencarral-El Pardo;083. Peñagrande;34,812;6,964;108;120;27,62;13,726;4,571;1,161;4,304;2,237;1,448;173
2018;08. Fuencarral-El Pardo;084. Pilar;35,746;8,726;136;136;26,748;12,193;4,961;989;4,535;2,012;1,822;236
2018;08. Fuencarral-El Pardo;085. La Paz;27,371;4,168;53;95;23,055;12,698;3,494;1,112;2,882;1,924;807;138
2018;08. Fuencarral-El Pardo;086. Valverde;41,512;8,531;149;179;32,653;16,575;4,518;1,601;4,925;2,841;1,904;289
2018;08. Fuencarral-El Pardo;087. Mirasierra;24,733;3,374;63;87;21,209;12,884;1,981;1,117;2,112;2,379;616;120
2018;08. Fuencarral-El Pardo;088. El Goloso;11,643;1,681;31;48;9,883;5,933;859;564;1,053;1,104;315;55
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;89,797;16,28;283;277;72,957;39,321;9,103;2,913;10,436;6,952;3,799;433
2018;09. Moncloa-Aravaca;091. Casa de Campo;10,472;2,118;52;36;8,266;3,552;1,239;357;1,813;598;651;56
2018;09. Moncloa-Aravaca;092. Argüelles;18,342;3,613;44;45;14,64;8,11;1,674;607;2,055;1,505;609;80
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;12,454;2,083;32;41;10,298;6,034;1,125;441;1,21;970;459;59
2018;09. Moncloa-Aravaca;094. Valdezarza;22,885;4,954;110;87;17,734;7,525;3,27;661;3,471;1,283;1,381;143
