AÑO;DISTRITO;BARRIO;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades empleos de personal doméstico y/o productora de servicios;U Actividades de organizaciones y organismos extraterritoriales;Z No consta
2017;06. Tetuán;06. Tetuán;44;31;1.971;194;188;2.182;7.955;2.195;6.177;5.053;2.637;642;6.917;6.125;2.101;3.964;4.753;955;1.846;6.291;66;32
2017;06. Tetuán;061. Bellas Vistas;7;3;287;25;29;390;1.350;368;1.441;829;360;98;1.058;1.121;369;780;912;166;405;1.440;12;5
2017;06. Tetuán;062. Cuatro Caminos;12;12;423;71;35;389;1.593;395;1.005;1.225;800;175;2.060;1.071;557;885;982;203;332;1.119;12;6
2017;06. Tetuán;063. Castillejos;6;6;257;33;22;217;955;207;560;737;522;137;1.287;594;280;480;643;114;194;562;9;1
2017;06. Tetuán;064. Almenara;8;2;288;15;25;332;1.217;371;764;649;285;73;774;1.107;281;508;673;129;259;731;7;7
2017;06. Tetuán;065. Valdeacederas;4;4;409;22;37;456;1.496;475;1.212;879;330;85;890;1.198;307;652;782;197;342;1.187;12;5
2017;06. Tetuán;066. Berruguete;7;4;307;28;40;398;1.344;379;1.195;734;340;74;848;1.034;307;659;761;146;314;1.252;14;8
2017;07. Chamberí;07. Chamberí;;;;;;;;;;;;;;;;;;;;;;
2017;07. Chamberí;07. Chamberí;75;38;1.572;257;147;1.281;6.034;1.187;2.663;4.691;3.444;930;9.313;3.894;2.372;4.543;4.592;1.018;1.548;3.607;48;21
2017;07. Chamberí;071. Gaztambide;14;2;245;35;14;188;949;196;456;738;420;117;1.295;561;407;817;981;170;230;575;6;6
2017;07. Chamberí;072. Arapiles;7;7;262;33;27;235;1.039;237;539;844;539;135;1.554;749;480;864;835;186;248;601;10;2
2017;07. Chamberí;073. Trafalgar;8;7;329;37;26;237;1.224;229;603;995;638;160;1.741;751;457;867;838;208;308;532;6;4
2017;07. Chamberí;074. Almagro;23;9;192;36;7;195;807;139;340;520;618;232;1.549;520;228;499;429;142;268;727;8;4
2017;07. Chamberí;075. Ríos Rosas;8;7;326;68;40;266;1.234;259;497;978;774;172;1.949;836;415;822;818;180;288;687;10;3
2017;07. Chamberí;076. Vallehermoso;15;6;217;48;33;160;781;127;228;616;455;114;1.225;477;385;674;691;132;206;485;8;2
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;;;;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;81;59;3.799;446;336;3.373;12.616;3.489;4.564;9.036;6.096;1.146;12.029;8.295;3.673;7.318;8.991;1.630;2.254;4.042;75;28
2017;08. Fuencarral-El Pardo;081. El Pardo;4;0;28;0;4;18;166;36;82;61;38;13;87;155;210;109;74;27;19;16;0;1
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;11;0;34;8;0;38;107;16;33;80;99;31;209;72;30;79;47;13;27;113;0;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;10;9;706;54;51;619;2.369;692;871;1.445;909;215;2.003;1.564;728;1.292;1.770;327;459;761;10;7
2017;08. Fuencarral-El Pardo;084. Pilar;10;1;656;43;64;673;2.567;685;1.278;1.371;713;150;1.541;1.942;578;1.177;1.754;319;530;1.337;10;4
2017;08. Fuencarral-El Pardo;085. La Paz;13;10;511;68;38;328;1.473;389;426;1.232;824;139;1.833;814;562;1.094;1.543;237;297;305;12;2
2017;08. Fuencarral-El Pardo;086. Valverde;17;16;1.024;128;108;1.008;3.455;1.066;1.393;2.958;1.799;283;3.099;2.505;804;1.732;2.066;370;544;1.066;27;6
2017;08. Fuencarral-El Pardo;087. Mirasierra;6;13;506;80;38;388;1.494;379;285;1.105;1.016;210;2.053;823;484;1.158;1.167;222;250;357;10;3
2017;08. Fuencarral-El Pardo;088. El Goloso;10;10;334;65;33;301;985;226;196;784;698;105;1.204;420;277;677;570;115;128;87;6;5
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;;;;;;;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;60;41;1.536;185;129;1.314;5.244;1.337;2.102;3.632;2.807;791;6.385;3.291;1.922;3.814;3.890;956;1.226;2.768;43;15
2017;09. Moncloa-Aravaca;091. Casa de Campo;7;3;163;17;13;121;503;167;217;502;273;63;609;351;305;536;512;144;102;147;6;3
2017;09. Moncloa-Aravaca;092. Argüelles;10;13;277;38;23;202;1.050;180;501;779;488;192;1.392;630;438;809;740;215;314;603;8;3
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;6;4;202;34;12;165;608;125;197;460;344;103;904;376;261;557;484;118;153;344;10;3
2017;09. Moncloa-Aravaca;094. Valdezarza;7;4;428;23;45;376;1.435;554;776;840;463;83;1.150;1.027;453;905;1.134;223;332;716;7;4
2017;09. Moncloa-Aravaca;095. Valdemarín;5;3;78;10;8;96;299;57;56;158;275;92;471;161;36;130;205;46;68;206;1;0
2017;09. Moncloa-Aravaca;096. El Plantío;7;0;37;9;2;51;122;19;23;81;78;38;183;69;22;85;83;17;23;89;0;2
2017;09. Moncloa-Aravaca;097. Aravaca;18;14;351;54;26;303;1.227;235;332;812;886;220;1.676;677;406;792;732;193;234;663;11;0
2017;10. Latina;10. Latina;;;;;;;;;;;;;;;;;;;;;;
2017;10. Latina;10. Latina;67;10;3.094;121;378;4.010;12.358;4.541;7.070;5.532;2.778;663;5.889;9.926;4.334;5.706;7.496;1.575;2.362;7.960;45;69
2017;10. Latina;101. Los Cármenes;5;0;224;11;30;332;991;388;471;402;193;44;405;732;342;395;539;127;201;451;5;7
2017;10. Latina;102. Puerta del Ángel;13;2;502;18;52;686;2.204;710;1.637;996;465;116;1.142;1.828;701;1.057;1.313;344;489;1.550;15;12
2017;10. Latina;103. Lucero;7;1;482;23;56;672;1.879;650;1.117;816;435;116;904;1.497;629;878;1.185;210;363;1.274;4;19
2017;10. Latina;104. Aluche;19;3;825;26;87;1.063;3.239;1.195;1.712;1.496;747;193;1.558;2.643;1.059;1.539;2.060;389;592;2.406;13;17
2017;10. Latina;105. Campamento;6;3;204;13;22;298;881;307;636;466;188;44;427;761;295;455;552;112;163;854;2;3
2017;10. Latina;106. Cuatro Vientos;2;0;122;3;9;95;396;128;121;214;168;20;265;230;149;183;224;52;60;50;0;0
2017;10. Latina;107. Águilas;15;1;735;27;122;864;2.768;1.162;1.376;1.142;581;130;1.188;2.235;1.159;1.199;1.623;341;494;1.374;6;11
2017;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;;;;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;63;10;3.814;151;379;5.297;14.330;5.250;8.611;5.153;2.555;677;5.678;11.426;3.838;5.240;8.046;1.645;2.785;8.449;53;65
2017;11. Carabanchel;111. Comillas;6;2;305;16;18;370;1.209;384;847;483;229;78;574;989;330;521;671;160;267;691;5;6
2017;11. Carabanchel;112. Opañel;9;0;497;23;38;603;1.805;610;1.234;650;327;89;825;1.368;486;731;1.110;234;416;1.241;7;13
2017;11. Carabanchel;113. San Isidro;8;3;530;17;55;825;2.153;754;1.475;727;349;97;826;1.802;517;787;1.130;269;423;1.462;8;11
2017;11. Carabanchel;114. Vista Alegre;12;0;578;22;62;986;2.454;875;1.633;786;359;124;917;2.041;635;891;1.362;287;446;1.874;9;7
2017;11. Carabanchel;115. Puerta Bonita;10;1;531;15;50;781;1.856;695;1.196;554;265;70;641;1.650;410;580;1.051;212;356;1.237;4;11
2017;11. Carabanchel;116. Buenavista;12;2;907;42;105;1.053;3.154;1.305;1.183;1.356;694;134;1.284;2.179;1.046;1.223;1.757;296;553;879;12;9
2017;11. Carabanchel;117. Abrantes;6;2;466;16;51;679;1.699;627;1.043;597;332;85;611;1.396;414;507;964;187;324;1.065;8;8
2017;12. Usera;12. Usera;;;;;;;;;;;;;;;;;;;;;;
2017;12. Usera;12. Usera;36;3;2.245;63;298;3.112;8.680;3.028;4.977;2.328;1.016;319;2.422;6.646;1.507;2.307;3.940;840;1.722;4.546;28;37
2017;12. Usera;121. Orcasitas;2;0;437;12;72;545;1.506;689;577;433;188;54;415;1.143;337;422;712;144;274;352;1;0
2017;12. Usera;122. Orcasur;3;1;212;5;54;321;865;292;431;241;91;31;234;794;139;210;384;64;154;306;5;6
2017;12. Usera;123. San Fermín;9;0;348;16;61;486;1.495;577;811;456;212;48;424;1.252;263;419;685;133;260;644;5;7
2017;12. Usera;124. Almendrales;8;1;348;10;22;497;1.326;369;932;355;160;51;400;919;202;326;608;140;257;784;5;9
2017;12. Usera;125. Moscardó;10;1;379;13;36;546;1.538;462;1.028;452;197;67;509;1.187;287;451;725;195;362;1.123;5;7
2017;12. Usera;126. Zofío;0;0;188;4;21;330;813;297;505;215;99;32;232;653;165;254;424;71;163;527;4;5
2017;12. Usera;127. Pradolongo;4;0;333;3;32;387;1.137;342;693;176;69;36;208;697;114;224;401;93;252;810;3;3
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;;;;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;45;3;3.496;113;586;5.402;14.284;5.970;8.531;3.744;1.563;573;4.206;12.806;2.952;4.169;7.044;1.390;2.842;7.255;27;65
2017;13. Puente de Vallecas;131. Entrevías;7;0;462;12;127;882;2.029;894;1.026;405;110;92;441;1.963;325;418;964;167;387;1.073;5;11
2017;13. Puente de Vallecas;132. San Diego;10;0;496;10;68;1.039;2.282;904;1.906;587;218;109;626;2.248;361;569;1.126;238;488;1.714;5;15
2017;13. Puente de Vallecas;133. Palomeras Bajas;9;0;672;23;98;854;2.563;1.182;1.314;751;367;109;842;1.981;860;1.012;1.456;275;523;1.004;5;13
2017;13. Puente de Vallecas;134. Palomeras Sureste;4;2;777;28;122;1.004;3.090;1.208;1.445;813;357;97;868;2.572;549;838;1.332;288;553;1.050;6;12
2017;13. Puente de Vallecas;135. Portazgo;5;0;399;10;79;651;1.720;664;969;350;146;63;458;1.636;285;487;782;152;336;705;1;5
2017;13. Puente de Vallecas;136. Numancia;10;1;690;30;92;972;2.600;1.118;1.871;838;365;103;971;2.406;570;844;1.384;270;555;1.709;5;9
2017;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;;;;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;18;9;1.393;87;125;1.442;5.074;2.017;2.255;2.519;1.425;278;2.983;3.709;1.732;2.518;3.243;609;929;2.034;22;13
2017;14. Moratalaz;141. Pavones;1;1;131;7;16;131;451;193;205;220;109;17;272;376;235;219;312;52;89;132;2;1
2017;14. Moratalaz;142. Horcajo;0;1;136;7;9;100;410;181;131;257;172;19;275;219;192;249;249;54;74;45;3;0
2017;14. Moratalaz;143. Marroquina;6;3;452;44;30;390;1.529;571;507;836;542;88;1.029;967;532;846;980;180;272;457;4;4
2017;14. Moratalaz;144. Media Legua;3;1;224;15;25;266;942;326;383;453;236;57;534;670;297;464;616;121;171;365;2;2
2017;14. Moratalaz;145. Fontarrón;5;2;235;3;23;299;847;396;563;342;159;49;396;768;227;352;539;99;162;577;6;1
2017;14. Moratalaz;146. Vinateros;3;1;215;11;22;256;895;350;466;411;207;48;477;709;249;388;547;103;161;458;5;5
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;;;;;;;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;36;43;3.223;313;249;3.205;11.168;4.215;6.391;6.506;3.629;844;8.219;8.863;3.128;5.218;6.635;1.362;2.273;6.150;79;32
2017;15. Ciudad Lineal;151. Ventas;9;3;633;21;64;818;2.438;1.101;1.793;1.204;586;158;1.347;2.190;654;1.024;1.505;277;500;1.732;16;10
2017;15. Ciudad Lineal;152. Pueblo Nuevo;3;8;966;48;88;1.094;3.561;1.498;2.256;1.615;758;161;1.623;2.942;812;1.365;1.904;353;668;2.220;19;16
2017;15. Ciudad Lineal;153. Quintana;4;1;383;30;22;306;1.338;470;934;749;308;95;779;1.107;329;566;752;169;303;851;6;1
2017;15. Ciudad Lineal;154. Concepción;2;5;286;27;17;276;999;346;540;682;347;91;823;781;324;600;649;167;233;587;17;1
2017;15. Ciudad Lineal;155. San Pascual;6;5;273;35;17;236;889;304;392;637;390;72;857;701;318;535;595;127;185;292;7;2
2017;15. Ciudad Lineal;156. San Juan Bautista;7;4;226;31;11;148;579;157;156;526;350;86;816;362;216;342;385;82;119;123;4;1
2017;15. Ciudad Lineal;157. Colina;2;2;98;16;7;75;282;85;83;223;152;32;376;176;104;179;185;44;70;82;6;0
2017;15. Ciudad Lineal;158. Atalaya;0;0;21;8;2;18;58;17;18;59;44;12;102;39;18;36;41;15;20;16;0;0
2017;15. Ciudad Lineal;159. Costillares;3;15;337;97;21;234;1.024;237;219;811;694;137;1.496;565;353;571;619;128;175;247;4;1
2017;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;;;;;;;;;;;
2017;16. Hortaleza;16. Hortaleza;60;56;3.203;429;215;2.889;10.815;3.906;3.931;6.785;4.487;929;8.884;6.788;2.557;4.860;5.464;1.149;1.780;2.911;73;22
2017;16. Hortaleza;161. Palomas;6;3;145;28;3;111;441;152;72;235;202;39;401;179;62;154;149;45;50;55;0;1
2017;16. Hortaleza;162. Piovera;5;6;269;45;13;224;822;234;155;481;496;180;1.006;420;178;362;360;87;139;266;6;0
2017;16. Hortaleza;163. Canillas;14;5;669;61;53;583;2.292;886;961;1.380;812;162;1.624;1.465;642;1.135;1.200;264;414;601;13;6
2017;16. Hortaleza;164. Pinar del Rey;14;6;806;75;58;831;3.101;1.225;1.555;1.425;788;188;1.796;2.298;628;1.221;1.584;334;547;1.293;22;7
2017;16. Hortaleza;165. Apóstol Santiago;3;5;240;15;22;229;853;327;399;444;209;40;517;619;248;386;468;118;166;328;6;4
2017;16. Hortaleza;166. Valdefuentes;18;31;1.074;205;66;911;3.306;1.082;789;2.820;1.980;320;3.540;1.807;799;1.602;1.703;301;464;368;26;4
2017;17. Villaverde;17. Villaverde;;;;;;;;;;;;;;;;;;;;;;
2017;17. Villaverde;17. Villaverde;34;7;2.713;64;364;3.402;8.561;3.782;4.834;2.631;1.201;324;2.609;7.670;1.769;2.399;4.437;696;1.518;4.708;26;32
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;3;4;923;14;123;1.080;2.639;1.084;1.443;682;307;102;714;2.436;491;662;1.354;200;441;1.372;6;14
2017;17. Villaverde;172. San Cristóbal;1;0;181;0;23;428;623;283;715;109;33;27;129;897;86;89;287;60;130;725;4;3
2017;17. Villaverde;173. Butarque;7;1;419;12;56;489;1.304;601;563;538;243;52;455;999;307;400;575;94;221;418;2;1
2017;17. Villaverde;174. Los Rosales;13;1;670;27;85;838;2.251;1.059;1.216;761;347;70;750;1.909;567;702;1.242;184;394;1.326;5;7
2017;17. Villaverde;175. Ángeles;10;1;520;11;77;567;1.744;755;897;541;271;73;561;1.429;318;546;979;158;332;867;9;7
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;;;;;;;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;27;18;2.379;99;345;2.440;7.578;3.025;2.788;3.153;1.770;383;3.321;5.417;1.832;2.702;3.879;739;1.420;2.000;18;31
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;13;6;746;17;173;973;2.663;1.035;1.224;637;261;115;701;2.194;427;655;1.168;217;530;1.023;8;22
2017;18. Villa de Vallecas;182. Santa Eugenia;10;2;489;19;51;520;1.585;603;585;665;401;91;743;1.020;422;657;892;197;280;588;4;4
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;4;10;1.144;63;121;947;3.330;1.387;979;1.851;1.108;177;1.877;2.203;983;1.390;1.819;325;610;389;6;5
2017;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;;;;;;;;;;;
2017;19. Vicálvaro;19. Vicálvaro;13;3;1.490;69;174;1.553;4.543;2.220;1.770;2.032;1.020;181;2.062;3.292;1.406;1.689;2.282;403;815;1.438;11;15
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;7;1;587;15;74;870;2.096;945;1.016;490;217;69;562;1.783;331;487;852;157;334;1.086;2;10
2017;19. Vicálvaro;192. Valdebernardo;3;0;357;14;36;284;1.061;572;399;595;319;37;611;699;597;603;748;124;231;218;5;4
2017;19. Vicálvaro;193. Valderribas;3;2;536;40;62;396;1.367;687;352;936;482;73;877;798;469;591;675;121;245;126;3;1
2017;19. Vicálvaro;194. El Cañaveral;0;0;10;0;2;3;19;16;3;11;2;2;12;12;9;8;7;1;5;8;1;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;;;;;;;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;17;17;3.426;183;259;2.781;9.726;4.639;4.426;4.971;2.431;504;5.154;7.569;2.373;3.461;4.611;1.037;1.718;3.139;42;19
2017;20. San Blas-Canillejas;201. Simancas;6;4;549;33;39;461;1.655;655;881;902;411;78;885;1.468;320;525;755;186;307;765;6;0
2017;20. San Blas-Canillejas;202. Hellín;0;0;164;3;17;150;541;292;326;150;60;16;149;547;89;147;244;57;88;208;0;3
2017;20. San Blas-Canillejas;203. Amposta;0;0;124;5;13;173;464;200;331;116;44;15;130;542;71;84;218;53;84;240;2;0
2017;20. San Blas-Canillejas;204. Arcos;5;0;489;16;57;456;1.567;723;783;581;264;66;585;1.401;295;461;720;157;316;483;10;3
2017;20. San Blas-Canillejas;205. Rosas;0;5;857;62;54;512;2.001;1.061;590;1.331;767;111;1.298;1.189;839;952;1.132;210;373;322;4;4
2017;20. San Blas-Canillejas;206. Rejas;0;0;423;30;29;290;1.131;596;399;769;363;73;773;649;176;394;406;109;147;212;8;2
2017;20. San Blas-Canillejas;207. Canillejas;4;1;604;24;40;586;1.704;861;900;667;272;85;771;1.413;349;546;759;164;304;792;6;6
2017;20. San Blas-Canillejas;208. El Salvador;2;7;216;10;10;153;663;251;216;455;250;60;563;360;234;352;377;101;99;117;6;1
2017;21. Barajas;21. Barajas;;;;;;;;;;;;;;;;;;;;;;
2017;21. Barajas;21. Barajas;16;10;929;102;47;606;2.756;2.265;1.293;1.743;1.023;195;1.990;1.968;537;1.202;1.205;307;419;522;11;8
2017;21. Barajas;211. Alameda de Osuna;7;5;342;42;13;168;993;647;279;820;460;73;879;586;246;589;505;146;154;144;5;3
2017;21. Barajas;212. Aeropuerto;0;0;34;0;4;27;95;81;77;22;12;6;22;112;11;21;30;7;17;76;0;1
2017;21. Barajas;213. Casco Histórico de Barajas;2;1;137;5;7;108;442;505;453;103;53;19;162;461;50;104;146;39;82;164;1;1
2017;21. Barajas;214. Timón;5;2;256;22;17;186;750;701;391;426;251;51;504;570;126;306;348;77;108;104;3;1
2017;21. Barajas;215. Corralejos;2;2;160;33;6;117;476;331;93;372;247;46;423;239;104;182;176;38;58;34;2;2
2018;01. Centro;01. Centro;;;;;;;;;;;;;;;;;;;;;;
2018;01. Centro;01. Centro;41;28;1.445;91;95;1.392;7.377;1.525;6.499;5.719;2.033;826;7.547;4.728;2.025;5.410;3.994;2.535;2.053;2.111;91;18
2018;01. Centro;011. Palacio;4;3;249;12;16;239;1.108;265;839;1.012;355;149;1.317;757;402;925;692;485;384;309;17;3
2018;01. Centro;012. Embajadores;11;6;476;22;46;502;2.652;573;2.455;1.856;486;196;2.114;1.725;664;2.004;1.418;928;668;689;32;8
2018;01. Centro;013. Cortes;4;4;117;12;5;118;556;109;533;425;185;82;663;335;166;416;293;197;153;135;13;2
2018;01. Centro;014. Justicia;9;6;167;20;7;165;1.011;166;701;691;393;148;1.139;529;216;515;443;264;256;310;9;1
2018;01. Centro;015. Universidad;12;6;351;22;20;301;1.647;348;1.525;1.461;515;199;1.977;1.155;480;1.240;965;502;505;572;17;4
2018;01. Centro;016. Sol;1;3;85;3;1;67;403;64;446;274;99;52;337;227;97;310;183;158;87;96;3;0
2018;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;;;;;;;
